module	lambda.min	coef	absCoef	module_name	中文名	category_C	category_B
M00082	-0.633127662831058	-0.633127662831058	0.633127662831058	Fatty acid biosynthesis, initiation	脂肪酸的生物合成,起始阶段	Fatty acid metabolism	Lipid metabolism
M00921	-0.990562320845152	-0.990562320845152	0.990562320845152	Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin	环辛醇的生物合成,二甲基烯丙基-PP+异戊烯基-PP→环辛醇	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00087	-0.996439293627886	-0.996439293627886	0.996439293627886	beta-Oxidation	β-氧化	Fatty acid metabolism	Lipid metabolism
M00155	-1.0038140785235	-1.0038140785235	1.0038140785235	Cytochrome c oxidase, prokaryotes	细胞色素c氧化酶,原核生物	ATP synthesis	Energy metabolism
M00539	-1.03023580884791	-1.03023580884791	1.03023580884791	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	枯酸的降解,对-枯酸→2-氧代戊烯二酸+2-甲基丙酸	Aromatics degradation	Xenobiotics biodegradation
M00830	-1.07527646222295	-1.07527646222295	1.07527646222295	Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	新癌菌素萘酸基团的生物合成,丙二酰辅酶A→2-羟基-5-甲基-1-萘酸→2-羟基-7-甲氧基-5-甲基-1-萘酰-CoA	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
ko00930	-1.28989106782537	-1.28989106782537	1.28989106782537	Caprolactam degradation	己内酰胺的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation
M00175	-1.35652352515129	-1.35652352515129	1.35652352515129	Nitrogen fixation, nitrogen => ammonia	氮的固定,氮气→氨	Nitrogen metabolism	Energy metabolism
M00886	-1.49586673485889	-1.49586673485889	1.49586673485889	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)	梅尔米菌酸的生物合成,起始和延伸FASII(KasA和KasB)	Fatty acid metabolism	Lipid metabolism
ko00571	-1.58949882596562	-1.58949882596562	1.58949882596562	Lipoarabinomannan (LAM) biosynthesis	脂阿拉伯甘露聚糖(LAM)的生物合成	Glycan biosynthesis and metabolism	Glycan metabolism
M00885	-1.5976726565007	-1.5976726565007	1.5976726565007	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)	梅尔米菌酸的生物合成,起始和延伸FASII(KasA)	Fatty acid metabolism	Lipid metabolism
ko00984	-1.59968281443343	-1.59968281443343	1.59968281443343	Steroid degradation	类固醇的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation
M00544	-1.60778395856874	-1.60778395856874	1.60778395856874	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	喹啉的降解,喹啉→2-氧代戊烯二酸+色氨酸	Aromatics degradation	Xenobiotics biodegradation
M00555	-1.61352459420263	-1.61352459420263	1.61352459420263	Betaine biosynthesis, choline => betaine	甜菜碱的生物合成,胆碱→甜菜碱	Serine and threonine metabolism	Amino acid metabolism
M00889	-1.6338104788355	-1.6338104788355	1.6338104788355	Puromycin biosynthesis, ATP => puromycin	博来霉素的生物合成,ATP→博来霉素	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00013	-2.45003646172388	-2.45003646172388	2.45003646172388	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	马龙酸半醛途径,丙酰辅酶A→乙酰辅酶A	Other carbohydrate metabolism	Carbohydrate metabolism
M00736	-2.88377712760028	-2.88377712760028	2.88377712760028	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	诺卡菌素A的生物合成,L-pHPG+精氨酸+丝氨酸→诺卡菌素A	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites
M00033	-3.55893123357298	-3.55893123357298	3.55893123357298	Ectoine biosynthesis, aspartate => ectoine	生物合成,天冬氨酸→生物合成	Serine and threonine metabolism	Amino acid metabolism
ko00625	-4.27706746876037	-4.27706746876037	4.27706746876037	Chloroalkane and chloroalkene degradation	氯代烷烃和氯代烯烃的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation
M00843	-7.54209543514383	-7.54209543514383	7.54209543514383	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	L-threo-四氢生物蝶呤的生物合成,GTP→L-threo-BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00842	-7.55219993782354	-7.55219993782354	7.55219993782354	Tetrahydrobiopterin biosynthesis, GTP => BH4	四氢生物蝶呤的生物合成,GTP→BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
ko00983	-8.47406226507704	-8.47406226507704	8.47406226507704	Drug metabolism - other enzymes	药物代谢--其他酶	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation
M00845	-9.62197893428612	-9.62197893428612	9.62197893428612	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	精氨酸的生物合成,谷氨酸→乙酰瓜氨酸→精氨酸	Arginine and proline metabolism	Amino acid metabolism
