BGC	Accession	Description	Product	BiG_SCAPE	Organism	Taxonomy
Bger_bac_bin013~Bger_metagenome_contig_049628.region001	Bger_metagenome_contig_049628	Bger_metagenome_contig_049628	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin014~Bger_metagenome_contig_000903.region001	Bger_metagenome_contig_000903	Bger_metagenome_contig_000903	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin014~Bger_metagenome_contig_001383.region001	Bger_metagenome_contig_001383	Bger_metagenome_contig_001383	RRE-containing	RiPPs		
Bger_bac_bin015~Bger_metagenome_contig_000223.region001	Bger_metagenome_contig_000223	Bger_metagenome_contig_000223	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin015~Bger_metagenome_contig_000341.region001	Bger_metagenome_contig_000341	Bger_metagenome_contig_000341	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin015~Bger_metagenome_contig_000703.region001	Bger_metagenome_contig_000703	Bger_metagenome_contig_000703	RRE-containing	RiPPs		
Bger_bac_bin015~Bger_metagenome_contig_001142.region001	Bger_metagenome_contig_001142	Bger_metagenome_contig_001142	ranthipeptide	RiPPs		
Bger_bac_bin015~Bger_metagenome_contig_003112.region001	Bger_metagenome_contig_003112	Bger_metagenome_contig_003112	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin016~Bger_metagenome_contig_007832.region001	Bger_metagenome_contig_007832	Bger_metagenome_contig_007832	ranthipeptide	RiPPs		
Bger_bac_bin016~Bger_metagenome_contig_009953.region001	Bger_metagenome_contig_009953	Bger_metagenome_contig_009953	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin016~Bger_metagenome_contig_010208.region001	Bger_metagenome_contig_010208	Bger_metagenome_contig_010208	ranthipeptide	RiPPs		
Bger_bac_bin016~Bger_metagenome_contig_014054.region001	Bger_metagenome_contig_014054	Bger_metagenome_contig_014054	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin017~Bger_metagenome_contig_000847.region001	Bger_metagenome_contig_000847	Bger_metagenome_contig_000847	ranthipeptide	RiPPs		
Bger_bac_bin018~Bger_metagenome_contig_000744.region001	Bger_metagenome_contig_000744	Bger_metagenome_contig_000744	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin018~Bger_metagenome_contig_000962.region001	Bger_metagenome_contig_000962	Bger_metagenome_contig_000962	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin018~Bger_metagenome_contig_001056.region001	Bger_metagenome_contig_001056	Bger_metagenome_contig_001056	sactipeptide	RiPPs		
Bger_bac_bin018~Bger_metagenome_contig_001098.region001	Bger_metagenome_contig_001098	Bger_metagenome_contig_001098	cyclic-lactone-autoinducer.ranthipeptide	RiPPs		
Bger_bac_bin018~Bger_metagenome_contig_001225.region001	Bger_metagenome_contig_001225	Bger_metagenome_contig_001225	cyclic-lactone-autoinducer.ranthipeptide.transAT-PKS	Others		
Bger_bac_bin018~Bger_metagenome_contig_001225.region002	Bger_metagenome_contig_001225	Bger_metagenome_contig_001225	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin018~Bger_metagenome_contig_001682.region001	Bger_metagenome_contig_001682	Bger_metagenome_contig_001682	butyrolactone.cyclic-lactone-autoinducer	Others		
Bger_bac_bin018~Bger_metagenome_contig_001710.region001	Bger_metagenome_contig_001710	Bger_metagenome_contig_001710	NRPS	NRPS		
Bger_bac_bin018~Bger_metagenome_contig_001851.region001	Bger_metagenome_contig_001851	Bger_metagenome_contig_001851	cyclic-lactone-autoinducer.RiPP-like	RiPPs		
Bger_bac_bin018~Bger_metagenome_contig_002246.region001	Bger_metagenome_contig_002246	Bger_metagenome_contig_002246	transAT-PKS.NRPS.cyclic-lactone-autoinducer.betalactone.NRPS-like	Others		
Bger_bac_bin018~Bger_metagenome_contig_004345.region001	Bger_metagenome_contig_004345	Bger_metagenome_contig_004345	transAT-PKS-like.PKS-like	PKSother		
Bger_bac_bin018~Bger_metagenome_contig_004378.region001	Bger_metagenome_contig_004378	Bger_metagenome_contig_004378	transAT-PKS-like	PKSother		
Bger_bac_bin018~Bger_metagenome_contig_004443.region001	Bger_metagenome_contig_004443	Bger_metagenome_contig_004443	NRPS	NRPS		
Bger_bac_bin018~Bger_metagenome_contig_004684.region001	Bger_metagenome_contig_004684	Bger_metagenome_contig_004684	cyclic-lactone-autoinducer.T1PKS.NRPS	Others		
Bger_bac_bin018~Bger_metagenome_contig_005936.region001	Bger_metagenome_contig_005936	Bger_metagenome_contig_005936	transAT-PKS-like.NRPS	PKS-NRP_Hybrids		
Bger_bac_bin018~Bger_metagenome_contig_005944.region001	Bger_metagenome_contig_005944	Bger_metagenome_contig_005944	transAT-PKS	PKSother		
Bger_bac_bin018~Bger_metagenome_contig_007712.region001	Bger_metagenome_contig_007712	Bger_metagenome_contig_007712	transAT-PKS-like	PKSother		
Bger_bac_bin018~Bger_metagenome_contig_028473.region001	Bger_metagenome_contig_028473	Bger_metagenome_contig_028473	NRPS	NRPS		
Bger_bac_bin018~Bger_metagenome_contig_029254.region001	Bger_metagenome_contig_029254	Bger_metagenome_contig_029254	NRPS	NRPS		
Bger_bac_bin019~Bger_metagenome_contig_000078.region001	Bger_metagenome_contig_000078	Bger_metagenome_contig_000078	T3PKS.transAT-PKS.PKS-like.2dos.betalactone.NRPS-like	Others		
Bger_bac_bin019~Bger_metagenome_contig_000205.region001	Bger_metagenome_contig_000205	Bger_metagenome_contig_000205	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin019~Bger_metagenome_contig_000205.region002	Bger_metagenome_contig_000205	Bger_metagenome_contig_000205	cyclic-lactone-autoinducer.ranthipeptide	RiPPs		
Bger_bac_bin019~Bger_metagenome_contig_000217.region001	Bger_metagenome_contig_000217	Bger_metagenome_contig_000217	RRE-containing.cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin019~Bger_metagenome_contig_000217.region002	Bger_metagenome_contig_000217	Bger_metagenome_contig_000217	HR-T2PKS	Others		
Bger_bac_bin019~Bger_metagenome_contig_000217.region003	Bger_metagenome_contig_000217	Bger_metagenome_contig_000217	T1PKS.NRPS.transAT-PKS	PKS-NRP_Hybrids		
Bger_bac_bin019~Bger_metagenome_contig_000217.region004	Bger_metagenome_contig_000217	Bger_metagenome_contig_000217	RRE-containing	RiPPs		
Bger_bac_bin019~Bger_metagenome_contig_000294.region001	Bger_metagenome_contig_000294	Bger_metagenome_contig_000294	cyclic-lactone-autoinducer.NRPS-like.T1PKS.NRPS	Others		
Bger_bac_bin019~Bger_metagenome_contig_000487.region001	Bger_metagenome_contig_000487	Bger_metagenome_contig_000487	cyclic-lactone-autoinducer.ranthipeptide	RiPPs		
Bger_bac_bin019~Bger_metagenome_contig_000589.region001	Bger_metagenome_contig_000589	Bger_metagenome_contig_000589	T1PKS.NRPS.transAT-PKS	PKS-NRP_Hybrids		
Bger_bac_bin019~Bger_metagenome_contig_000781.region001	Bger_metagenome_contig_000781	Bger_metagenome_contig_000781	ranthipeptide	RiPPs		
Bger_bac_bin019~Bger_metagenome_contig_000781.region002	Bger_metagenome_contig_000781	Bger_metagenome_contig_000781	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin019~Bger_metagenome_contig_001304.region001	Bger_metagenome_contig_001304	Bger_metagenome_contig_001304	ranthipeptide	RiPPs		
Bger_bac_bin019~Bger_metagenome_contig_001572.region001	Bger_metagenome_contig_001572	Bger_metagenome_contig_001572	ranthipeptide	RiPPs		
Bger_bac_bin020~Bger_metagenome_contig_000956.region001	Bger_metagenome_contig_000956	Bger_metagenome_contig_000956	ranthipeptide	RiPPs		
Bger_bac_bin021~Bger_metagenome_contig_000252.region001	Bger_metagenome_contig_000252	Bger_metagenome_contig_000252	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin021~Bger_metagenome_contig_001470.region001	Bger_metagenome_contig_001470	Bger_metagenome_contig_001470	ranthipeptide	RiPPs		
Bger_bac_bin021~Bger_metagenome_contig_002311.region001	Bger_metagenome_contig_002311	Bger_metagenome_contig_002311	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin021~Bger_metagenome_contig_002657.region001	Bger_metagenome_contig_002657	Bger_metagenome_contig_002657	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin021~Bger_metagenome_contig_062241.region001	Bger_metagenome_contig_062241	Bger_metagenome_contig_062241	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin022~Bger_metagenome_contig_000156.region001	Bger_metagenome_contig_000156	Bger_metagenome_contig_000156	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin022~Bger_metagenome_contig_000156.region002	Bger_metagenome_contig_000156	Bger_metagenome_contig_000156	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin022~Bger_metagenome_contig_000592.region001	Bger_metagenome_contig_000592	Bger_metagenome_contig_000592	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin022~Bger_metagenome_contig_000642.region001	Bger_metagenome_contig_000642	Bger_metagenome_contig_000642	ranthipeptide	RiPPs		
Bger_bac_bin022~Bger_metagenome_contig_000710.region001	Bger_metagenome_contig_000710	Bger_metagenome_contig_000710	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin022~Bger_metagenome_contig_000804.region001	Bger_metagenome_contig_000804	Bger_metagenome_contig_000804	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin023~Bger_metagenome_contig_000023.region001	Bger_metagenome_contig_000023	Bger_metagenome_contig_000023	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin023~Bger_metagenome_contig_000181.region001	Bger_metagenome_contig_000181	Bger_metagenome_contig_000181	RRE-containing	RiPPs		
Bger_bac_bin023~Bger_metagenome_contig_000181.region002	Bger_metagenome_contig_000181	Bger_metagenome_contig_000181	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin023~Bger_metagenome_contig_000187.region001	Bger_metagenome_contig_000187	Bger_metagenome_contig_000187	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin023~Bger_metagenome_contig_000201.region001	Bger_metagenome_contig_000201	Bger_metagenome_contig_000201	ranthipeptide	RiPPs		
Bger_bac_bin023~Bger_metagenome_contig_000264.region001	Bger_metagenome_contig_000264	Bger_metagenome_contig_000264	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin024~Bger_metagenome_contig_008844.region001	Bger_metagenome_contig_008844	Bger_metagenome_contig_008844	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin024~Bger_metagenome_contig_013857.region001	Bger_metagenome_contig_013857	Bger_metagenome_contig_013857	RRE-containing	RiPPs		
Bger_bac_bin024~Bger_metagenome_contig_015606.region001	Bger_metagenome_contig_015606	Bger_metagenome_contig_015606	ranthipeptide	RiPPs		
Bger_bac_bin024~Bger_metagenome_contig_018805.region001	Bger_metagenome_contig_018805	Bger_metagenome_contig_018805	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin024~Bger_metagenome_contig_019695.region001	Bger_metagenome_contig_019695	Bger_metagenome_contig_019695	ranthipeptide	RiPPs		
Bger_bac_bin024~Bger_metagenome_contig_020472.region001	Bger_metagenome_contig_020472	Bger_metagenome_contig_020472	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin024~Bger_metagenome_contig_023206.region001	Bger_metagenome_contig_023206	Bger_metagenome_contig_023206	RRE-containing	RiPPs		
Bger_bac_bin024~Bger_metagenome_contig_024385.region001	Bger_metagenome_contig_024385	Bger_metagenome_contig_024385	ranthipeptide	RiPPs		
Bger_bac_bin024~Bger_metagenome_contig_024485.region001	Bger_metagenome_contig_024485	Bger_metagenome_contig_024485	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin025~Bger_metagenome_contig_000901.region001	Bger_metagenome_contig_000901	Bger_metagenome_contig_000901	ranthipeptide	RiPPs		
Bger_bac_bin026~Bger_metagenome_contig_002478.region001	Bger_metagenome_contig_002478	Bger_metagenome_contig_002478	betalactone	Others		
Bger_bac_bin027~Bger_metagenome_contig_013894.region001	Bger_metagenome_contig_013894	Bger_metagenome_contig_013894	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin029~Bger_metagenome_contig_001272.region001	Bger_metagenome_contig_001272	Bger_metagenome_contig_001272	RiPP-like	RiPPs		
Bger_bac_bin030~Bger_metagenome_contig_000511.region001	Bger_metagenome_contig_000511	Bger_metagenome_contig_000511	hglE-KS.PUFA	Others		
Bger_bac_bin030~Bger_metagenome_contig_000523.region001	Bger_metagenome_contig_000523	Bger_metagenome_contig_000523	RiPP-like	RiPPs		
Bger_bac_bin030~Bger_metagenome_contig_000523.region002	Bger_metagenome_contig_000523	Bger_metagenome_contig_000523	ranthipeptide	RiPPs		
Bger_bac_bin031~Bger_metagenome_contig_002360.region001	Bger_metagenome_contig_002360	Bger_metagenome_contig_002360	ranthipeptide	RiPPs		
Bger_bac_bin031~Bger_metagenome_contig_005117.region001	Bger_metagenome_contig_005117	Bger_metagenome_contig_005117	RRE-containing	RiPPs		
Bger_bac_bin031~Bger_metagenome_contig_009358.region001	Bger_metagenome_contig_009358	Bger_metagenome_contig_009358	thiopeptide	RiPPs		
Bger_bac_bin031~Bger_metagenome_contig_014080.region001	Bger_metagenome_contig_014080	Bger_metagenome_contig_014080	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin031~Bger_metagenome_contig_015968.region001	Bger_metagenome_contig_015968	Bger_metagenome_contig_015968	RRE-containing	RiPPs		
Bger_bac_bin032~Bger_metagenome_contig_003174.region001	Bger_metagenome_contig_003174	Bger_metagenome_contig_003174	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin032~Bger_metagenome_contig_024137.region001	Bger_metagenome_contig_024137	Bger_metagenome_contig_024137	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin033~Bger_metagenome_contig_000324.region001	Bger_metagenome_contig_000324	Bger_metagenome_contig_000324	NRPS	NRPS		
Bger_bac_bin033~Bger_metagenome_contig_000334.region001	Bger_metagenome_contig_000334	Bger_metagenome_contig_000334	NRPS	NRPS		
Bger_bac_bin033~Bger_metagenome_contig_000379.region001	Bger_metagenome_contig_000379	Bger_metagenome_contig_000379	RRE-containing	RiPPs		
Bger_bac_bin033~Bger_metagenome_contig_000379.region002	Bger_metagenome_contig_000379	Bger_metagenome_contig_000379	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin033~Bger_metagenome_contig_001102.region001	Bger_metagenome_contig_001102	Bger_metagenome_contig_001102	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin033~Bger_metagenome_contig_002705.region001	Bger_metagenome_contig_002705	Bger_metagenome_contig_002705	betalactone	Others		
Bger_bac_bin034~Bger_metagenome_contig_000864.region001	Bger_metagenome_contig_000864	Bger_metagenome_contig_000864	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin034~Bger_metagenome_contig_001254.region001	Bger_metagenome_contig_001254	Bger_metagenome_contig_001254	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin034~Bger_metagenome_contig_001254.region002	Bger_metagenome_contig_001254	Bger_metagenome_contig_001254	betalactone	Others		
Bger_bac_bin034~Bger_metagenome_contig_002523.region001	Bger_metagenome_contig_002523	Bger_metagenome_contig_002523	ranthipeptide	RiPPs		
Bger_bac_bin034~Bger_metagenome_contig_002553.region001	Bger_metagenome_contig_002553	Bger_metagenome_contig_002553	NRPS-like.NRPS	NRPS		
Bger_bac_bin034~Bger_metagenome_contig_007008.region001	Bger_metagenome_contig_007008	Bger_metagenome_contig_007008	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin035~Bger_metagenome_contig_001227.region001	Bger_metagenome_contig_001227	Bger_metagenome_contig_001227	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin035~Bger_metagenome_contig_001485.region001	Bger_metagenome_contig_001485	Bger_metagenome_contig_001485	NRPS	NRPS		
Bger_bac_bin035~Bger_metagenome_contig_001612.region001	Bger_metagenome_contig_001612	Bger_metagenome_contig_001612	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin035~Bger_metagenome_contig_002547.region001	Bger_metagenome_contig_002547	Bger_metagenome_contig_002547	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin035~Bger_metagenome_contig_003678.region001	Bger_metagenome_contig_003678	Bger_metagenome_contig_003678	RiPP-like	RiPPs		
Bger_bac_bin035~Bger_metagenome_contig_003688.region001	Bger_metagenome_contig_003688	Bger_metagenome_contig_003688	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin035~Bger_metagenome_contig_003795.region001	Bger_metagenome_contig_003795	Bger_metagenome_contig_003795	ranthipeptide	RiPPs		
Bger_bac_bin035~Bger_metagenome_contig_005972.region001	Bger_metagenome_contig_005972	Bger_metagenome_contig_005972	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin035~Bger_metagenome_contig_007438.region001	Bger_metagenome_contig_007438	Bger_metagenome_contig_007438	NRPS	NRPS		
Bger_bac_bin036~Bger_metagenome_contig_006786.region001	Bger_metagenome_contig_006786	Bger_metagenome_contig_006786	terpene	Terpene		
Bger_bac_bin036~Bger_metagenome_contig_011567.region001	Bger_metagenome_contig_011567	Bger_metagenome_contig_011567	RRE-containing	RiPPs		
Bger_bac_bin036~Bger_metagenome_contig_016996.region001	Bger_metagenome_contig_016996	Bger_metagenome_contig_016996	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin037~Bger_metagenome_contig_005069.region001	Bger_metagenome_contig_005069	Bger_metagenome_contig_005069	lanthipeptide-class-ii	RiPPs		
Bger_bac_bin037~Bger_metagenome_contig_007203.region001	Bger_metagenome_contig_007203	Bger_metagenome_contig_007203	NRPS	NRPS		
Bger_bac_bin037~Bger_metagenome_contig_007509.region001	Bger_metagenome_contig_007509	Bger_metagenome_contig_007509	NRPS	NRPS		
Bger_bac_bin037~Bger_metagenome_contig_008203.region001	Bger_metagenome_contig_008203	Bger_metagenome_contig_008203	lanthipeptide-class-ii	RiPPs		
Bger_bac_bin038~Bger_metagenome_contig_038028.region001	Bger_metagenome_contig_038028	Bger_metagenome_contig_038028	T3PKS	PKSother		
Bger_bac_bin040~Bger_metagenome_contig_012864.region001	Bger_metagenome_contig_012864	Bger_metagenome_contig_012864	ranthipeptide	RiPPs		
Bger_bac_bin040~Bger_metagenome_contig_023739.region001	Bger_metagenome_contig_023739	Bger_metagenome_contig_023739	RiPP-like	RiPPs		
Bger_bac_bin041~Bger_metagenome_contig_003990.region001	Bger_metagenome_contig_003990	Bger_metagenome_contig_003990	RiPP-like	RiPPs		
Bger_bac_bin042~Bger_metagenome_contig_000170.region001	Bger_metagenome_contig_000170	Bger_metagenome_contig_000170	RiPP-like	RiPPs		
Bger_bac_bin042~Bger_metagenome_contig_000538.region001	Bger_metagenome_contig_000538	Bger_metagenome_contig_000538	ranthipeptide	RiPPs		
Bger_bac_bin043~Bger_metagenome_contig_008282.region001	Bger_metagenome_contig_008282	Bger_metagenome_contig_008282	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin044~Bger_metagenome_contig_000601.region001	Bger_metagenome_contig_000601	Bger_metagenome_contig_000601	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin045~Bger_metagenome_contig_000427.region001	Bger_metagenome_contig_000427	Bger_metagenome_contig_000427	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin045~Bger_metagenome_contig_000967.region001	Bger_metagenome_contig_000967	Bger_metagenome_contig_000967	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin046~Bger_metagenome_contig_000038.region001	Bger_metagenome_contig_000038	Bger_metagenome_contig_000038	thiopeptide	RiPPs		
Bger_bac_bin046~Bger_metagenome_contig_000038.region002	Bger_metagenome_contig_000038	Bger_metagenome_contig_000038	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin046~Bger_metagenome_contig_000038.region003	Bger_metagenome_contig_000038	Bger_metagenome_contig_000038	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin046~Bger_metagenome_contig_000038.region004	Bger_metagenome_contig_000038	Bger_metagenome_contig_000038	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin046~Bger_metagenome_contig_000038.region005	Bger_metagenome_contig_000038	Bger_metagenome_contig_000038	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin047~Bger_metagenome_contig_000042.region001	Bger_metagenome_contig_000042	Bger_metagenome_contig_000042	hglE-KS.T1PKS	PKSother		
Bger_bac_bin047~Bger_metagenome_contig_000042.region002	Bger_metagenome_contig_000042	Bger_metagenome_contig_000042	lanthipeptide-class-i	RiPPs		
Bger_bac_bin047~Bger_metagenome_contig_000066.region001	Bger_metagenome_contig_000066	Bger_metagenome_contig_000066	hglE-KS.T1PKS	PKSother		
Bger_bac_bin048~Bger_metagenome_contig_002767.region001	Bger_metagenome_contig_002767	Bger_metagenome_contig_002767	lanthipeptide-class-i	RiPPs		
Bger_bac_bin049~Bger_metagenome_contig_000720.region001	Bger_metagenome_contig_000720	Bger_metagenome_contig_000720	lanthipeptide-class-i	RiPPs		
Bger_bac_bin049~Bger_metagenome_contig_010940.region001	Bger_metagenome_contig_010940	Bger_metagenome_contig_010940	T1PKS	PKSI		
Bger_bac_bin049~Bger_metagenome_contig_012956.region001	Bger_metagenome_contig_012956	Bger_metagenome_contig_012956	T1PKS	PKSI		
Bger_bac_bin049~Bger_metagenome_contig_013744.region001	Bger_metagenome_contig_013744	Bger_metagenome_contig_013744	hglE-KS	PKSother		
Bger_bac_bin049~Bger_metagenome_contig_014397.region001	Bger_metagenome_contig_014397	Bger_metagenome_contig_014397	RRE-containing	RiPPs		
Bger_bac_bin049~Bger_metagenome_contig_029759.region001	Bger_metagenome_contig_029759	Bger_metagenome_contig_029759	hglE-KS	PKSother		
Bger_bac_bin049~Bger_metagenome_contig_061507.region001	Bger_metagenome_contig_061507	Bger_metagenome_contig_061507	T1PKS	PKSI		
Bger_bac_bin050~Bger_metagenome_contig_000017.region001	Bger_metagenome_contig_000017	Bger_metagenome_contig_000017	RRE-containing	RiPPs		
Bger_bac_bin050~Bger_metagenome_contig_000017.region002	Bger_metagenome_contig_000017	Bger_metagenome_contig_000017	arylpolyene	Others		
Bger_bac_bin050~Bger_metagenome_contig_000137.region001	Bger_metagenome_contig_000137	Bger_metagenome_contig_000137	RiPP-like	RiPPs		
Bger_bac_bin050~Bger_metagenome_contig_000345.region001	Bger_metagenome_contig_000345	Bger_metagenome_contig_000345	arylpolyene	Others		
Bger_bac_bin051~Bger_metagenome_contig_000344.region001	Bger_metagenome_contig_000344	Bger_metagenome_contig_000344	RRE-containing	RiPPs		
Bger_bac_bin051~Bger_metagenome_contig_000421.region001	Bger_metagenome_contig_000421	Bger_metagenome_contig_000421	arylpolyene	Others		
Bger_bac_bin051~Bger_metagenome_contig_000683.region001	Bger_metagenome_contig_000683	Bger_metagenome_contig_000683	RiPP-like	RiPPs		
Bger_bac_bin051~Bger_metagenome_contig_001013.region001	Bger_metagenome_contig_001013	Bger_metagenome_contig_001013	arylpolyene	Others		
Bger_bac_bin051~Bger_metagenome_contig_001241.region001	Bger_metagenome_contig_001241	Bger_metagenome_contig_001241	phosphonate	Others		
Bger_bac_bin051~Bger_metagenome_contig_001573.region001	Bger_metagenome_contig_001573	Bger_metagenome_contig_001573	RRE-containing	RiPPs		
Bger_bac_bin051~Bger_metagenome_contig_002005.region001	Bger_metagenome_contig_002005	Bger_metagenome_contig_002005	RRE-containing	RiPPs		
