Genome	Aliphatic_amine	npAA	Aromatic	SCFA	SCFA-other	Other	E-MGC	Putative
Pame_bac_bin193	1	0	0	3	0	0	2	3
Pame_bac_bin358	1	0	0	0	0	0	0	2
Esin_bac_bin264	1	0	0	0	0	0	1	1
Pful_bac_bin026	0	0	0	3	0	1	0	1
Pame_bac_bin186	0	0	0	2	0	0	0	1
Pame_bac_bin145	0	0	0	1	0	0	0	0
Pame_bac_bin247	0	0	0	2	0	0	0	0
Bger_bac_bin207	0	0	0	1	0	0	0	1
Esin_bac_bin250	0	0	0	3	0	0	1	2
Pful_bac_bin416	0	0	0	0	0	0	0	4
Pame_bac_bin153	0	0	0	0	0	0	1	1
Pful_bac_bin165	0	0	0	1	0	0	0	4
Pful_bac_bin214	0	0	0	5	0	0	1	1
Esin_bac_bin236	0	0	0	0	0	1	0	0
Bger_bac_bin143	1	0	0	2	0	0	1	1
Pame_bac_bin243	0	0	0	3	0	0	1	1
Esin_bac_bin024	0	0	0	1	0	0	0	1
Esin_bac_bin079	0	0	1	4	0	0	1	3
Pame_bac_bin015	0	0	0	1	0	1	0	2
Esin_bac_bin027	0	0	0	1	0	0	0	0
Bger_bac_bin122	0	0	0	5	0	0	1	2
Pame_bac_bin005	0	0	0	4	0	2	3	3
Pame_bac_bin351	0	0	0	1	1	0	1	0
Esin_bac_bin294	1	0	0	5	0	0	1	2
Pful_bac_bin225	0	0	0	3	0	0	1	4
Pful_bac_bin011	0	0	0	0	0	1	1	2
Bger_bac_bin082	0	0	0	4	0	0	2	1
Pame_bac_bin353	0	0	0	0	1	0	2	1
Pful_bac_bin432	0	0	0	0	0	0	0	0
Esin_bac_bin384	0	0	0	2	0	0	1	3
Pful_bac_bin367	0	0	0	1	0	0	1	1
Esin_bac_bin237	0	0	0	3	0	0	2	3
Pful_bac_bin194	1	0	0	1	0	1	0	1
Pful_bac_bin325	0	0	0	4	0	0	1	2
Pame_bac_bin381	1	0	0	2	0	0	1	4
Pful_bac_bin466	0	0	0	0	0	0	0	0
Pful_bac_bin259	0	0	0	3	0	0	2	2
Esin_bac_bin224	0	0	0	1	0	0	1	1
Pame_bac_bin379	0	0	0	2	0	0	1	1
Pful_bac_bin444	1	0	0	1	0	0	0	0
Esin_bac_bin084	1	0	0	3	0	0	0	2
Pame_bac_bin304	0	0	0	3	0	0	1	2
Esin_bac_bin211	0	0	0	1	0	1	0	0
Pame_bac_bin149	0	0	0	1	0	0	0	2
Pful_bac_bin296	0	0	0	3	0	0	1	1
Bger_bac_bin093	0	0	0	3	0	0	1	2
Pame_bac_bin203	0	0	0	3	0	0	0	2
Pame_bac_bin104	0	0	0	0	0	1	0	4
Esin_bac_bin191	0	0	1	1	0	0	0	1
Pame_bac_bin181	0	0	0	5	0	0	1	0
Pful_bac_bin185	0	0	0	3	0	1	0	1
Pful_bac_bin345	0	0	0	5	0	0	1	0
Pful_bac_bin394	1	0	0	1	0	0	2	3
Pame_bac_bin234	0	0	0	1	0	0	0	0
Esin_bac_bin399	0	0	0	1	0	0	1	0
Pame_bac_bin198	0	0	0	2	0	0	2	4
Pful_bac_bin171	0	0	0	0	0	0	0	0
Pame_bac_bin098	0	0	0	2	0	0	1	0
Pful_bac_bin051	1	0	1	6	0	0	1	7
Pful_bac_bin493	1	0	0	3	0	1	0	2
Pame_bac_bin014	0	0	1	1	0	1	0	0
Esin_bac_bin251	0	0	0	3	0	0	1	1
Esin_bac_bin067	1	0	0	2	0	0	0	0
Esin_bac_bin035	0	0	0	2	0	1	1	0
Pful_bac_bin378	1	0	0	1	0	0	1	0
Esin_bac_bin371	1	0	0	0	0	1	0	2
Pful_bac_bin075	0	0	0	3	0	1	1	2
Pame_bac_bin097	0	0	0	0	0	0	0	1
Bger_bac_bin183	1	0	0	0	0	0	0	0
Pame_bac_bin086	0	0	0	0	0	0	1	1
Pful_bac_bin106	1	0	0	1	0	0	1	1
Esin_bac_bin336	0	0	0	4	0	0	1	1
Pful_bac_bin465	0	0	0	0	0	0	0	0
Bger_bac_bin187	0	0	0	1	1	0	1	2
Bger_bac_bin007	1	0	0	4	0	0	2	0
Bger_bac_bin097	0	0	0	3	0	0	1	2
Bger_bac_bin081	0	0	0	3	0	0	1	2
Bger_bac_bin197	0	0	0	1	0	0	1	1
Pful_bac_bin309	0	0	0	0	0	1	1	2
Pful_bac_bin461	0	0	0	0	0	0	0	0
Bger_bac_bin194	0	0	0	1	0	1	1	0
Pame_bac_bin325	0	0	0	1	0	0	1	0
Bger_bac_bin176	0	0	0	0	0	0	0	0
Esin_bac_bin243	0	0	0	4	0	1	2	1
Esin_bac_bin220	0	0	0	1	0	1	1	1
Pame_bac_bin268	1	0	0	3	0	0	1	1
Pful_bac_bin036	0	0	0	1	0	0	1	1
Esin_bac_bin075	0	0	0	0	0	0	0	1
Esin_bac_bin174	2	2	0	4	0	2	3	4
Bger_bac_bin135	0	0	0	4	0	0	0	2
Pful_bac_bin152	0	0	0	0	0	0	0	0
Pful_bac_bin487	2	0	0	0	0	0	0	1
Esin_bac_bin182	1	0	0	3	0	1	1	2
Pame_bac_bin394	2	1	1	5	3	3	10	3
Esin_bac_bin082	2	0	0	2	0	0	2	2
Esin_bac_bin364	0	0	0	0	0	0	0	0
Pame_bac_bin237	0	0	0	5	0	0	2	1
Pame_bac_bin137	0	0	0	0	0	0	1	1
Pful_bac_bin324	0	0	0	4	0	1	1	4
Esin_bac_bin029	0	0	0	1	0	0	0	0
Esin_bac_bin118	0	0	1	1	0	1	1	1
Pful_bac_bin238	1	0	0	3	0	0	1	1
Pful_bac_bin071	0	0	0	2	1	1	0	3
Esin_bac_bin253	0	0	0	4	0	0	2	2
Pful_bac_bin329	1	0	0	3	0	0	1	3
Esin_bac_bin324	1	0	0	3	0	0	1	0
Pful_bac_bin421	0	0	0	3	0	0	0	0
Esin_bac_bin275	0	0	0	3	0	0	1	1
Pame_bac_bin275	0	0	0	2	0	0	1	2
Bger_bac_bin205	0	0	0	0	0	0	0	0
Bger_bac_bin085	0	0	0	4	0	0	2	4
Esin_bac_bin416	0	0	0	0	0	0	0	0
Esin_bac_bin136	0	0	1	2	0	1	1	5
Pame_bac_bin405	0	0	0	0	0	0	0	0
Pful_bac_bin224	0	0	0	2	0	0	2	2
Esin_bac_bin077	0	0	0	3	0	0	1	1
Pame_bac_bin085	0	0	0	2	0	1	0	0
Bger_bac_bin116	0	0	0	3	0	0	1	3
Pful_bac_bin099	0	0	0	0	0	0	1	3
Esin_bac_bin437	0	0	0	1	0	0	2	1
Esin_bac_bin396	0	0	0	2	0	0	0	0
Esin_bac_bin165	1	0	0	1	0	0	1	4
Pame_bac_bin380	0	0	0	1	0	2	1	2
Esin_bac_bin435	0	0	0	1	0	0	1	1
Esin_bac_bin020	0	0	0	2	0	1	1	0
Pful_bac_bin445	0	0	0	0	0	0	0	0
Esin_bac_bin404	0	0	0	0	0	0	1	0
Pful_bac_bin095	1	0	1	5	1	1	0	8
Esin_bac_bin230	0	0	0	1	0	0	0	0
Pame_bac_bin142	1	0	0	9	0	1	0	6
Bger_bac_bin030	0	0	0	2	0	1	1	3
Pame_bac_bin284	0	0	0	5	0	0	1	1
Pful_bac_bin327	0	0	0	4	0	0	1	2
Bger_bac_bin167	0	0	0	3	1	0	4	4
Esin_bac_bin255	0	0	0	4	0	0	2	2
Pful_bac_bin482	1	0	0	2	0	0	0	1
Esin_bac_bin352	0	0	0	1	0	0	1	0
Pame_bac_bin200	0	0	0	3	0	0	1	1
Esin_bac_bin358	0	0	0	3	0	0	0	0
Bger_bac_bin175	1	2	3	1	1	1	1	5
Pame_bac_bin334	0	0	0	4	0	0	1	4
Pful_bac_bin153	0	0	0	0	0	1	0	0
Esin_bac_bin293	0	0	0	3	0	0	1	2
Pful_bac_bin439	0	0	0	0	0	0	0	1
Pful_bac_bin108	1	0	0	0	0	0	0	1
Pame_bac_bin065	0	0	0	1	0	0	0	0
Pful_bac_bin173	0	0	0	0	0	0	0	0
Pame_bac_bin134	0	0	0	1	0	0	0	0
Pful_bac_bin206	0	0	0	5	0	0	1	4
Pful_bac_bin209	0	0	0	4	0	0	2	3
Bger_bac_bin132	1	0	0	5	0	0	1	1
Esin_bac_bin330	1	0	0	1	0	0	1	1
Pful_bac_bin419	2	0	0	0	0	0	0	1
Esin_bac_bin205	0	0	0	0	1	1	0	1
Esin_bac_bin438	1	0	0	2	0	0	1	2
Pful_bac_bin126	0	0	0	3	0	1	2	1
Pful_bac_bin220	0	0	0	2	0	0	0	0
Pful_bac_bin342	0	0	0	3	0	0	1	1
Esin_bac_bin137	0	0	0	1	0	0	1	1
Pful_bac_bin030	1	0	0	0	0	0	0	0
Esin_bac_bin210	0	0	0	1	0	1	0	0
Pame_bac_bin257	0	0	0	3	0	0	2	1
Pame_bac_bin253	1	0	0	4	0	0	2	2
Esin_bac_bin168	0	0	0	0	0	0	0	0
Bger_bac_bin112	1	0	0	1	0	0	0	1
Esin_bac_bin169	0	0	0	1	0	0	0	0
Pame_bac_bin058	0	0	0	2	0	0	1	0
Esin_bac_bin367	1	0	0	1	0	0	0	0
Bger_bac_bin016	0	1	0	2	0	1	1	0
Esin_bac_bin166	1	0	0	2	0	0	1	2
Pful_bac_bin100	0	0	0	1	0	1	0	1
Esin_bac_bin140	0	0	0	3	0	0	1	0
Esin_bac_bin059	0	0	0	1	0	0	1	1
Bger_bac_bin068	0	0	0	4	0	0	3	3
Pful_bac_bin341	0	0	0	2	0	0	2	3
Bger_bac_bin147	0	0	0	1	0	0	1	6
Pful_bac_bin435	0	0	0	0	0	0	0	0
Pful_bac_bin242	1	0	0	3	0	0	2	0
Pful_bac_bin122	0	0	0	0	0	0	0	3
Pful_bac_bin091	0	0	1	0	0	0	1	1
Pful_bac_bin023	0	0	0	2	0	0	1	1
Pame_bac_bin040	0	0	0	1	0	1	1	0
Pful_bac_bin022	0	0	0	3	0	0	0	1
Pful_bac_bin012	0	0	0	2	0	1	0	2
Pful_bac_bin424	1	0	0	4	0	0	1	4
Esin_bac_bin373	0	0	0	1	0	1	0	0
Pame_bac_bin073	0	0	0	3	0	0	1	2
Pame_bac_bin217	0	0	0	2	0	0	2	0
Pful_bac_bin316	1	0	0	5	0	0	1	3
Pful_bac_bin192	0	0	0	4	0	0	1	3
Pful_bac_bin001	0	0	0	1	0	1	0	2
Bger_bac_bin190	0	0	0	2	1	0	0	2
Pful_bac_bin437	0	0	0	0	0	0	0	1
Pame_bac_bin026	0	0	0	0	0	2	0	0
Pame_bac_bin165	0	0	0	1	0	0	2	2
Bger_bac_bin120	1	0	0	1	0	0	1	3
Bger_bac_bin088	1	0	0	3	0	0	0	2
Pful_bac_bin083	0	0	0	1	0	0	1	2
Pame_bac_bin129	0	0	0	0	0	0	1	1
Pful_bac_bin480	0	0	0	1	0	1	1	0
Esin_bac_bin147	2	0	0	0	0	0	0	1
Esin_bac_bin036	0	0	0	1	0	0	1	0
Pful_bac_bin476	2	0	0	4	0	1	2	5
Pful_bac_bin236	0	0	0	4	0	0	1	0
Bger_bac_bin114	1	0	0	5	0	0	1	2
Pame_bac_bin061	0	0	0	1	0	1	1	0
Pame_bac_bin072	0	0	1	2	0	0	0	2
Bger_bac_bin182	0	0	0	1	1	0	0	1
Pame_bac_bin035	0	0	0	1	0	0	1	0
Esin_bac_bin379	0	0	0	0	0	1	0	1
Pame_bac_bin076	0	0	0	0	0	0	1	0
Pful_bac_bin431	0	0	0	0	0	0	0	0
Esin_bac_bin179	1	0	0	0	0	0	1	1
Pful_bac_bin198	0	0	0	3	0	0	2	3
Esin_bac_bin039	1	0	0	1	0	0	1	1
Pful_bac_bin150	0	0	1	0	0	1	0	1
Pame_bac_bin288	0	0	0	2	0	0	0	4
Pful_bac_bin058	0	0	0	3	0	0	0	1
Bger_bac_bin012	0	0	0	1	0	0	1	0
Pful_bac_bin468	0	0	0	0	0	0	0	0
Esin_bac_bin282	0	0	0	3	0	0	1	1
Pful_bac_bin442	0	0	0	0	0	1	0	0
Bger_bac_bin061	0	0	0	5	0	0	1	3
Pful_bac_bin196	0	0	0	5	0	0	2	2
Pame_bac_bin013	0	0	0	2	3	2	1	4
Pame_bac_bin216	0	0	0	1	0	0	1	2
Esin_bac_bin421	1	0	0	1	0	1	1	2
Pful_bac_bin338	0	0	0	3	0	0	1	1
Pame_bac_bin287	0	0	0	2	0	0	2	3
Pame_bac_bin210	0	0	0	3	0	0	3	4
Esin_bac_bin403	0	0	0	1	0	0	1	0
Bger_bac_bin022	1	0	1	2	0	1	1	3
Esin_bac_bin132	0	0	0	1	0	0	0	1
Esin_bac_bin233	0	0	0	0	0	0	0	1
Esin_bac_bin285	0	0	0	2	0	0	1	2
Bger_bac_bin079	0	0	0	4	0	0	2	2
Pful_bac_bin182	0	0	0	4	0	0	0	1
Pful_bac_bin063	0	0	0	5	1	2	1	9
Pful_bac_bin176	0	0	0	0	0	0	0	0
Pame_bac_bin263	0	0	0	4	0	0	0	2
Pful_bac_bin314	1	0	0	5	0	0	1	1
Bger_bac_bin090	0	0	0	5	0	0	2	2
Bger_bac_bin013	0	0	0	4	0	0	0	3
Pful_bac_bin244	1	0	0	5	0	0	2	1
Pame_bac_bin361	0	0	0	1	0	0	1	0
Bger_bac_bin026	0	0	0	0	0	0	0	1
Pame_bac_bin350	1	1	2	3	0	1	1	5
Pame_bac_bin071	1	0	0	3	1	1	1	5
Esin_bac_bin105	0	0	0	1	0	0	1	0
Bger_bac_bin087	2	0	0	5	0	0	2	3
Pful_bac_bin315	1	0	0	4	0	1	2	3
Pful_bac_bin258	0	0	0	0	0	0	1	1
Pame_bac_bin201	0	0	0	1	0	0	1	2
Pful_bac_bin087	0	0	0	1	0	0	1	0
Pame_bac_bin355	0	0	0	1	0	0	0	1
Bger_bac_bin165	0	0	0	2	1	0	2	4
Pame_bac_bin286	0	0	0	1	0	0	2	2
Esin_bac_bin175	1	1	0	5	0	1	1	3
Esin_bac_bin017	0	0	0	1	0	1	1	0
Pame_bac_bin267	1	0	0	2	0	0	0	3
Pful_bac_bin021	0	0	0	0	0	1	1	0
Pame_bac_bin343	0	0	0	1	0	0	0	2
Pful_bac_bin257	0	0	0	1	0	0	1	2
Pame_bac_bin211	0	0	0	3	0	0	1	3
Pful_bac_bin145	0	0	0	0	0	0	0	0
Esin_bac_bin395	1	0	0	1	0	1	1	3
Pame_bac_bin352	1	2	0	2	0	1	1	6
Pful_bac_bin351	0	0	0	3	0	0	1	1
Pful_bac_bin429	0	0	0	0	0	0	0	0
Pful_bac_bin049	2	0	0	3	0	0	1	3
Esin_bac_bin442	0	0	0	2	0	0	1	1
Esin_bac_bin363	1	0	0	3	0	0	1	2
Pame_bac_bin387	0	0	0	0	0	0	0	0
Pful_bac_bin288	1	0	0	3	0	0	0	1
Pame_bac_bin125	0	0	1	1	0	1	1	2
Esin_bac_bin021	0	0	0	3	0	1	1	0
Bger_bac_bin104	0	0	0	3	0	0	2	1
Pful_bac_bin079	0	0	0	4	0	0	1	1
Pame_bac_bin116	0	0	0	2	0	0	0	3
Pame_bac_bin080	1	0	0	0	0	0	1	1
Esin_bac_bin368	1	0	0	1	0	0	1	3
Bger_bac_bin037	0	0	0	1	0	1	1	2
Pame_bac_bin301	0	0	0	3	0	0	0	0
Pful_bac_bin284	0	0	0	3	0	0	0	0
Pame_bac_bin415	0	0	0	2	0	0	0	1
Bger_bac_bin168	0	0	0	2	1	0	5	5
Pame_bac_bin354	0	0	0	1	0	0	0	3
Pame_bac_bin370	0	0	0	0	0	0	0	0
Pame_bac_bin009	0	0	0	2	0	1	4	3
Pame_bac_bin397	2	0	0	1	0	4	3	5
Pame_bac_bin132	1	0	0	1	0	1	1	5
Esin_bac_bin238	0	0	0	1	0	0	1	0
Esin_bac_bin450	1	0	0	0	0	0	0	1
Esin_bac_bin402	0	0	0	0	0	0	1	0
Pame_bac_bin249	0	0	0	1	0	0	1	1
Pful_bac_bin056	2	0	0	2	0	0	1	3
Pful_bac_bin133	0	0	0	0	0	0	0	0
Pame_bac_bin169	0	0	0	4	0	0	2	0
Pful_bac_bin139	0	0	1	1	2	2	1	2
Esin_bac_bin010	0	0	0	1	0	0	0	4
Esin_bac_bin314	0	0	0	5	0	0	1	0
Esin_bac_bin351	0	0	0	5	0	0	1	1
Pame_bac_bin161	0	0	0	1	0	0	0	1
Esin_bac_bin428	2	0	0	1	0	0	0	1
Pame_bac_bin195	0	0	0	5	0	0	2	3
Pful_bac_bin397	0	0	0	0	0	0	2	1
Pame_bac_bin172	0	0	0	4	0	0	1	3
Esin_bac_bin090	0	0	0	2	0	0	0	1
Esin_bac_bin308	0	0	0	2	0	0	1	2
Pame_bac_bin081	1	0	0	1	0	0	1	2
Esin_bac_bin346	0	0	0	4	0	0	1	2
Pful_bac_bin208	0	0	0	5	0	0	2	3
Pame_bac_bin182	0	0	0	4	0	0	0	1
Pful_bac_bin301	0	0	0	3	0	0	2	1
Bger_bac_bin096	0	0	0	5	0	0	2	2
Bger_bac_bin108	2	0	0	3	0	0	1	4
Pame_bac_bin150	0	0	0	1	0	0	0	2
Esin_bac_bin391	0	0	0	0	0	0	0	0
Bger_bac_bin181	0	0	0	0	0	0	0	0
Bger_bac_bin152	1	0	0	3	0	0	2	3
Bger_bac_bin101	0	0	0	3	0	0	0	3
Pame_bac_bin281	0	0	0	1	0	0	0	2
Bger_bac_bin180	0	0	0	0	0	1	0	0
Pful_bac_bin379	1	0	0	0	0	1	0	0
Pame_bac_bin157	0	0	0	1	0	0	0	0
Esin_bac_bin148	1	0	0	2	0	0	0	2
Bger_bac_bin077	0	0	0	2	0	0	3	2
Pful_bac_bin179	0	0	0	1	0	0	0	0
Bger_bac_bin076	0	0	0	3	0	0	3	4
Pame_bac_bin269	0	0	0	3	0	0	1	2
Pful_bac_bin305	0	0	0	3	0	0	1	3
Pful_bac_bin205	0	0	0	3	0	0	2	2
Pful_bac_bin471	2	0	0	0	0	0	0	1
Esin_bac_bin041	0	0	0	2	0	2	1	1
Esin_bac_bin197	0	0	0	2	1	0	1	3
Pame_bac_bin121	1	0	0	1	0	0	1	0
Pful_bac_bin281	1	0	0	2	0	0	0	1
Pame_bac_bin164	1	0	0	2	0	0	1	2
Bger_bac_bin074	0	0	0	1	0	0	3	1
Pful_bac_bin298	1	0	0	5	0	0	2	3
Pful_bac_bin459	0	0	0	0	0	0	0	2
Pame_bac_bin280	0	0	0	4	0	0	1	1
Pful_bac_bin420	0	0	0	0	0	0	1	0
Pful_bac_bin032	0	0	0	1	0	0	0	3
Pame_bac_bin384	0	0	0	0	0	0	0	0
Pful_bac_bin291	1	0	0	1	0	0	0	0
Pful_bac_bin226	0	0	0	3	0	0	1	2
Bger_bac_bin002	0	0	0	1	1	1	2	2
Pame_bac_bin199	0	0	0	4	0	0	2	3
Pful_bac_bin181	0	0	0	1	0	0	0	2
Esin_bac_bin260	0	0	0	5	0	0	1	3
Esin_bac_bin050	1	0	0	4	0	0	1	1
Esin_bac_bin215	1	0	0	2	0	0	1	1
Pful_bac_bin297	0	0	0	0	0	0	0	0
Bger_bac_bin166	0	0	0	4	3	0	4	5
Pful_bac_bin035	0	0	0	2	0	0	1	2
Pful_bac_bin490	0	0	0	1	0	1	1	1
Bger_bac_bin162	0	0	0	7	0	1	2	4
Bger_bac_bin156	0	0	0	0	1	0	1	3
Pful_bac_bin410	0	0	0	3	0	0	1	5
Pame_bac_bin330	0	0	0	2	0	0	1	7
Esin_bac_bin208	1	0	0	3	0	1	1	1
Pful_bac_bin265	0	0	0	3	0	0	3	2
Pame_bac_bin020	0	0	0	2	1	0	0	1
Pame_bac_bin190	0	0	0	4	0	0	2	3
Pful_bac_bin172	0	0	0	2	0	0	1	3
Pful_bac_bin240	1	0	0	4	0	0	2	3
Pful_bac_bin364	0	0	0	2	0	0	1	2
Pame_bac_bin295	0	0	0	5	0	0	2	4
Esin_bac_bin400	0	0	0	2	0	0	1	0
Pful_bac_bin228	0	0	0	3	0	1	3	3
Pful_bac_bin383	1	0	0	1	0	0	1	6
Pful_bac_bin415	0	0	0	0	0	0	0	0
Pful_bac_bin414	0	0	0	0	0	0	0	0
Pame_bac_bin259	1	0	0	3	0	0	1	2
Pame_bac_bin299	0	0	0	2	0	0	1	1
Bger_bac_bin028	0	0	0	1	1	0	1	2
Pame_bac_bin258	1	0	0	4	0	0	1	3
Pful_bac_bin473	0	0	0	3	0	3	2	5
Pame_bac_bin168	0	0	0	2	0	0	1	1
Pful_bac_bin076	0	0	0	1	0	1	0	1
Esin_bac_bin096	0	0	0	2	0	0	0	1
Pful_bac_bin203	0	0	0	6	0	0	1	4
Esin_bac_bin439	1	0	0	1	0	0	0	1
Pful_bac_bin339	0	0	0	2	0	0	2	3
Bger_bac_bin121	1	0	0	0	0	0	0	2
Pame_bac_bin369	0	0	0	1	0	0	0	0
Esin_bac_bin262	0	0	0	2	0	0	2	2
Pful_bac_bin029	0	0	0	3	0	1	0	2
Pful_bac_bin055	1	0	0	2	0	0	1	1
Pame_bac_bin385	0	0	0	0	0	0	0	0
Bger_bac_bin020	0	0	0	2	0	0	1	2
Esin_bac_bin309	1	0	0	1	0	0	1	2
Pame_bac_bin067	1	0	0	2	2	1	1	3
Pful_bac_bin377	0	0	0	0	0	1	0	1
Bger_bac_bin118	0	0	0	4	0	0	1	2
Bger_bac_bin179	0	0	0	0	0	0	0	0
Pame_bac_bin240	0	0	0	4	0	0	2	1
Pful_bac_bin123	0	0	0	2	0	0	0	1
Pame_bac_bin069	0	0	0	2	0	0	0	1
Pful_bac_bin492	1	0	0	2	0	1	0	2
Pful_bac_bin081	0	0	0	0	0	0	1	1
Pful_bac_bin235	0	0	0	2	0	0	3	2
Pful_bac_bin018	0	0	0	1	0	0	2	0
Pame_bac_bin147	0	0	0	0	0	0	0	2
Esin_bac_bin385	0	0	0	1	0	0	1	1
Pful_bac_bin158	1	0	0	2	0	1	1	2
Pame_bac_bin032	0	0	0	0	0	1	0	0
Esin_bac_bin002	0	0	0	1	0	0	0	0
Pame_bac_bin034	0	0	0	0	0	1	0	0
Pame_bac_bin206	0	0	0	5	0	0	1	2
Pful_bac_bin411	1	1	1	0	0	0	0	2
Pful_bac_bin084	0	0	0	0	0	0	1	1
Pame_bac_bin376	0	0	0	1	0	0	1	2
Bger_bac_bin094	0	0	0	3	0	0	1	2
Bger_bac_bin198	0	0	0	1	0	0	0	0
Pful_bac_bin135	0	1	1	2	1	0	1	2
Esin_bac_bin448	0	0	0	0	0	0	0	1
Pame_bac_bin283	0	0	0	4	0	0	1	1
Pful_bac_bin180	0	0	0	0	0	0	0	1
Pful_bac_bin161	1	0	0	0	0	0	0	1
Pame_bac_bin246	1	0	0	2	0	0	1	0
Pame_bac_bin340	1	0	0	1	0	0	2	2
Esin_bac_bin008	0	0	0	0	0	0	0	0
Bger_bac_bin072	0	0	0	3	0	1	3	4
Esin_bac_bin322	1	0	0	2	0	0	0	1
Pful_bac_bin186	0	0	0	2	0	0	0	1
Pful_bac_bin357	0	0	0	1	0	0	0	2
Pame_bac_bin285	0	0	0	3	0	0	1	3
Pful_bac_bin428	0	0	0	0	0	0	0	0
Pame_bac_bin366	0	0	0	1	0	0	1	0
Pful_bac_bin009	0	0	0	0	0	1	1	1
Pful_bac_bin308	0	0	0	4	0	0	1	2
Pame_bac_bin333	0	0	0	2	0	0	0	3
Pful_bac_bin390	0	0	0	1	0	0	0	3
Esin_bac_bin109	1	0	0	0	0	0	1	0
Pful_bac_bin275	1	0	0	2	0	0	1	2
Pful_bac_bin183	0	0	0	2	0	0	0	1
Bger_bac_bin005	0	0	0	3	0	1	0	3
Esin_bac_bin113	1	0	0	2	0	0	0	3
Esin_bac_bin401	0	0	0	0	0	0	2	0
Esin_bac_bin120	0	0	0	1	0	2	0	3
Bger_bac_bin146	0	0	0	4	0	0	2	2
Pful_bac_bin007	0	0	0	0	0	0	4	2
Esin_bac_bin261	0	0	0	4	0	0	2	1
Esin_bac_bin172	0	0	0	1	0	1	1	1
Bger_bac_bin058	0	0	0	4	0	0	2	3
Pame_bac_bin144	0	0	0	1	0	1	0	1
Esin_bac_bin177	0	0	0	1	0	0	0	2
Esin_bac_bin023	0	0	0	2	0	1	1	1
