file                format  type  num_seqs    sum_len    min_len      avg_len    max_len
Bger_bac_bin054.fa  FASTA   DNA          7  5,160,836      2,098    737,262.3  2,067,310
Bger_bac_bin055.fa  FASTA   DNA          7  3,049,810      3,518    435,687.1    998,195
Bger_bac_bin056.fa  FASTA   DNA         37  4,466,780      2,360    120,723.8    641,275
Bger_bac_bin057.fa  FASTA   DNA         22  5,145,426      8,040      233,883    716,879
Bger_bac_bin058.fa  FASTA   DNA         23  5,121,233      4,711    222,662.3  1,001,521
Bger_bac_bin059.fa  FASTA   DNA          6  4,937,129    253,767    822,854.8  1,590,456
Bger_bac_bin060.fa  FASTA   DNA         19  5,461,026     12,035    287,422.4    991,720
Bger_bac_bin061.fa  FASTA   DNA          5  6,059,056    175,421  1,211,811.2  2,051,273
Bger_bac_bin062.fa  FASTA   DNA          2  3,505,869  1,618,203  1,752,934.5  1,887,666
Bger_bac_bin063.fa  FASTA   DNA         21  5,780,638     13,152    275,268.5  1,017,211
Bger_bac_bin064.fa  FASTA   DNA         37  4,603,967      4,111    124,431.5    524,483
Bger_bac_bin065.fa  FASTA   DNA          8  3,710,407     81,433    463,800.9  1,244,941
Bger_bac_bin066.fa  FASTA   DNA         13  4,987,797      9,814    383,676.7  1,103,183
Bger_bac_bin067.fa  FASTA   DNA          9  4,128,435      2,089      458,715  1,782,838
Bger_bac_bin068.fa  FASTA   DNA          6  3,175,064     43,509    529,177.3  1,953,586
Bger_bac_bin069.fa  FASTA   DNA         16  3,401,429      5,964    212,589.3    571,687
Bger_bac_bin070.fa  FASTA   DNA         23  3,565,266      5,134    155,011.6    729,976
Bger_bac_bin071.fa  FASTA   DNA        266  2,976,547      2,003       11,190    204,431
Bger_bac_bin072.fa  FASTA   DNA         29  4,148,799      2,241      143,062    599,454
Bger_bac_bin073.fa  FASTA   DNA         10  4,768,760     83,939      476,876  1,504,092
Bger_bac_bin074.fa  FASTA   DNA         13  3,989,112      2,013    306,854.8  1,036,614
Bger_bac_bin075.fa  FASTA   DNA         47  4,105,647      2,059     87,354.2    385,887
Bger_bac_bin076.fa  FASTA   DNA         43  3,452,345      2,039     80,287.1    521,308
Bger_bac_bin077.fa  FASTA   DNA         14  4,548,710     11,494    324,907.9    929,453
Bger_bac_bin078.fa  FASTA   DNA          9  4,584,806      6,835    509,422.9  1,406,621
Bger_bac_bin079.fa  FASTA   DNA         34  4,653,815      6,684    136,876.9    523,027
Bger_bac_bin080.fa  FASTA   DNA          9  3,003,732      2,622      333,748    858,203
Bger_bac_bin081.fa  FASTA   DNA         11  4,006,786      6,089    364,253.3    923,526
Bger_bac_bin082.fa  FASTA   DNA         13  3,431,272      2,174      263,944    880,437
Bger_bac_bin083.fa  FASTA   DNA         20  3,876,623      2,376    193,831.1    965,879
Bger_bac_bin084.fa  FASTA   DNA         12  4,688,315      1,038    390,692.9  1,370,650
Bger_bac_bin085.fa  FASTA   DNA         38  5,902,080      2,021    155,317.9    969,740
Bger_bac_bin086.fa  FASTA   DNA         22  3,505,593      2,856    159,345.1    544,239
Bger_bac_bin087.fa  FASTA   DNA          6  4,894,533     62,412    815,755.5  1,972,965
Bger_bac_bin088.fa  FASTA   DNA        107  2,746,280      2,008     25,666.2    256,058
Bger_bac_bin089.fa  FASTA   DNA          4  4,053,795    700,590  1,013,448.8  1,294,518
Bger_bac_bin090.fa  FASTA   DNA         15  3,592,284     16,379    239,485.6    784,189
Bger_bac_bin091.fa  FASTA   DNA          2  3,113,743    187,704  1,556,871.5  2,926,039
Bger_bac_bin092.fa  FASTA   DNA         90  2,331,084      2,003     25,900.9    248,529
Bger_bac_bin093.fa  FASTA   DNA         37  2,964,305      2,215     80,116.4    451,829
Bger_bac_bin094.fa  FASTA   DNA         43  3,836,539      5,832     89,221.8    336,570
Bger_bac_bin095.fa  FASTA   DNA         14  3,289,527      2,518    234,966.2    803,442
Bger_bac_bin096.fa  FASTA   DNA         19  4,923,467      8,701    259,129.8    858,666
Bger_bac_bin097.fa  FASTA   DNA          8  2,960,466     21,297    370,058.3    848,789
Bger_bac_bin098.fa  FASTA   DNA         30  2,044,408     10,401     68,146.9    291,997
Bger_bac_bin099.fa  FASTA   DNA         11  2,242,207     14,561      203,837    997,037
Bger_bac_bin100.fa  FASTA   DNA         18  4,290,378      9,710    238,354.3  1,293,195
Bger_bac_bin101.fa  FASTA   DNA         84  2,910,191      2,003     34,645.1    355,166
Bger_bac_bin102.fa  FASTA   DNA         64  2,710,442      2,012     42,350.7    247,075
Bger_bac_bin103.fa  FASTA   DNA         51  2,772,666      2,080       54,366    301,577
Bger_bac_bin104.fa  FASTA   DNA         14  2,675,789     52,906    191,127.8    373,971
Bger_bac_bin105.fa  FASTA   DNA         63  3,446,824      2,094     54,711.5    676,923
Bger_bac_bin106.fa  FASTA   DNA          5  2,930,815    120,827      586,163  1,192,142
Bger_bac_bin107.fa  FASTA   DNA          3  3,381,931     45,261  1,127,310.3  3,016,294
Bger_bac_bin108.fa  FASTA   DNA          5  2,734,535     71,461      546,907  1,462,515
Bger_bac_bin109.fa  FASTA   DNA          8  3,104,370    158,598    388,046.3    654,837
Bger_bac_bin110.fa  FASTA   DNA          2  2,550,333  1,033,693  1,275,166.5  1,516,640
Bger_bac_bin111.fa  FASTA   DNA         28  2,184,728      9,148       78,026    245,923
Bger_bac_bin112.fa  FASTA   DNA        215  2,282,583      2,007     10,616.7    170,095
Bger_bac_bin113.fa  FASTA   DNA         32  2,216,849      9,333     69,276.5    179,595
Bger_bac_bin114.fa  FASTA   DNA         21  2,197,504      2,968      104,643    291,120
Bger_bac_bin115.fa  FASTA   DNA          8  2,242,144      9,579      280,268    679,821
Bger_bac_bin116.fa  FASTA   DNA         18  2,591,984      2,158    143,999.1    783,663
Bger_bac_bin117.fa  FASTA   DNA          5  2,303,984    196,377    460,796.8    995,132
Bger_bac_bin118.fa  FASTA   DNA          6  2,436,806      2,097    406,134.3    782,008
Bger_bac_bin119.fa  FASTA   DNA          3  3,644,924    105,186  1,214,974.7  2,795,579
Bger_bac_bin120.fa  FASTA   DNA         20  2,069,455      5,923    103,472.8    521,021
Bger_bac_bin121.fa  FASTA   DNA         11  2,036,672     52,501      185,152    512,488
Bger_bac_bin122.fa  FASTA   DNA         38  2,396,836      2,038     63,074.6    652,790
Bger_bac_bin123.fa  FASTA   DNA         21  2,471,927     15,823    117,710.8    357,399
Bger_bac_bin124.fa  FASTA   DNA          5  2,244,765      2,099      448,953    693,096
Bger_bac_bin125.fa  FASTA   DNA          3  2,120,797      6,225    706,932.3  1,893,633
Bger_bac_bin126.fa  FASTA   DNA          9  2,492,913      5,305    276,990.3    683,816
Bger_bac_bin127.fa  FASTA   DNA          2  2,293,353  1,133,992  1,146,676.5  1,159,361
Bger_bac_bin128.fa  FASTA   DNA          6  3,660,134     43,669    610,022.3  1,144,827
Bger_bac_bin129.fa  FASTA   DNA          8  2,849,380      3,665    356,172.5  1,787,166
Bger_bac_bin130.fa  FASTA   DNA          6  2,332,333     11,601    388,722.2  1,196,176
Bger_bac_bin131.fa  FASTA   DNA          3  2,267,992    568,742    755,997.3  1,130,099
Bger_bac_bin132.fa  FASTA   DNA          4  2,343,135     24,342    585,783.8  1,370,970
Bger_bac_bin133.fa  FASTA   DNA         20  5,009,070      7,840    250,453.5    451,501
Bger_bac_bin134.fa  FASTA   DNA         12  4,679,512      2,234    389,959.3  2,267,138
Bger_bac_bin135.fa  FASTA   DNA          7  4,375,036     22,980    625,005.1  1,333,149
Bger_bac_bin136.fa  FASTA   DNA         72  3,914,527      2,004     54,368.4  1,475,591
Bger_bac_bin137.fa  FASTA   DNA         14  3,982,484     39,434    284,463.1    782,804
Bger_bac_bin138.fa  FASTA   DNA         12  6,900,742     13,993    575,061.8  1,888,768
Bger_bac_bin139.fa  FASTA   DNA        101  3,032,271      2,002     30,022.5    203,567
Bger_bac_bin140.fa  FASTA   DNA         11  3,781,921     50,634      343,811  1,123,454
Bger_bac_bin141.fa  FASTA   DNA         37  5,452,890      4,535    147,375.4  1,004,721
Bger_bac_bin142.fa  FASTA   DNA         17  6,967,393     35,072    409,846.6  1,320,818
Bger_bac_bin143.fa  FASTA   DNA         92  3,061,244      2,026     33,274.4    353,592
Bger_bac_bin144.fa  FASTA   DNA         18  3,637,855      2,151    202,103.1  2,180,874
Bger_bac_bin145.fa  FASTA   DNA          6  3,900,766     19,126    650,127.7  1,758,804
Bger_bac_bin146.fa  FASTA   DNA          3  3,973,095    613,939    1,324,365  2,539,659
Bger_bac_bin147.fa  FASTA   DNA          3  2,939,594     66,794    979,864.7  2,323,423
Bger_bac_bin148.fa  FASTA   DNA          7    497,224     22,150       71,032    103,706
Bger_bac_bin149.fa  FASTA   DNA          3  2,216,098     99,994    738,699.3  2,003,129
Bger_bac_bin150.fa  FASTA   DNA          4  1,992,556      3,381      498,139    875,945
Bger_bac_bin151.fa  FASTA   DNA         73  2,994,005      2,082     41,013.8    266,978
Bger_bac_bin152.fa  FASTA   DNA         35  3,678,595      2,521    105,102.7    320,562
Bger_bac_bin153.fa  FASTA   DNA         27  3,694,700     10,837    136,840.7    518,217
Bger_bac_bin154.fa  FASTA   DNA         49  4,077,669      3,733     83,217.7    310,532
Bger_bac_bin155.fa  FASTA   DNA         31  4,871,795      2,482    157,154.7    855,896
Bger_bac_bin156.fa  FASTA   DNA          3  4,829,707    342,006  1,609,902.3  3,788,023
Bger_bac_bin157.fa  FASTA   DNA          6  4,464,580    203,869    744,096.7  1,666,712
Bger_bac_bin158.fa  FASTA   DNA         73  3,453,020      2,034     47,301.6    341,546
Bger_bac_bin159.fa  FASTA   DNA        107  4,201,263      2,024     39,264.1    401,026
Bger_bac_bin160.fa  FASTA   DNA         53  2,163,175      3,724     40,814.6    137,593
Bger_bac_bin161.fa  FASTA   DNA         81  2,853,084      2,006     35,223.3    253,737
Bger_bac_bin162.fa  FASTA   DNA         29  3,177,036     21,443      109,553    416,574
Bger_bac_bin163.fa  FASTA   DNA         16  2,290,715      7,669    143,169.7    612,995
Bger_bac_bin164.fa  FASTA   DNA         37  3,830,178     14,402    103,518.3    350,304
Bger_bac_bin165.fa  FASTA   DNA         12  3,534,274     23,900    294,522.8    678,567
Bger_bac_bin166.fa  FASTA   DNA         36  3,625,225      2,084    100,700.7  1,852,595
Bger_bac_bin167.fa  FASTA   DNA          2  3,584,612    333,242    1,792,306  3,251,370
Bger_bac_bin168.fa  FASTA   DNA          7  4,024,526     12,788    574,932.3  1,138,247
Bger_bac_bin169.fa  FASTA   DNA         23  4,547,917      2,242    197,735.5    651,683
Bger_bac_bin170.fa  FASTA   DNA         22  3,406,496      7,601    154,840.7    505,725
Bger_bac_bin171.fa  FASTA   DNA          6  4,632,576     88,566      772,096  3,141,087
Bger_bac_bin172.fa  FASTA   DNA          3  2,983,366    766,378    994,455.3  1,130,596
Bger_bac_bin173.fa  FASTA   DNA         49  2,913,971      2,025     59,468.8    261,620
Bger_bac_bin174.fa  FASTA   DNA         56  2,507,061      5,460     44,768.9    135,252
Bger_bac_bin175.fa  FASTA   DNA         27  3,949,064      3,530    146,261.6    479,221
Bger_bac_bin176.fa  FASTA   DNA        381  1,492,699      2,002      3,917.8     36,381
Bger_bac_bin177.fa  FASTA   DNA         23  3,575,324      2,750    155,448.9    484,546
Bger_bac_bin178.fa  FASTA   DNA        272  2,536,251      2,005      9,324.5    243,485
Bger_bac_bin179.fa  FASTA   DNA         85    915,029      2,009       10,765    384,776
Bger_bac_bin180.fa  FASTA   DNA        301  1,662,040      2,006      5,521.7    255,579
Bger_bac_bin181.fa  FASTA   DNA          1    874,687    874,687      874,687    874,687
Bger_bac_bin182.fa  FASTA   DNA         98  2,704,654      1,000     27,598.5    258,528
Bger_bac_bin183.fa  FASTA   DNA         31  2,762,937      2,926       89,127    354,090
Bger_bac_bin184.fa  FASTA   DNA         47  3,156,354      4,239     67,156.5    246,992
Bger_bac_bin185.fa  FASTA   DNA         34  3,447,955      9,456    101,410.4    277,663
Bger_bac_bin186.fa  FASTA   DNA         67  3,279,019      2,009     48,940.6    381,367
Bger_bac_bin187.fa  FASTA   DNA         85  3,499,269      2,186     41,167.9    264,829
Bger_bac_bin188.fa  FASTA   DNA          6  4,913,308     15,682    818,884.7  1,830,154
Bger_bac_bin189.fa  FASTA   DNA         17  4,595,197      2,277    270,305.7    638,727
Bger_bac_bin190.fa  FASTA   DNA         25  4,378,044      5,093    175,121.8    611,522
Bger_bac_bin191.fa  FASTA   DNA          9  4,107,153     38,318    456,350.3    985,021
Bger_bac_bin192.fa  FASTA   DNA         17  4,963,600      2,013    291,976.5  1,130,779
Bger_bac_bin193.fa  FASTA   DNA          4  4,263,345    508,766  1,065,836.3  1,542,712
Bger_bac_bin194.fa  FASTA   DNA         38  4,514,384      2,103    118,799.6    754,129
Bger_bac_bin195.fa  FASTA   DNA          7  4,916,152     11,440    702,307.4  2,460,397
Bger_bac_bin196.fa  FASTA   DNA          6  2,414,965      3,643    402,494.2  1,393,521
Bger_bac_bin197.fa  FASTA   DNA          3  1,987,942    527,259    662,647.3    748,000
Bger_bac_bin198.fa  FASTA   DNA         19  1,648,674      9,483     86,772.3    343,908
Bger_bac_bin199.fa  FASTA   DNA          2  1,963,126    254,677      981,563  1,708,449
Bger_bac_bin200.fa  FASTA   DNA         45  1,262,687      2,076     28,059.7    170,250
Bger_bac_bin201.fa  FASTA   DNA          3  1,847,038    187,555    615,679.3  1,207,292
Bger_bac_bin202.fa  FASTA   DNA          6  1,898,989      2,400    316,498.2  1,034,275
Bger_bac_bin203.fa  FASTA   DNA         10  1,766,533      2,546    176,653.3  1,375,054
Bger_bac_bin204.fa  FASTA   DNA         28  1,041,966      2,158     37,213.1    298,886
Bger_bac_bin205.fa  FASTA   DNA          8  1,126,987      5,611    140,873.4    428,333
Bger_bac_bin206.fa  FASTA   DNA          1  1,140,404  1,140,404    1,140,404  1,140,404
Bger_bac_bin207.fa  FASTA   DNA        179  1,614,132      2,002      9,017.5    154,720
Bger_bac_bin208.fa  FASTA   DNA        149  2,077,588      2,004     13,943.5    145,031
Bger_bac_bin209.fa  FASTA   DNA         13  1,982,316      2,070    152,485.8    700,276
Bger_bac_bin210.fa  FASTA   DNA        327  2,718,135      2,011      8,312.3     38,685
Bger_bac_bin211.fa  FASTA   DNA         19  4,649,397      4,944    244,705.1  1,803,156
Bger_bac_bin212.fa  FASTA   DNA          7  3,575,899      4,217    510,842.7  1,815,985
Bger_bac_bin213.fa  FASTA   DNA         36  3,604,624      2,008    100,128.4  3,046,229
Bger_bac_bin214.fa  FASTA   DNA        763  2,997,396      2,003      3,928.4     50,423
Bger_bac_bin215.fa  FASTA   DNA        447  2,409,404      2,000      5,390.2     80,979
Bger_bac_bin216.fa  FASTA   DNA          5  6,254,653      2,214  1,250,930.6  2,978,811
Bger_bac_bin217.fa  FASTA   DNA          1  3,335,651  3,335,651    3,335,651  3,335,651
Bger_bac_bin218.fa  FASTA   DNA        320  2,779,660      2,003      8,686.4     49,973
Esin_bac_bin001.fa  FASTA   DNA        304  1,243,924      2,034      4,091.9     21,066
Esin_bac_bin002.fa  FASTA   DNA        248  1,701,786      2,003        6,862     31,627
Esin_bac_bin003.fa  FASTA   DNA        348  3,570,265      2,016     10,259.4    155,476
Esin_bac_bin004.fa  FASTA   DNA          3  3,485,785      2,799  1,161,928.3  3,476,066
Esin_bac_bin005.fa  FASTA   DNA        184  2,167,933      2,029     11,782.2     65,951
Esin_bac_bin006.fa  FASTA   DNA        484  3,367,734      2,501      6,958.1     46,530
Esin_bac_bin007.fa  FASTA   DNA        293  3,353,778      2,519     11,446.3     64,800
Esin_bac_bin008.fa  FASTA   DNA        792  3,514,271      2,006      4,437.2     45,798
Esin_bac_bin009.fa  FASTA   DNA        288  2,132,026      2,001      7,402.9     40,489
Esin_bac_bin010.fa  FASTA   DNA         51  2,099,369      8,599     41,164.1    173,818
Esin_bac_bin011.fa  FASTA   DNA          6  2,935,834     16,438    489,305.7  1,127,270
Esin_bac_bin012.fa  FASTA   DNA         22  1,506,162      3,639     68,461.9    318,751
Esin_bac_bin013.fa  FASTA   DNA         92  2,431,099      2,003       26,425    121,456
Esin_bac_bin014.fa  FASTA   DNA         99  3,753,984      2,225       37,919    229,578
Esin_bac_bin015.fa  FASTA   DNA        262  2,680,470      2,002     10,230.8    134,377
Esin_bac_bin016.fa  FASTA   DNA         53  2,460,609      2,042     46,426.6    272,842
Esin_bac_bin017.fa  FASTA   DNA         38  1,972,766      2,233     51,914.9    277,003
Esin_bac_bin018.fa  FASTA   DNA         35  2,163,913      3,551     61,826.1    376,968
Esin_bac_bin019.fa  FASTA   DNA         39  2,907,370      6,404     74,547.9    236,516
Esin_bac_bin020.fa  FASTA   DNA         40  2,675,799      2,469       66,895    203,294
Esin_bac_bin021.fa  FASTA   DNA         16  2,720,630      4,612    170,039.4    477,243
Esin_bac_bin022.fa  FASTA   DNA         70  2,033,310      2,037     29,047.3    107,963
Esin_bac_bin023.fa  FASTA   DNA         45  2,778,870      2,384     61,752.7    222,383
Esin_bac_bin024.fa  FASTA   DNA        110  2,015,507      2,025     18,322.8    240,530
Esin_bac_bin025.fa  FASTA   DNA         46  1,844,599      4,272       40,100    148,927
Esin_bac_bin026.fa  FASTA   DNA         41  1,946,481      2,011     47,475.1    208,393
Esin_bac_bin027.fa  FASTA   DNA         15  1,621,273      5,997    108,084.9    345,282
Esin_bac_bin028.fa  FASTA   DNA         29  2,848,083      2,996     98,209.8    515,104
Esin_bac_bin029.fa  FASTA   DNA         36  1,524,825      7,801     42,356.3    226,986
Esin_bac_bin030.fa  FASTA   DNA          4  1,948,915    210,298    487,228.8    703,648
Esin_bac_bin031.fa  FASTA   DNA         72  1,559,389      2,048     21,658.2    122,251
Esin_bac_bin032.fa  FASTA   DNA         90  1,771,322      2,002     19,681.4    182,945
Esin_bac_bin033.fa  FASTA   DNA         27  3,175,992      2,072    117,629.3    608,066
Esin_bac_bin034.fa  FASTA   DNA        298  2,481,576      2,004      8,327.4     53,201
Esin_bac_bin035.fa  FASTA   DNA         31  1,296,450      2,015       41,821    215,600
Esin_bac_bin036.fa  FASTA   DNA         13  1,955,853      2,446    150,450.2    613,869
Esin_bac_bin037.fa  FASTA   DNA         30  1,629,313      2,332     54,310.4    252,086
Esin_bac_bin038.fa  FASTA   DNA        138  1,683,897      2,048     12,202.2     70,141
Esin_bac_bin039.fa  FASTA   DNA        139  2,949,251      2,142     21,217.6    122,142
Esin_bac_bin040.fa  FASTA   DNA          6  2,117,585     33,805    352,930.8  1,005,082
Esin_bac_bin041.fa  FASTA   DNA         12  2,280,229      2,201    190,019.1    527,129
Esin_bac_bin042.fa  FASTA   DNA         52  2,271,252      2,133     43,677.9    205,855
Esin_bac_bin043.fa  FASTA   DNA         55  2,110,729      2,007     38,376.9    186,305
Esin_bac_bin044.fa  FASTA   DNA         31  1,965,670      4,381     63,408.7    268,435
Esin_bac_bin045.fa  FASTA   DNA         11  2,152,514     77,489    195,683.1    349,751
Esin_bac_bin046.fa  FASTA   DNA         14  1,714,752      3,124    122,482.3    680,290
Esin_bac_bin047.fa  FASTA   DNA        252  1,748,799      2,522      6,939.7    101,954
Esin_bac_bin048.fa  FASTA   DNA         14  1,989,790      2,965    142,127.9    498,294
Esin_bac_bin049.fa  FASTA   DNA        230  1,312,542      2,000      5,706.7     39,718
Esin_bac_bin050.fa  FASTA   DNA         15  1,657,872      2,337    110,524.8    428,649
Esin_bac_bin051.fa  FASTA   DNA        152  1,352,463      2,005      8,897.8     64,323
Esin_bac_bin052.fa  FASTA   DNA         99  2,562,474      4,651     25,883.6    164,619
Esin_bac_bin053.fa  FASTA   DNA         15  2,078,368     11,324    138,557.9    343,822
Esin_bac_bin054.fa  FASTA   DNA        105  2,565,332      2,551     24,431.7    144,446
Esin_bac_bin055.fa  FASTA   DNA         39  2,054,758      2,444     52,686.1    238,239
Esin_bac_bin056.fa  FASTA   DNA         33  1,381,254      5,857     41,856.2    137,835
Esin_bac_bin057.fa  FASTA   DNA          4  1,117,019     66,819    279,254.8    514,013
Esin_bac_bin058.fa  FASTA   DNA         17  1,619,451      5,670     95,261.8    394,292
Esin_bac_bin059.fa  FASTA   DNA         24  2,158,426      8,124     89,934.4    346,588
Esin_bac_bin060.fa  FASTA   DNA         26  2,432,129     10,218     93,543.4    589,146
Esin_bac_bin061.fa  FASTA   DNA         13  1,064,706     19,424     81,900.5    305,035
Esin_bac_bin062.fa  FASTA   DNA         26    764,432      5,922     29,401.2    110,816
Esin_bac_bin063.fa  FASTA   DNA         18    731,773      7,131     40,654.1    124,467
Esin_bac_bin064.fa  FASTA   DNA        159    681,316      2,025        4,285     51,280
Esin_bac_bin065.fa  FASTA   DNA         44  1,050,852      2,292       23,883    123,370
Esin_bac_bin066.fa  FASTA   DNA         63  1,558,672      2,099     24,740.8    130,991
Esin_bac_bin067.fa  FASTA   DNA         20  1,756,237      2,710     87,811.9    406,953
Esin_bac_bin068.fa  FASTA   DNA        376  1,678,350      2,009      4,463.7     61,732
Esin_bac_bin069.fa  FASTA   DNA        151  1,532,663      2,007     10,150.1     85,668
Esin_bac_bin070.fa  FASTA   DNA         36  2,481,938      3,087     68,942.7    263,764
Esin_bac_bin071.fa  FASTA   DNA         27  1,939,543      2,584     71,834.9    316,822
Esin_bac_bin072.fa  FASTA   DNA         53  2,072,532      2,941     39,104.4    169,309
Esin_bac_bin073.fa  FASTA   DNA        157  2,608,057      2,026     16,611.8    144,601
Esin_bac_bin074.fa  FASTA   DNA         29  5,015,414     14,725    172,945.3    687,073
Esin_bac_bin075.fa  FASTA   DNA          1  3,577,806  3,577,806    3,577,806  3,577,806
Esin_bac_bin076.fa  FASTA   DNA         35  1,865,867      4,870     53,310.5    147,500
Esin_bac_bin077.fa  FASTA   DNA         30  2,505,963      6,440     83,532.1    344,702
Esin_bac_bin078.fa  FASTA   DNA        314  3,474,509      2,026     11,065.3    108,370
Esin_bac_bin079.fa  FASTA   DNA         24  4,442,223      3,317    185,092.6    962,560
Esin_bac_bin080.fa  FASTA   DNA         15  3,484,543      4,533    232,302.9  1,683,048
Esin_bac_bin081.fa  FASTA   DNA        238  1,881,039      2,018      7,903.5     87,409
Esin_bac_bin082.fa  FASTA   DNA         18  3,800,156     15,643    211,119.8    586,781
Esin_bac_bin083.fa  FASTA   DNA          9  3,647,778      2,339    405,308.7  3,445,456
Esin_bac_bin084.fa  FASTA   DNA        127  3,480,176      2,033       27,403    238,018
Esin_bac_bin085.fa  FASTA   DNA         17  2,026,029      6,764    119,178.2    379,597
Esin_bac_bin086.fa  FASTA   DNA        347  2,370,578      2,004      6,831.6    110,539
Esin_bac_bin087.fa  FASTA   DNA        233  2,799,723      2,016       12,016    145,348
Esin_bac_bin088.fa  FASTA   DNA        673  4,109,768      2,000      6,106.6     52,753
Esin_bac_bin089.fa  FASTA   DNA        320  1,954,264      2,010      6,107.1     31,073
