bin	GH	GT	CE	CBM
Bger_bac_bin113	42	36	8	9
Bger_bac_bin114	36	38	5	7
Bger_bac_bin115	30	38	4	5
Bger_bac_bin116	42	46	6	11
Bger_bac_bin117	34	42	4	6
Bger_bac_bin118	30	36	4	5
Bger_bac_bin119	102	56	17	17
Bger_bac_bin120	35	19	5	6
Bger_bac_bin121	51	32	20	21
Bger_bac_bin122	29	37	5	9
Bger_bac_bin123	49	35	4	7
Bger_bac_bin124	50	34	5	9
Bger_bac_bin125	44	37	4	9
Bger_bac_bin126	47	36	5	8
Bger_bac_bin127	52	40	5	9
Bger_bac_bin128	170	56	22	29
Bger_bac_bin129	58	39	13	14
Bger_bac_bin130	28	41	5	7
Bger_bac_bin131	37	32	6	6
Bger_bac_bin132	48	37	6	9
Bger_bac_bin133	223	80	28	47
Bger_bac_bin134	151	62	21	35
Bger_bac_bin135	148	69	22	36
Bger_bac_bin136	167	51	13	34
Bger_bac_bin137	155	53	13	36
Bger_bac_bin138	291	93	36	54
Bger_bac_bin139	118	43	10	24
Bger_bac_bin140	111	62	14	21
Bger_bac_bin141	273	70	19	40
Bger_bac_bin142	375	93	32	60
Bger_bac_bin143	88	54	7	26
Bger_bac_bin144	52	61	16	10
Bger_bac_bin145	170	57	14	29
Bger_bac_bin146	73	54	10	21
Bger_bac_bin147	34	57	7	4
Bger_bac_bin148	7	9	0	0
Bger_bac_bin149	34	40	3	3
Bger_bac_bin150	35	46	4	2
Bger_bac_bin151	24	36	1	6
Bger_bac_bin152	38	40	4	10
Bger_bac_bin153	22	49	3	4
Bger_bac_bin154	41	53	5	7
Bger_bac_bin155	45	64	5	9
Bger_bac_bin156	58	65	3	7
Bger_bac_bin157	49	54	6	10
Bger_bac_bin158	36	43	4	4
Bger_bac_bin159	40	90	6	5
Bger_bac_bin160	20	41	3	3
Bger_bac_bin161	24	66	5	8
Bger_bac_bin162	21	65	6	6
Bger_bac_bin163	19	47	6	5
Bger_bac_bin164	33	59	4	8
Bger_bac_bin165	35	61	4	8
Bger_bac_bin166	37	72	4	7
Bger_bac_bin167	38	74	9	7
Bger_bac_bin168	42	68	9	9
Bger_bac_bin169	37	81	8	9
Bger_bac_bin170	28	69	4	6
Bger_bac_bin171	40	102	5	5
Bger_bac_bin172	30	70	3	6
Bger_bac_bin173	32	67	3	7
Bger_bac_bin174	22	38	4	4
Bger_bac_bin175	30	67	5	8
Bger_bac_bin176	10	15	5	1
Bger_bac_bin177	27	53	9	9
Bger_bac_bin178	51	19	7	7
Bger_bac_bin179	12	38	0	1
Bger_bac_bin180	11	36	2	5
Bger_bac_bin181	14	19	2	2
Bger_bac_bin182	25	36	3	6
Bger_bac_bin183	25	25	3	6
Bger_bac_bin184	34	29	6	5
Bger_bac_bin185	39	35	5	5
Bger_bac_bin186	33	38	4	5
Bger_bac_bin187	31	44	5	5
Bger_bac_bin188	35	56	7	8
Bger_bac_bin189	35	43	7	5
Bger_bac_bin190	42	44	5	7
Bger_bac_bin191	42	42	6	4
Bger_bac_bin192	64	49	9	8
Bger_bac_bin193	45	53	5	8
Bger_bac_bin194	47	53	7	6
Bger_bac_bin195	68	57	5	11
Bger_bac_bin196	33	48	4	0
Bger_bac_bin197	20	29	4	4
Bger_bac_bin198	21	25	3	3
Bger_bac_bin199	20	27	3	4
Bger_bac_bin200	16	16	2	1
Bger_bac_bin201	27	31	2	3
Bger_bac_bin202	31	36	4	4
Bger_bac_bin203	19	31	2	6
Bger_bac_bin204	14	17	1	2
Bger_bac_bin205	11	18	2	1
Bger_bac_bin206	13	21	1	2
Bger_bac_bin207	24	13	2	3
Bger_bac_bin208	32	33	4	8
Bger_bac_bin209	25	30	4	6
Bger_bac_bin210	52	38	6	13
Bger_bac_bin211	115	69	14	19
Bger_bac_bin212	50	65	7	8
Bger_bac_bin213	48	59	6	8
Bger_bac_bin214	21	27	1	10
Bger_bac_bin215	20	19	4	9
Bger_bac_bin216	299	67	36	31
Bger_bac_bin217	112	53	8	33
Bger_bac_bin218	105	40	7	26
Esin_bac_bin001	33	8	1	8
Esin_bac_bin002	51	23	4	10
Esin_bac_bin003	60	47	12	21
Esin_bac_bin004	79	51	8	23
Esin_bac_bin005	23	27	7	1
Esin_bac_bin006	29	54	12	3
Esin_bac_bin007	35	51	16	7
Esin_bac_bin008	38	88	18	5
Esin_bac_bin009	28	43	12	2
Esin_bac_bin010	21	19	3	6
Esin_bac_bin011	65	55	10	19
Esin_bac_bin012	9	15	1	2
Esin_bac_bin013	46	17	6	6
Esin_bac_bin014	123	32	9	18
Esin_bac_bin015	62	41	11	8
Esin_bac_bin016	58	33	7	5
Esin_bac_bin017	42	36	7	7
Esin_bac_bin018	41	34	6	7
Esin_bac_bin019	68	51	8	10
Esin_bac_bin020	67	43	11	12
Esin_bac_bin021	61	48	9	12
Esin_bac_bin022	38	23	6	6
Esin_bac_bin023	94	31	7	12
Esin_bac_bin024	71	22	10	8
Esin_bac_bin025	56	14	7	4
Esin_bac_bin026	40	22	4	6
Esin_bac_bin027	48	16	6	6
Esin_bac_bin028	106	40	12	19
Esin_bac_bin029	49	8	3	7
Esin_bac_bin030	32	15	4	6
Esin_bac_bin031	14	13	5	10
Esin_bac_bin032	15	21	3	6
Esin_bac_bin033	37	20	7	10
Esin_bac_bin034	25	43	10	8
Esin_bac_bin035	17	19	2	4
Esin_bac_bin036	48	14	10	9
Esin_bac_bin037	35	9	3	7
Esin_bac_bin038	17	13	6	1
Esin_bac_bin039	44	36	6	7
Esin_bac_bin040	29	24	6	5
Esin_bac_bin041	59	19	6	6
Esin_bac_bin042	57	17	2	6
Esin_bac_bin043	66	15	3	6
Esin_bac_bin044	57	16	4	6
Esin_bac_bin045	75	15	6	6
Esin_bac_bin046	24	16	5	5
Esin_bac_bin047	33	18	5	4
Esin_bac_bin048	60	25	6	6
Esin_bac_bin049	9	21	1	7
Esin_bac_bin050	24	19	4	3
Esin_bac_bin051	54	7	3	5
Esin_bac_bin052	68	17	1	7
Esin_bac_bin053	23	22	5	4
Esin_bac_bin054	74	14	10	8
Esin_bac_bin055	59	19	1	7
Esin_bac_bin056	24	13	2	5
Esin_bac_bin057	40	10	0	5
Esin_bac_bin058	63	15	4	6
Esin_bac_bin059	93	24	3	12
Esin_bac_bin060	68	19	7	14
Esin_bac_bin061	11	16	2	1
Esin_bac_bin062	3	7	1	1
Esin_bac_bin063	10	12	2	1
Esin_bac_bin064	5	5	0	2
Esin_bac_bin065	5	9	1	1
Esin_bac_bin066	36	22	6	3
Esin_bac_bin067	24	26	4	8
Esin_bac_bin068	30	12	4	4
Esin_bac_bin069	10	14	2	2
Esin_bac_bin070	27	25	12	14
Esin_bac_bin071	22	23	4	12
Esin_bac_bin072	35	27	10	21
Esin_bac_bin073	55	14	5	11
Esin_bac_bin074	165	67	15	68
Esin_bac_bin075	65	43	7	32
Esin_bac_bin076	45	17	6	13
Esin_bac_bin077	40	39	3	15
Esin_bac_bin078	63	49	9	32
Esin_bac_bin079	112	89	7	23
Esin_bac_bin080	119	56	11	38
Esin_bac_bin081	51	22	10	16
Esin_bac_bin082	148	94	11	50
Esin_bac_bin083	125	65	11	48
Esin_bac_bin084	131	74	14	33
Esin_bac_bin085	32	34	7	12
Esin_bac_bin086	85	50	12	15
Esin_bac_bin087	103	73	9	13
Esin_bac_bin088	115	27	21	16
Esin_bac_bin089	41	28	5	27
Esin_bac_bin090	123	47	14	36
Esin_bac_bin091	39	32	10	28
Esin_bac_bin092	84	54	12	14
Esin_bac_bin093	129	46	21	31
Esin_bac_bin094	79	66	13	20
Esin_bac_bin095	119	86	13	19
Esin_bac_bin096	59	22	11	13
Esin_bac_bin097	70	36	5	21
Esin_bac_bin098	78	31	17	37
Esin_bac_bin099	63	39	7	17
Esin_bac_bin100	16	13	4	5
Esin_bac_bin101	31	18	14	13
Esin_bac_bin102	73	27	5	13
Esin_bac_bin103	26	15	3	6
Esin_bac_bin104	26	13	3	21
Esin_bac_bin105	62	30	2	8
Esin_bac_bin106	52	28	4	9
Esin_bac_bin107	40	32	3	13
Esin_bac_bin108	13	11	4	6
Esin_bac_bin109	32	29	4	18
Esin_bac_bin110	55	20	5	8
Esin_bac_bin111	24	25	4	13
Esin_bac_bin112	26	26	4	4
Esin_bac_bin113	37	26	3	17
Esin_bac_bin114	78	25	5	6
Esin_bac_bin115	31	39	5	35
Esin_bac_bin116	19	11	3	5
Esin_bac_bin117	15	13	6	1
Esin_bac_bin118	9	7	2	2
Esin_bac_bin119	8	11	3	2
Esin_bac_bin120	17	14	5	3
Esin_bac_bin121	30	12	4	6
Esin_bac_bin122	44	18	5	9
Esin_bac_bin123	41	25	8	8
Esin_bac_bin124	88	23	9	11
Esin_bac_bin125	98	14	10	14
Esin_bac_bin126	18	8	5	5
Esin_bac_bin127	38	24	10	8
Esin_bac_bin128	42	15	3	2
Esin_bac_bin129	9	16	1	4
Esin_bac_bin130	32	18	7	4
Esin_bac_bin131	25	17	4	2
Esin_bac_bin132	32	20	5	8
Esin_bac_bin133	16	9	3	7
Esin_bac_bin134	39	28	6	11
Esin_bac_bin135	34	35	5	7
Esin_bac_bin136	33	25	5	7
Esin_bac_bin137	40	26	6	7
Esin_bac_bin138	69	26	7	10
Esin_bac_bin139	41	32	5	9
Esin_bac_bin140	23	22	6	8
Esin_bac_bin141	49	35	8	7
Esin_bac_bin142	44	25	2	6
Esin_bac_bin143	11	21	1	1
Esin_bac_bin144	48	17	10	8
Esin_bac_bin145	41	25	4	13
Esin_bac_bin146	42	12	8	5
Esin_bac_bin147	41	16	7	10
Esin_bac_bin148	60	18	8	10
Esin_bac_bin149	46	21	7	26
Esin_bac_bin150	33	18	7	21
Esin_bac_bin151	46	38	6	31
Esin_bac_bin152	52	18	7	35
Esin_bac_bin153	76	34	10	45
Esin_bac_bin154	71	49	12	40
Esin_bac_bin155	50	23	6	15
Esin_bac_bin156	43	48	3	27
Esin_bac_bin157	50	27	9	14
Esin_bac_bin158	73	25	11	19
Esin_bac_bin159	41	15	7	12
Esin_bac_bin160	26	15	7	9
Esin_bac_bin161	59	26	9	15
Esin_bac_bin162	73	28	17	40
Esin_bac_bin163	85	30	13	42
Esin_bac_bin164	32	16	6	3
Esin_bac_bin165	66	15	11	11
Esin_bac_bin166	18	19	3	7
Esin_bac_bin167	31	12	5	6
Esin_bac_bin168	47	22	4	13
Esin_bac_bin169	70	14	12	6
Esin_bac_bin170	11	17	4	3
Esin_bac_bin171	17	10	1	5
Esin_bac_bin172	20	19	5	6
Esin_bac_bin173	20	13	3	8
Esin_bac_bin174	87	44	17	14
Esin_bac_bin175	49	37	13	13
Esin_bac_bin176	64	23	12	16
Esin_bac_bin177	42	33	14	9
Esin_bac_bin178	32	26	13	10
Esin_bac_bin179	29	24	7	13
Esin_bac_bin180	46	35	9	12
Esin_bac_bin181	59	35	12	12
Esin_bac_bin182	24	20	6	9
Esin_bac_bin183	103	55	12	23
Esin_bac_bin184	60	19	4	7
Esin_bac_bin185	107	41	12	20
Esin_bac_bin186	53	15	2	10
Esin_bac_bin187	124	39	4	30
Esin_bac_bin188	98	42	7	19
Esin_bac_bin189	67	21	5	11
Esin_bac_bin190	35	30	4	8
Esin_bac_bin191	63	41	2	14
Esin_bac_bin192	47	49	3	16
Esin_bac_bin193	66	30	6	19
Esin_bac_bin194	55	27	5	9
Esin_bac_bin195	33	26	3	11
Esin_bac_bin196	44	33	2	10
Esin_bac_bin197	59	72	3	17
Esin_bac_bin198	31	27	4	10
Esin_bac_bin199	27	20	2	11
Esin_bac_bin200	64	58	4	20
Esin_bac_bin201	66	53	3	16
Esin_bac_bin202	25	20	1	9
Esin_bac_bin203	43	38	2	12
Esin_bac_bin204	42	32	2	22
Esin_bac_bin205	61	36	2	19
Esin_bac_bin206	85	26	14	20
Esin_bac_bin207	20	32	3	2
Esin_bac_bin208	25	28	5	7
Esin_bac_bin209	27	7	5	5
Esin_bac_bin210	24	5	3	6
Esin_bac_bin211	38	12	6	12
Esin_bac_bin212	32	19	1	6
Esin_bac_bin213	43	21	5	8
Esin_bac_bin214	32	19	5	4
Esin_bac_bin215	23	29	6	4
Esin_bac_bin216	39	12	4	14
Esin_bac_bin217	50	31	8	8
Esin_bac_bin218	11	14	1	4
Esin_bac_bin219	13	2	3	4
Esin_bac_bin220	27	12	5	8
Esin_bac_bin221	28	11	6	6
Esin_bac_bin222	33	14	5	8
Esin_bac_bin223	5	3	2	0
Esin_bac_bin224	5	14	0	4
Esin_bac_bin225	5	16	1	0
Esin_bac_bin226	10	7	0	2
Esin_bac_bin227	11	19	0	5
Esin_bac_bin228	12	8	0	3
Esin_bac_bin229	19	30	2	4
Esin_bac_bin230	9	17	1	3
Esin_bac_bin231	31	15	0	8
Esin_bac_bin232	17	33	0	7
Esin_bac_bin233	7	6	0	5
Esin_bac_bin234	26	23	0	11
Esin_bac_bin235	27	32	0	8
Esin_bac_bin236	28	13	2	8
Esin_bac_bin237	54	82	16	25
Esin_bac_bin238	42	35	11	10
Esin_bac_bin239	108	22	7	21
Esin_bac_bin240	80	39	7	35
Esin_bac_bin241	51	63	3	26
Esin_bac_bin242	153	59	10	64
Esin_bac_bin243	133	49	23	31
Esin_bac_bin244	117	42	14	32
Esin_bac_bin245	100	56	17	30
Esin_bac_bin246	83	25	16	11
Esin_bac_bin247	80	35	12	16
Esin_bac_bin248	67	34	20	11
Esin_bac_bin249	123	29	19	33
Esin_bac_bin250	101	51	14	25
Esin_bac_bin251	99	48	21	22
Esin_bac_bin252	94	53	14	26
Esin_bac_bin253	78	81	8	37
Esin_bac_bin254	139	43	17	35
Esin_bac_bin255	71	68	9	29
Esin_bac_bin256	102	61	19	30
Esin_bac_bin257	132	47	14	28
Esin_bac_bin258	115	53	13	29
Esin_bac_bin259	153	46	20	32
Esin_bac_bin260	172	62	30	41
Esin_bac_bin261	61	65	12	27
Esin_bac_bin262	143	66	15	38
Esin_bac_bin263	63	50	8	19
Esin_bac_bin264	124	38	8	30
Esin_bac_bin265	117	65	13	30
Esin_bac_bin266	147	52	11	40
Esin_bac_bin267	123	72	10	31
Esin_bac_bin268	146	73	15	40
Esin_bac_bin269	92	44	10	19
Esin_bac_bin270	112	46	16	21
Esin_bac_bin271	228	60	20	36
Esin_bac_bin272	142	38	27	31
Esin_bac_bin273	143	64	24	25
Esin_bac_bin274	162	60	24	30
Esin_bac_bin275	122	53	11	24
Esin_bac_bin276	173	69	10	33
Esin_bac_bin277	92	90	16	28
Esin_bac_bin278	66	67	9	14
Esin_bac_bin279	424	136	51	87
Esin_bac_bin280	168	74	25	47
Esin_bac_bin281	146	99	16	41
Esin_bac_bin282	38	47	3	7
Esin_bac_bin283	36	41	5	5
Esin_bac_bin284	32	47	3	15
Esin_bac_bin285	41	56	4	9
Esin_bac_bin286	45	61	5	10
Esin_bac_bin287	25	35	7	5
Esin_bac_bin288	78	58	13	21
Esin_bac_bin289	27	51	7	6
Esin_bac_bin290	30	76	9	7
Esin_bac_bin291	30	45	7	8
Esin_bac_bin292	7	31	6	3
Esin_bac_bin293	44	45	4	10
Esin_bac_bin294	74	62	8	26
Esin_bac_bin295	51	46	9	11
Esin_bac_bin296	86	43	16	16
Esin_bac_bin297	24	58	5	6
Esin_bac_bin298	156	78	21	55
Esin_bac_bin299	163	66	23	45
Esin_bac_bin300	45	62	8	17
Esin_bac_bin301	87	39	5	18
Esin_bac_bin302	69	33	8	10
Esin_bac_bin303	64	30	23	28
Esin_bac_bin304	91	58	27	43
Esin_bac_bin305	109	66	20	12
Esin_bac_bin306	24	29	2	2
Esin_bac_bin307	29	29	4	1
Esin_bac_bin308	28	25	2	4
Esin_bac_bin309	31	39	4	6
Esin_bac_bin310	40	21	3	2
Esin_bac_bin311	45	37	7	5
Esin_bac_bin312	42	41	4	7
Esin_bac_bin313	58	39	6	4
Esin_bac_bin314	30	29	4	6
Esin_bac_bin315	54	37	7	7
Esin_bac_bin316	44	31	7	6
Esin_bac_bin317	49	40	6	8
Esin_bac_bin318	63	29	5	9
Esin_bac_bin319	45	18	3	6
Esin_bac_bin320	47	24	6	7
Esin_bac_bin321	69	36	10	6
Esin_bac_bin322	37	29	5	11
Esin_bac_bin323	110	50	10	33
Esin_bac_bin324	29	27	4	5
Esin_bac_bin325	43	30	7	9
Esin_bac_bin326	41	37	4	5
Esin_bac_bin327	63	34	7	10
Esin_bac_bin328	44	41	4	9
Esin_bac_bin329	52	49	6	7
Esin_bac_bin330	31	56	6	8
Esin_bac_bin331	72	71	23	23
Esin_bac_bin332	75	67	19	18
Esin_bac_bin333	100	46	15	16
Esin_bac_bin334	57	28	9	21
Esin_bac_bin335	109	49	12	17
Esin_bac_bin336	111	72	12	28
Esin_bac_bin337	123	77	11	40
Esin_bac_bin338	94	58	15	22
Esin_bac_bin339	89	72	15	26
Esin_bac_bin340	107	30	16	25
Esin_bac_bin341	115	33	6	19
Esin_bac_bin342	89	61	18	22
Esin_bac_bin343	50	62	6	8
Esin_bac_bin344	15	14	3	3
Esin_bac_bin345	60	39	7	10
Esin_bac_bin346	48	26	7	6
Esin_bac_bin347	48	28	5	9
Esin_bac_bin348	32	37	4	7
Esin_bac_bin349	50	33	6	8
Esin_bac_bin350	44	45	6	5
Esin_bac_bin351	46	43	5	7
Esin_bac_bin352	35	38	7	7
Esin_bac_bin353	22	32	5	1
Esin_bac_bin354	18	30	2	3
Esin_bac_bin355	25	58	2	5
Esin_bac_bin356	50	55	5	13
Esin_bac_bin357	35	61	5	13
Esin_bac_bin358	25	47	2	9
Esin_bac_bin359	23	58	4	10
Esin_bac_bin360	28	53	4	12
Esin_bac_bin361	34	45	3	6
Esin_bac_bin362	37	51	5	14
Esin_bac_bin363	42	50	4	9
Esin_bac_bin364	13	12	2	0
Esin_bac_bin365	24	42	5	4
Esin_bac_bin366	12	17	1	0
Esin_bac_bin367	17	15	1	2
Esin_bac_bin368	13	30	3	2
Esin_bac_bin369	17	19	1	1
Esin_bac_bin370	14	33	2	1
Esin_bac_bin371	23	41	3	1
Esin_bac_bin372	31	52	5	2
Esin_bac_bin373	16	20	2	0
Esin_bac_bin374	24	44	2	1
Esin_bac_bin375	11	18	2	2
Esin_bac_bin376	19	29	2	3
Esin_bac_bin377	3	22	4	2
Esin_bac_bin378	11	27	1	2
Esin_bac_bin379	13	26	4	0
Esin_bac_bin380	19	31	2	1
Esin_bac_bin381	13	21	1	5
Esin_bac_bin382	27	39	4	7
Esin_bac_bin383	27	40	8	4
Esin_bac_bin384	44	63	4	12
Esin_bac_bin385	41	52	5	11
Esin_bac_bin386	58	61	5	17
Esin_bac_bin387	58	58	6	16
Esin_bac_bin388	38	40	3	12
Esin_bac_bin389	1	5	0	0
Esin_bac_bin390	24	23	3	7
Esin_bac_bin391	4	12	1	2
Esin_bac_bin392	6	4	1	0
Esin_bac_bin393	14	22	2	4
Esin_bac_bin394	71	31	16	26
Esin_bac_bin395	51	46	6	8
Esin_bac_bin396	21	25	1	2
Esin_bac_bin397	33	44	7	9
Esin_bac_bin398	23	25	1	3
Esin_bac_bin399	17	20	1	3
Esin_bac_bin400	7	13	2	2
Esin_bac_bin401	21	18	2	3
Esin_bac_bin402	9	11	2	1
Esin_bac_bin403	17	18	2	4
Esin_bac_bin404	22	25	3	4
Esin_bac_bin405	27	45	2	5
Esin_bac_bin406	21	30	1	4
Esin_bac_bin407	20	41	1	7
Esin_bac_bin408	34	27	1	4
Esin_bac_bin409	38	48	2	0
Esin_bac_bin410	10	13	3	3
Esin_bac_bin411	9	19	1	1
Esin_bac_bin412	11	19	1	2
Esin_bac_bin413	12	14	0	1
Esin_bac_bin414	12	10	1	2
Esin_bac_bin415	14	25	1	2
Esin_bac_bin416	8	8	1	3
Esin_bac_bin417	9	13	1	0
Esin_bac_bin418	17	21	1	4
Esin_bac_bin419	29	47	9	7
Esin_bac_bin420	13	19	1	3
Esin_bac_bin421	29	48	4	9
Esin_bac_bin422	26	25	2	5
Esin_bac_bin423	34	56	1	5
Esin_bac_bin424	16	21	3	1
Esin_bac_bin425	10	5	2	1
Esin_bac_bin426	33	34	6	6
Esin_bac_bin427	51	54	6	7
Esin_bac_bin428	48	61	5	20
Esin_bac_bin429	40	57	9	14
Esin_bac_bin430	15	20	2	6
Esin_bac_bin431	15	22	5	7
Esin_bac_bin432	38	14	3	4
Esin_bac_bin433	75	18	6	14
Esin_bac_bin434	79	23	5	8
Esin_bac_bin435	82	38	12	12
Esin_bac_bin436	96	52	9	20
Esin_bac_bin437	67	46	5	16
Esin_bac_bin438	68	43	5	14
Esin_bac_bin439	16	19	3	7
Esin_bac_bin440	20	37	3	2
Esin_bac_bin441	29	32	3	3
Esin_bac_bin442	35	90	9	13
Esin_bac_bin443	120	39	15	42
Esin_bac_bin444	69	57	12	15
Esin_bac_bin445	127	45	22	16
Esin_bac_bin446	51	37	17	12
Esin_bac_bin447	132	28	20	10
Esin_bac_bin448	12	17	1	4
Esin_bac_bin449	51	54	8	15
Esin_bac_bin450	101	39	6	31
Esin_bac_bin451	76	32	6	23
Pame_bac_bin001	32	64	6	13
Pame_bac_bin002	34	45	17	7
Pame_bac_bin003	18	29	1	3
Pame_bac_bin004	20	26	1	5
Pame_bac_bin005	18	15	2	1
Pame_bac_bin006	7	17	2	2
Pame_bac_bin007	11	14	0	3
Pame_bac_bin008	10	24	0	1
Pame_bac_bin009	18	15	0	4
Pame_bac_bin010	15	8	0	1
Pame_bac_bin011	38	24	3	5
Pame_bac_bin012	44	40	4	13
Pame_bac_bin013	84	38	5	28
Pame_bac_bin014	88	45	10	19
Pame_bac_bin015	87	38	2	19
Pame_bac_bin016	78	37	4	21
Pame_bac_bin017	100	44	12	23
Pame_bac_bin018	113	50	7	27
Pame_bac_bin019	40	17	5	10
Pame_bac_bin020	52	41	3	13
Pame_bac_bin021	29	25	3	7
Pame_bac_bin022	18	21	0	3
Pame_bac_bin023	14	9	1	4
Pame_bac_bin024	38	37	4	14
Pame_bac_bin025	28	32	3	12
Pame_bac_bin026	32	34	2	8
Pame_bac_bin027	28	19	2	8
Pame_bac_bin028	23	36	2	12
Pame_bac_bin029	30	32	1	7
Pame_bac_bin030	76	49	7	13
Pame_bac_bin031	37	46	5	12
Pame_bac_bin032	62	57	2	17
Pame_bac_bin033	68	49	4	12
Pame_bac_bin034	39	58	5	10
Pame_bac_bin035	18	26	3	7
Pame_bac_bin036	20	27	4	6
Pame_bac_bin037	47	9	4	9
Pame_bac_bin038	59	56	8	11
Pame_bac_bin039	105	37	9	9
Pame_bac_bin040	83	25	8	12
Pame_bac_bin041	95	28	11	18
Pame_bac_bin042	53	30	7	10
Pame_bac_bin043	136	41	20	20
Pame_bac_bin044	39	26	8	7
Pame_bac_bin045	73	31	10	11
Pame_bac_bin046	30	11	5	6
Pame_bac_bin047	26	13	4	3
Pame_bac_bin048	34	13	8	5
Pame_bac_bin049	36	18	7	5
Pame_bac_bin050	33	12	4	9
Pame_bac_bin051	17	11	5	5
Pame_bac_bin052	62	11	3	11
Pame_bac_bin053	56	13	4	6
Pame_bac_bin054	22	24	6	5
Pame_bac_bin055	63	21	3	9
Pame_bac_bin056	43	16	5	4
Pame_bac_bin057	61	12	4	4
Pame_bac_bin058	29	15	1	4
Pame_bac_bin059	33	13	6	6
Pame_bac_bin060	9	13	3	5
Pame_bac_bin061	71	17	15	13
Pame_bac_bin062	30	36	3	14
Pame_bac_bin063	101	34	6	15
Pame_bac_bin064	20	23	4	9
Pame_bac_bin065	13	12	2	7
Pame_bac_bin066	38	15	6	5
