bin	5S	16S	23S
Esin_bac_bin209	1	2	1
Esin_bac_bin210	1	1	1
Esin_bac_bin211	1	1	1
Esin_bac_bin212	0	0	0
Esin_bac_bin213	2	1	1
Esin_bac_bin214	2	2	2
Esin_bac_bin215	2	2	2
Esin_bac_bin216	1	1	1
Esin_bac_bin217	1	1	1
Esin_bac_bin218	2	2	2
Esin_bac_bin219	0	0	0
Esin_bac_bin220	1	2	1
Esin_bac_bin221	2	2	2
Esin_bac_bin222	1	1	1
Esin_bac_bin223	1	1	1
Esin_bac_bin224	1	1	1
Esin_bac_bin225	1	1	1
Esin_bac_bin226	0	0	0
Esin_bac_bin227	0	0	0
Esin_bac_bin228	1	1	1
Esin_bac_bin229	1	1	1
Esin_bac_bin230	2	2	1
Esin_bac_bin231	1	2	1
Esin_bac_bin232	1	1	1
Esin_bac_bin233	0	0	0
Esin_bac_bin234	1	1	1
Esin_bac_bin235	1	1	1
Esin_bac_bin236	0	0	0
Esin_bac_bin237	2	2	2
Esin_bac_bin238	1	1	1
Esin_bac_bin239	0	0	0
Esin_bac_bin240	1	1	1
Esin_bac_bin241	1	1	1
Esin_bac_bin242	0	0	0
Esin_bac_bin243	2	3	2
Esin_bac_bin244	0	1	0
Esin_bac_bin245	1	1	1
Esin_bac_bin246	2	2	2
Esin_bac_bin247	4	3	3
Esin_bac_bin248	2	2	2
Esin_bac_bin249	2	2	2
Esin_bac_bin250	4	3	3
Esin_bac_bin251	2	2	2
Esin_bac_bin252	2	3	2
Esin_bac_bin253	2	2	1
Esin_bac_bin254	2	3	2
Esin_bac_bin255	3	3	3
Esin_bac_bin256	1	2	1
Esin_bac_bin257	2	4	2
Esin_bac_bin258	2	3	2
Esin_bac_bin259	0	0	0
Esin_bac_bin260	2	2	2
Esin_bac_bin261	1	2	1
Esin_bac_bin262	2	2	2
Esin_bac_bin263	2	1	1
Esin_bac_bin264	2	1	1
Esin_bac_bin265	2	2	2
Esin_bac_bin266	2	2	1
Esin_bac_bin267	3	3	3
Esin_bac_bin268	3	1	1
Esin_bac_bin269	2	2	2
Esin_bac_bin270	2	2	2
Esin_bac_bin271	3	3	2
Esin_bac_bin272	4	3	3
Esin_bac_bin273	3	3	3
Esin_bac_bin274	1	2	0
Esin_bac_bin275	3	1	1
Esin_bac_bin276	2	1	1
Esin_bac_bin277	3	3	1
Esin_bac_bin278	5	4	4
Esin_bac_bin279	4	1	1
Esin_bac_bin280	3	2	2
Esin_bac_bin281	4	4	4
Esin_bac_bin282	3	3	3
Esin_bac_bin283	1	1	1
Esin_bac_bin284	3	3	3
Esin_bac_bin285	4	3	3
Esin_bac_bin286	3	3	3
Esin_bac_bin287	2	2	2
Esin_bac_bin288	0	0	0
Esin_bac_bin289	3	2	3
Esin_bac_bin290	2	2	2
Esin_bac_bin291	0	0	0
Esin_bac_bin292	3	1	3
Esin_bac_bin293	0	0	0
Esin_bac_bin294	2	2	2
Esin_bac_bin295	1	1	1
Esin_bac_bin296	1	1	0
Esin_bac_bin297	1	0	1
Esin_bac_bin298	2	1	2
Esin_bac_bin299	2	2	2
Esin_bac_bin300	1	2	1
Esin_bac_bin301	2	1	1
Esin_bac_bin302	2	2	2
Esin_bac_bin303	1	2	2
Esin_bac_bin304	2	2	2
Esin_bac_bin305	1	1	1
Esin_bac_bin306	0	1	0
Esin_bac_bin307	1	1	1
Esin_bac_bin308	1	1	0
Esin_bac_bin309	1	1	1
Esin_bac_bin310	2	0	2
Esin_bac_bin311	2	1	1
Esin_bac_bin312	1	1	1
Esin_bac_bin313	2	2	2
Esin_bac_bin314	4	3	3
Esin_bac_bin315	2	2	2
Esin_bac_bin316	2	2	2
Esin_bac_bin317	2	2	2
Esin_bac_bin318	2	0	1
Esin_bac_bin319	2	1	1
Esin_bac_bin320	0	0	0
Esin_bac_bin321	1	2	1
Esin_bac_bin322	0	1	0
Esin_bac_bin323	2	2	2
Esin_bac_bin324	1	1	0
Esin_bac_bin325	2	2	1
Esin_bac_bin326	2	1	1
Esin_bac_bin327	2	2	2
Esin_bac_bin328	1	1	1
Esin_bac_bin329	2	2	2
Esin_bac_bin330	2	2	2
Esin_bac_bin331	4	2	1
Esin_bac_bin332	4	3	4
Esin_bac_bin333	2	3	2
Esin_bac_bin334	1	0	0
Esin_bac_bin335	2	1	1
Esin_bac_bin336	4	3	3
Esin_bac_bin337	5	5	4
Esin_bac_bin338	5	2	1
Esin_bac_bin339	4	3	3
Esin_bac_bin340	2	2	2
Esin_bac_bin341	0	0	0
Esin_bac_bin342	2	4	3
Esin_bac_bin343	3	3	3
Esin_bac_bin344	3	1	3
Esin_bac_bin345	4	3	2
Esin_bac_bin346	3	2	3
Esin_bac_bin347	3	3	3
Esin_bac_bin348	3	3	3
Esin_bac_bin349	3	3	3
Esin_bac_bin350	3	3	3
Esin_bac_bin351	2	3	3
Esin_bac_bin352	2	1	2
Esin_bac_bin353	2	3	2
Esin_bac_bin354	2	0	0
Esin_bac_bin355	1	2	1
Esin_bac_bin356	3	2	2
Esin_bac_bin357	2	2	2
Esin_bac_bin358	3	3	1
Esin_bac_bin359	4	2	4
Esin_bac_bin360	2	2	2
Esin_bac_bin361	2	1	1
Esin_bac_bin362	2	2	2
Esin_bac_bin363	2	2	2
Esin_bac_bin364	1	1	1
Esin_bac_bin365	0	0	0
Esin_bac_bin366	0	1	1
Esin_bac_bin367	5	6	5
Esin_bac_bin368	1	1	1
Esin_bac_bin369	1	0	1
Esin_bac_bin370	0	0	0
Esin_bac_bin371	1	1	1
Esin_bac_bin372	1	1	1
Esin_bac_bin373	1	0	1
Esin_bac_bin374	1	0	0
Esin_bac_bin375	1	1	1
Esin_bac_bin376	3	3	3
Esin_bac_bin377	0	0	0
Esin_bac_bin378	0	0	0
Esin_bac_bin379	0	0	0
Esin_bac_bin380	1	1	0
Esin_bac_bin381	0	0	0
Esin_bac_bin382	1	1	1
Esin_bac_bin383	2	2	2
Esin_bac_bin384	2	2	2
Esin_bac_bin385	2	3	2
Esin_bac_bin386	0	1	0
Esin_bac_bin387	2	2	2
Esin_bac_bin388	1	1	1
Esin_bac_bin389	0	0	0
Esin_bac_bin390	0	0	0
Esin_bac_bin391	1	3	0
Esin_bac_bin392	1	1	1
Esin_bac_bin393	1	1	1
Esin_bac_bin394	0	0	0
Esin_bac_bin395	1	1	0
Esin_bac_bin396	1	1	1
Esin_bac_bin397	1	1	1
Esin_bac_bin398	1	1	1
Esin_bac_bin399	0	0	0
Esin_bac_bin400	0	1	1
Esin_bac_bin401	2	2	2
Esin_bac_bin402	1	1	1
Esin_bac_bin403	1	2	0
Esin_bac_bin404	1	1	0
Esin_bac_bin405	2	2	2
Esin_bac_bin406	3	2	3
Esin_bac_bin407	2	2	2
Esin_bac_bin408	2	2	2
Esin_bac_bin409	0	0	0
Esin_bac_bin410	1	1	1
Esin_bac_bin411	0	0	0
Esin_bac_bin412	1	0	0
Esin_bac_bin413	1	0	0
Esin_bac_bin414	1	1	1
Esin_bac_bin415	1	1	1
Esin_bac_bin416	0	0	0
Esin_bac_bin417	0	0	0
Esin_bac_bin418	1	0	0
Esin_bac_bin419	1	0	0
Esin_bac_bin420	0	0	0
Esin_bac_bin421	1	1	1
Esin_bac_bin422	2	0	0
Esin_bac_bin423	2	2	2
Esin_bac_bin424	3	3	3
Esin_bac_bin425	1	2	2
Esin_bac_bin426	0	0	0
Esin_bac_bin427	1	1	1
Esin_bac_bin428	0	0	0
Esin_bac_bin429	4	4	4
Esin_bac_bin430	1	1	0
Esin_bac_bin431	0	1	0
Esin_bac_bin432	2	2	2
Esin_bac_bin433	2	2	2
Esin_bac_bin434	0	0	0
Esin_bac_bin435	3	3	3
Esin_bac_bin436	3	3	3
Esin_bac_bin437	3	3	3
Esin_bac_bin438	2	3	2
Esin_bac_bin439	2	1	2
Esin_bac_bin440	4	4	4
Esin_bac_bin441	2	2	2
Esin_bac_bin442	1	1	1
Esin_bac_bin443	1	0	0
Esin_bac_bin444	2	2	2
Esin_bac_bin445	2	2	2
Esin_bac_bin446	0	0	0
Esin_bac_bin447	1	1	1
Esin_bac_bin448	2	1	1
Esin_bac_bin449	3	3	3
Esin_bac_bin450	0	1	0
Esin_bac_bin451	1	1	1
Pame_bac_bin001	0	1	1
Pame_bac_bin002	1	0	0
Pame_bac_bin003	1	1	1
Pame_bac_bin004	1	1	1
Pame_bac_bin005	1	0	0
Pame_bac_bin006	0	0	0
Pame_bac_bin007	0	1	0
Pame_bac_bin008	0	0	0
Pame_bac_bin009	1	1	1
Pame_bac_bin010	0	0	0
Pame_bac_bin011	2	2	1
Pame_bac_bin012	5	5	5
Pame_bac_bin013	1	0	0
Pame_bac_bin014	6	4	4
Pame_bac_bin015	2	2	1
Pame_bac_bin016	4	4	4
Pame_bac_bin017	3	2	2
Pame_bac_bin018	5	4	4
Pame_bac_bin019	3	2	2
Pame_bac_bin020	3	3	2
Pame_bac_bin021	1	1	1
Pame_bac_bin022	1	0	0
Pame_bac_bin023	0	0	0
Pame_bac_bin024	3	5	3
Pame_bac_bin025	2	2	2
Pame_bac_bin026	0	1	0
Pame_bac_bin027	1	1	1
Pame_bac_bin028	0	1	0
Pame_bac_bin029	2	4	2
Pame_bac_bin030	3	3	3
Pame_bac_bin031	2	2	2
Pame_bac_bin032	5	2	2
Pame_bac_bin033	4	2	5
Pame_bac_bin034	1	1	1
Pame_bac_bin035	0	0	0
Pame_bac_bin036	0	0	0
Pame_bac_bin037	1	0	1
Pame_bac_bin038	4	4	2
Pame_bac_bin039	1	2	2
Pame_bac_bin040	0	0	0
Pame_bac_bin041	0	2	1
Pame_bac_bin042	2	4	2
Pame_bac_bin043	0	1	0
Pame_bac_bin044	1	1	1
Pame_bac_bin045	0	0	0
Pame_bac_bin046	2	2	1
Pame_bac_bin047	0	0	0
Pame_bac_bin048	0	1	0
Pame_bac_bin049	1	1	1
Pame_bac_bin050	1	0	1
Pame_bac_bin051	0	1	0
Pame_bac_bin052	1	1	1
Pame_bac_bin053	1	1	1
Pame_bac_bin054	0	0	0
Pame_bac_bin055	2	1	2
Pame_bac_bin056	1	2	1
Pame_bac_bin057	1	3	1
Pame_bac_bin058	0	1	0
Pame_bac_bin059	0	0	0
Pame_bac_bin060	0	0	0
Pame_bac_bin061	0	0	0
Pame_bac_bin062	1	1	1
Pame_bac_bin063	0	0	0
Pame_bac_bin064	1	1	1
Pame_bac_bin065	0	1	0
Pame_bac_bin066	0	0	0
Pame_bac_bin067	1	1	1
Pame_bac_bin068	1	1	1
Pame_bac_bin069	1	0	0
Pame_bac_bin070	0	0	0
Pame_bac_bin071	0	0	0
Pame_bac_bin072	4	4	4
Pame_bac_bin073	3	3	2
Pame_bac_bin074	1	1	1
Pame_bac_bin075	1	1	1
Pame_bac_bin076	2	3	4
Pame_bac_bin077	3	3	1
Pame_bac_bin078	3	3	3
Pame_bac_bin079	4	4	4
Pame_bac_bin080	1	1	1
Pame_bac_bin081	2	2	3
Pame_bac_bin082	2	2	3
Pame_bac_bin083	3	3	3
Pame_bac_bin084	1	2	1
Pame_bac_bin085	0	0	0
Pame_bac_bin086	1	2	2
Pame_bac_bin087	1	1	1
Pame_bac_bin088	0	1	1
Pame_bac_bin089	0	0	0
Pame_bac_bin090	2	2	1
Pame_bac_bin091	0	1	0
Pame_bac_bin092	0	0	0
Pame_bac_bin093	0	0	0
Pame_bac_bin094	1	0	0
Pame_bac_bin095	0	0	0
Pame_bac_bin096	0	0	0
Pame_bac_bin097	0	0	0
Pame_bac_bin098	1	1	1
Pame_bac_bin099	2	2	2
Pame_bac_bin100	1	1	1
Pame_bac_bin101	0	0	0
Pame_bac_bin102	0	0	0
Pame_bac_bin103	0	0	0
Pame_bac_bin104	0	0	0
Pame_bac_bin105	0	1	0
Pame_bac_bin106	0	0	0
Pame_bac_bin107	3	3	3
Pame_bac_bin108	1	2	1
Pame_bac_bin109	0	0	0
Pame_bac_bin110	0	1	1
Pame_bac_bin111	0	0	0
Pame_bac_bin112	0	0	0
Pame_bac_bin113	3	1	3
Pame_bac_bin114	0	0	0
Pame_bac_bin115	0	0	0
Pame_bac_bin116	2	3	2
Pame_bac_bin117	0	0	0
Pame_bac_bin118	1	1	1
Pame_bac_bin119	0	0	0
Pame_bac_bin120	0	0	0
Pame_bac_bin121	1	0	0
Pame_bac_bin122	0	0	0
Pame_bac_bin123	0	0	0
Pame_bac_bin124	0	0	0
Pame_bac_bin125	0	0	0
Pame_bac_bin126	3	3	3
Pame_bac_bin127	0	0	0
Pame_bac_bin128	1	1	1
Pame_bac_bin129	1	1	0
Pame_bac_bin130	0	0	0
Pame_bac_bin131	0	0	0
Pame_bac_bin132	2	2	3
Pame_bac_bin133	1	1	1
Pame_bac_bin134	0	0	0
Pame_bac_bin135	0	0	0
Pame_bac_bin136	0	0	0
Pame_bac_bin137	0	0	0
Pame_bac_bin138	0	0	0
Pame_bac_bin139	0	0	0
Pame_bac_bin140	0	0	0
Pame_bac_bin141	2	3	3
Pame_bac_bin142	0	0	0
Pame_bac_bin143	1	1	1
Pame_bac_bin144	0	0	0
Pame_bac_bin145	0	0	0
Pame_bac_bin146	0	0	0
Pame_bac_bin147	0	1	1
Pame_bac_bin148	0	0	0
Pame_bac_bin149	3	4	3
Pame_bac_bin150	3	4	4
Pame_bac_bin151	2	2	2
Pame_bac_bin152	2	2	2
Pame_bac_bin153	0	0	0
