BGC	Product	BiG_SCAPE
Bger_bac_bin018	transAT-PKS	PKSother
Bger_bac_bin018	transAT-PKS-like	PKSother
Bger_bac_bin018	NRPS	NRPS
Bger_bac_bin018	NRPS	NRPS
Bger_bac_bin019	T3PKS.transAT-PKS.PKS-like.2dos.betalactone.NRPS-like	Others
Bger_bac_bin019	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin019	cyclic-lactone-autoinducer.ranthipeptide	RiPPs
Bger_bac_bin019	RRE-containing.cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin019	HR-T2PKS	Others
Bger_bac_bin019	T1PKS.NRPS.transAT-PKS	PKS-NRP_Hybrids
Bger_bac_bin019	RRE-containing	RiPPs
Bger_bac_bin019	cyclic-lactone-autoinducer.NRPS-like.T1PKS.NRPS	Others
Bger_bac_bin019	cyclic-lactone-autoinducer.ranthipeptide	RiPPs
Bger_bac_bin019	T1PKS.NRPS.transAT-PKS	PKS-NRP_Hybrids
Bger_bac_bin019	ranthipeptide	RiPPs
Bger_bac_bin019	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin019	ranthipeptide	RiPPs
Bger_bac_bin019	ranthipeptide	RiPPs
Bger_bac_bin020	ranthipeptide	RiPPs
Bger_bac_bin021	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin021	ranthipeptide	RiPPs
Bger_bac_bin021	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin021	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin021	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin022	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin022	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin022	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin022	ranthipeptide	RiPPs
Bger_bac_bin022	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin022	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin023	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin023	RRE-containing	RiPPs
Bger_bac_bin023	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin023	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin023	ranthipeptide	RiPPs
Bger_bac_bin023	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin024	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin024	RRE-containing	RiPPs
Bger_bac_bin024	ranthipeptide	RiPPs
Bger_bac_bin024	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin024	ranthipeptide	RiPPs
Bger_bac_bin024	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin024	RRE-containing	RiPPs
Bger_bac_bin024	ranthipeptide	RiPPs
Bger_bac_bin024	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin025	ranthipeptide	RiPPs
Bger_bac_bin026	betalactone	Others
Bger_bac_bin027	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin029	RiPP-like	RiPPs
Bger_bac_bin030	hglE-KS.PUFA	Others
Bger_bac_bin030	RiPP-like	RiPPs
Bger_bac_bin030	ranthipeptide	RiPPs
Bger_bac_bin031	ranthipeptide	RiPPs
Bger_bac_bin031	RRE-containing	RiPPs
Bger_bac_bin031	thiopeptide	RiPPs
Bger_bac_bin031	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin031	RRE-containing	RiPPs
Bger_bac_bin032	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin032	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin033	NRPS	NRPS
Bger_bac_bin033	NRPS	NRPS
Bger_bac_bin033	RRE-containing	RiPPs
Bger_bac_bin033	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin033	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin033	betalactone	Others
Bger_bac_bin034	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin034	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin034	betalactone	Others
Bger_bac_bin034	ranthipeptide	RiPPs
Bger_bac_bin034	NRPS-like.NRPS	NRPS
Bger_bac_bin034	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin035	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin035	NRPS	NRPS
Bger_bac_bin035	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin035	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin035	RiPP-like	RiPPs
Bger_bac_bin035	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin035	ranthipeptide	RiPPs
Bger_bac_bin035	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin035	NRPS	NRPS
Bger_bac_bin036	terpene	Terpene
Bger_bac_bin036	RRE-containing	RiPPs
Bger_bac_bin036	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin037	lanthipeptide-class-ii	RiPPs
Bger_bac_bin037	NRPS	NRPS
Bger_bac_bin037	NRPS	NRPS
Bger_bac_bin037	lanthipeptide-class-ii	RiPPs
Bger_bac_bin038	T3PKS	PKSother
Bger_bac_bin040	ranthipeptide	RiPPs
Bger_bac_bin040	RiPP-like	RiPPs
Bger_bac_bin041	RiPP-like	RiPPs
Bger_bac_bin042	RiPP-like	RiPPs
Bger_bac_bin042	ranthipeptide	RiPPs
Bger_bac_bin043	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin044	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin045	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin045	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin046	thiopeptide	RiPPs
Bger_bac_bin046	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin046	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin046	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin046	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin047	hglE-KS.T1PKS	PKSother
Bger_bac_bin047	lanthipeptide-class-i	RiPPs
Bger_bac_bin047	hglE-KS.T1PKS	PKSother
Bger_bac_bin048	lanthipeptide-class-i	RiPPs
Bger_bac_bin049	lanthipeptide-class-i	RiPPs
Bger_bac_bin049	T1PKS	PKSI
Bger_bac_bin049	T1PKS	PKSI
Bger_bac_bin049	hglE-KS	PKSother
Bger_bac_bin049	RRE-containing	RiPPs
Bger_bac_bin049	hglE-KS	PKSother
Bger_bac_bin049	T1PKS	PKSI
Bger_bac_bin050	RRE-containing	RiPPs
Bger_bac_bin050	arylpolyene	Others
Bger_bac_bin050	RiPP-like	RiPPs
Bger_bac_bin050	arylpolyene	Others
Bger_bac_bin051	RRE-containing	RiPPs
Bger_bac_bin051	arylpolyene	Others
Bger_bac_bin051	RiPP-like	RiPPs
Bger_bac_bin051	arylpolyene	Others
Bger_bac_bin051	phosphonate	Others
Bger_bac_bin051	RRE-containing	RiPPs
Bger_bac_bin051	RRE-containing	RiPPs
Bger_bac_bin052	RiPP-like	RiPPs
Bger_bac_bin052	RRE-containing	RiPPs
Bger_bac_bin053	arylpolyene	Others
Bger_bac_bin053	arylpolyene	Others
Bger_bac_bin054	arylpolyene	Others
Bger_bac_bin054	lanthipeptide-class-i	RiPPs
Bger_bac_bin054	arylpolyene	Others
Bger_bac_bin055	RRE-containing	RiPPs
Bger_bac_bin056	RRE-containing	RiPPs
Bger_bac_bin057	arylpolyene	Others
Bger_bac_bin057	lanthipeptide-class-i	RiPPs
Bger_bac_bin057	arylpolyene	Others
Bger_bac_bin057	RiPP-like	RiPPs
Bger_bac_bin057	RRE-containing	RiPPs
Bger_bac_bin057	RRE-containing	RiPPs
Bger_bac_bin057	phosphonate	Others
Bger_bac_bin058	arylpolyene	Others
Bger_bac_bin059	RiPP-like	RiPPs
Bger_bac_bin059	hglE-KS.T1PKS	PKSother
Bger_bac_bin059	hglE-KS.T1PKS	PKSother
Bger_bac_bin059	RRE-containing	RiPPs
Bger_bac_bin059	RiPP-like	RiPPs
Bger_bac_bin059	arylpolyene	Others
Bger_bac_bin060	arylpolyene	Others
Bger_bac_bin060	phosphonate	Others
Bger_bac_bin060	arylpolyene	Others
Bger_bac_bin060	RiPP-like	RiPPs
Bger_bac_bin060	RRE-containing	RiPPs
Bger_bac_bin060	RRE-containing	RiPPs
Bger_bac_bin060	RRE-containing	RiPPs
Bger_bac_bin061	RRE-containing	RiPPs
Bger_bac_bin061	arylpolyene	Others
Bger_bac_bin061	RRE-containing	RiPPs
Bger_bac_bin061	hglE-KS.T1PKS	PKSother
Bger_bac_bin061	NRPS.transAT-PKS	PKS-NRP_Hybrids
Bger_bac_bin062	RRE-containing	RiPPs
Bger_bac_bin063	T3PKS	PKSother
Bger_bac_bin063	RRE-containing	RiPPs
Bger_bac_bin063	terpene	Terpene
Bger_bac_bin063	phosphonate	Others
Bger_bac_bin064	RRE-containing	RiPPs
Bger_bac_bin064	NRPS-like	NRPS
Bger_bac_bin064	RRE-containing	RiPPs
Bger_bac_bin065	RiPP-like	RiPPs
Bger_bac_bin065	RRE-containing	RiPPs
Bger_bac_bin066	arylpolyene	Others
Bger_bac_bin066	arylpolyene	Others
Bger_bac_bin066	LAP	RiPPs
Bger_bac_bin066	RRE-containing	RiPPs
Bger_bac_bin066	RRE-containing	RiPPs
Bger_bac_bin068	lanthipeptide-class-i	RiPPs
Bger_bac_bin069	thiopeptide	RiPPs
Bger_bac_bin069	RRE-containing	RiPPs
Bger_bac_bin071	arylpolyene	Others
Bger_bac_bin072	RiPP-like	RiPPs
Bger_bac_bin072	hglE-KS.T1PKS	PKSother
Bger_bac_bin072	RiPP-like	RiPPs
Bger_bac_bin072	terpene	Terpene
Bger_bac_bin074	RRE-containing	RiPPs
Bger_bac_bin074	hglE-KS.T1PKS	PKSother
Bger_bac_bin075	RRE-containing	RiPPs
Bger_bac_bin075	lanthipeptide-class-i	RiPPs
Bger_bac_bin076	hglE-KS	PKSother
Bger_bac_bin076	lanthipeptide-class-i	RiPPs
Bger_bac_bin077	RRE-containing	RiPPs
Bger_bac_bin077	hglE-KS.T1PKS	PKSother
Bger_bac_bin078	RRE-containing	RiPPs
Bger_bac_bin079	betalactone	Others
Bger_bac_bin079	RRE-containing	RiPPs
Bger_bac_bin079	arylpolyene	Others
Bger_bac_bin079	RiPP-like	RiPPs
Bger_bac_bin080	hglE-KS.T1PKS	PKSother
Bger_bac_bin081	betalactone	Others
Bger_bac_bin082	hglE-KS.T1PKS	PKSother
Bger_bac_bin082	RiPP-like	RiPPs
Bger_bac_bin084	hglE-KS.T1PKS	PKSother
Bger_bac_bin084	RiPP-like	RiPPs
Bger_bac_bin084	hglE-KS.T1PKS	PKSother
Bger_bac_bin085	arylpolyene	Others
Bger_bac_bin085	hydrogen-cyanide	Others
Bger_bac_bin085	arylpolyene	Others
Bger_bac_bin085	RRE-containing	RiPPs
Bger_bac_bin086	arylpolyene	Others
Bger_bac_bin086	phosphonate	Others
Bger_bac_bin086	hydrogen-cyanide	Others
Bger_bac_bin087	ranthipeptide	RiPPs
Bger_bac_bin087	hydrogen-cyanide	Others
Bger_bac_bin087	betalactone	Others
Bger_bac_bin088	RRE-containing	RiPPs
Bger_bac_bin088	NRPS-like	NRPS
Bger_bac_bin088	arylpolyene	Others
Bger_bac_bin089	hydrogen-cyanide	Others
Bger_bac_bin089	arylpolyene	Others
Bger_bac_bin089	arylpolyene	Others
Bger_bac_bin090	resorcinol.lanthipeptide-class-i	Others
Bger_bac_bin090	resorcinol	Others
Bger_bac_bin091	resorcinol	Others
Bger_bac_bin092	proteusin.RiPP-like	RiPPs
Bger_bac_bin092	terpene	Terpene
Bger_bac_bin092	RiPP-like	RiPPs
Bger_bac_bin093	terpene	Terpene
Bger_bac_bin093	arylpolyene	Others
Bger_bac_bin093	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin094	arylpolyene	Others
Bger_bac_bin094	lanthipeptide-class-i	RiPPs
Bger_bac_bin095	phosphonate	Others
Bger_bac_bin095	resorcinol.arylpolyene	Others
Bger_bac_bin096	terpene	Terpene
Bger_bac_bin096	resorcinol	Others
Bger_bac_bin097	resorcinol.arylpolyene	Others
Bger_bac_bin097	arylpolyene	Others
Bger_bac_bin098	resorcinol.arylpolyene	Others
Bger_bac_bin098	arylpolyene	Others
Bger_bac_bin099	arylpolyene	Others
Bger_bac_bin100	lanthipeptide-class-i	RiPPs
Bger_bac_bin100	phosphonate	Others
Bger_bac_bin101	phosphonate	Others
Bger_bac_bin101	RRE-containing	RiPPs
Bger_bac_bin101	thiopeptide	RiPPs
Bger_bac_bin102	arylpolyene	Others
Bger_bac_bin102	RRE-containing	RiPPs
Bger_bac_bin103	lanthipeptide-class-i	RiPPs
Bger_bac_bin103	arylpolyene	Others
Bger_bac_bin105	arylpolyene	Others
Bger_bac_bin106	arylpolyene	Others
Bger_bac_bin107	RiPP-like	RiPPs
Bger_bac_bin109	RRE-containing	RiPPs
Bger_bac_bin109	arylpolyene	Others
Bger_bac_bin109	arylpolyene	Others
Bger_bac_bin110	arylpolyene.lanthipeptide-class-i.ranthipeptide	Others
Bger_bac_bin111	arylpolyene	Others
Bger_bac_bin111	arylpolyene	Others
Bger_bac_bin111	lanthipeptide-class-i	RiPPs
Bger_bac_bin112	arylpolyene	Others
Bger_bac_bin113	RRE-containing	RiPPs
Bger_bac_bin114	RRE-containing	RiPPs
Bger_bac_bin115	RRE-containing	RiPPs
Bger_bac_bin116	RRE-containing	RiPPs
Bger_bac_bin117	RRE-containing	RiPPs
Bger_bac_bin118	RRE-containing	RiPPs
Bger_bac_bin119	arylpolyene	Others
Bger_bac_bin119	arylpolyene	Others
Bger_bac_bin119	RRE-containing	RiPPs
Bger_bac_bin120	arylpolyene	Others
Bger_bac_bin120	hglE-KS	PKSother
Bger_bac_bin123	arylpolyene	Others
Bger_bac_bin123	lanthipeptide-class-i	RiPPs
Bger_bac_bin128	arylpolyene	Others
Bger_bac_bin129	phosphonate	Others
Bger_bac_bin129	hglE-KS.T1PKS	PKSother
Bger_bac_bin133	terpene	Terpene
Bger_bac_bin133	RiPP-like	RiPPs
Bger_bac_bin133	hglE-KS.T1PKS	PKSother
Bger_bac_bin133	terpene	Terpene
Bger_bac_bin133	T3PKS	PKSother
Bger_bac_bin134	terpene	Terpene
Bger_bac_bin135	terpene	Terpene
Bger_bac_bin135	lanthipeptide-class-i	RiPPs
Bger_bac_bin136	terpene	Terpene
Bger_bac_bin137	lanthipeptide-class-i	RiPPs
Bger_bac_bin138	lanthipeptide-class-i	RiPPs
Bger_bac_bin138	RiPP-like	RiPPs
Bger_bac_bin138	terpene	Terpene
Bger_bac_bin138	lanthipeptide-class-i	RiPPs
Bger_bac_bin139	arylpolyene	Others
Bger_bac_bin140	RiPP-like	RiPPs
Bger_bac_bin141	furan	Others
Bger_bac_bin141	arylpolyene	Others
Bger_bac_bin141	lanthipeptide-class-i	RiPPs
Bger_bac_bin141	resorcinol	Others
Bger_bac_bin141	arylpolyene	Others
Bger_bac_bin141	lanthipeptide-class-i	RiPPs
Bger_bac_bin141	LAP	RiPPs
Bger_bac_bin142	resorcinol	Others
Bger_bac_bin142	arylpolyene	Others
Bger_bac_bin142	arylpolyene	Others
Bger_bac_bin142	LAP	RiPPs
Bger_bac_bin142	terpene	Terpene
Bger_bac_bin143	terpene	Terpene
Bger_bac_bin144	arylpolyene	Others
Bger_bac_bin144	arylpolyene	Others
Bger_bac_bin144	resorcinol.arylpolyene	Others
Bger_bac_bin145	phosphonate	Others
Bger_bac_bin145	arylpolyene	Others
Bger_bac_bin147	NRPS-like	NRPS
Bger_bac_bin147	terpene	Terpene
Bger_bac_bin147	hydrogen-cyanide	Others
Bger_bac_bin153	hglE-KS	PKSother
Bger_bac_bin153	RiPP-like	RiPPs
Bger_bac_bin153	arylpolyene	Others
Bger_bac_bin154	hglE-KS.T1PKS	PKSother
Bger_bac_bin154	RiPP-like	RiPPs
Bger_bac_bin154	arylpolyene	Others
Bger_bac_bin155	hglE-KS.T1PKS	PKSother
Bger_bac_bin155	RiPP-like	RiPPs
Bger_bac_bin155	arylpolyene	Others
Bger_bac_bin155	RiPP-like	RiPPs
Bger_bac_bin155	phosphonate	Others
Bger_bac_bin156	RiPP-like	RiPPs
Bger_bac_bin156	ranthipeptide	RiPPs
Bger_bac_bin156	RRE-containing	RiPPs
Bger_bac_bin156	hglE-KS.T1PKS	PKSother
Bger_bac_bin156	RiPP-like	RiPPs
Bger_bac_bin157	arylpolyene	Others
Bger_bac_bin157	hglE-KS	PKSother
Bger_bac_bin157	RiPP-like	RiPPs
Bger_bac_bin158	hglE-KS.T1PKS	PKSother
Bger_bac_bin158	phosphonate	Others
Bger_bac_bin159	RiPP-like	RiPPs
Bger_bac_bin159	ectoine	Others
Bger_bac_bin159	arylpolyene	Others
Bger_bac_bin160	arylpolyene	Others
Bger_bac_bin160	arylpolyene	Others
Bger_bac_bin161	betalactone	Others
Bger_bac_bin161	ectoine	Others
Bger_bac_bin161	arylpolyene	Others
Bger_bac_bin162	ectoine	Others
Bger_bac_bin162	NRPS-like	NRPS
Bger_bac_bin162	NRPS-like	NRPS
Bger_bac_bin162	arylpolyene	Others
Bger_bac_bin163	T1PKS	PKSI
Bger_bac_bin164	RiPP-like	RiPPs
Bger_bac_bin164	NRPS-like.NRPS	NRPS
Bger_bac_bin164	RRE-containing	RiPPs
Bger_bac_bin164	arylpolyene	Others
Bger_bac_bin164	arylpolyene	Others
Bger_bac_bin164	RiPP-like	RiPPs
Bger_bac_bin164	NRPS-like	NRPS
Bger_bac_bin164	betalactone	Others
Bger_bac_bin164	RRE-containing	RiPPs
Bger_bac_bin165	thiopeptide	RiPPs
Bger_bac_bin165	RiPP-like	RiPPs
Bger_bac_bin166	T1PKS	PKSI
Bger_bac_bin166	thiopeptide	RiPPs
Bger_bac_bin166	arylpolyene	Others
Bger_bac_bin166	LAP.proteusin	RiPPs
Bger_bac_bin167	NRPS-like	NRPS
Bger_bac_bin167	thiopeptide	RiPPs
Bger_bac_bin167	arylpolyene	Others
Bger_bac_bin167	RiPP-like	RiPPs
Bger_bac_bin167	T1PKS	PKSI
Bger_bac_bin168	thiopeptide	RiPPs
Bger_bac_bin168	T1PKS	PKSI
Bger_bac_bin168	arylpolyene	Others
Bger_bac_bin168	RiPP-like	RiPPs
Bger_bac_bin168	NRPS-like	NRPS
Bger_bac_bin169	T1PKS	PKSI
Bger_bac_bin169	RiPP-like	RiPPs
Bger_bac_bin169	phosphonate	Others
Bger_bac_bin169	hydrogen-cyanide	Others
Bger_bac_bin170	arylpolyene	Others
Bger_bac_bin171	T1PKS	PKSI
Bger_bac_bin171	hydrogen-cyanide	Others
Bger_bac_bin171	NRPS	NRPS
Bger_bac_bin172	NRPS-like	NRPS
Bger_bac_bin173	RRE-containing	RiPPs
Bger_bac_bin173	NRPS-like	NRPS
Bger_bac_bin174	RiPP-like	RiPPs
Bger_bac_bin174	RiPP-like	RiPPs
Bger_bac_bin175	NRPS-like	NRPS
Bger_bac_bin175	RiPP-like	RiPPs
Bger_bac_bin176	terpene	Terpene
Bger_bac_bin176	arylpolyene	Others
Bger_bac_bin176	terpene	Terpene
Bger_bac_bin177	NRPS-like	NRPS
Bger_bac_bin178	NRPS-like	NRPS
Bger_bac_bin180	lanthipeptide-class-i	RiPPs
Bger_bac_bin183	RiPP-like	RiPPs
Bger_bac_bin184	RiPP-like	RiPPs
Bger_bac_bin184	ectoine	Others
Bger_bac_bin185	phosphonate	Others
Bger_bac_bin185	RiPP-like	RiPPs
Bger_bac_bin186	betalactone	Others
Bger_bac_bin187	RiPP-like	RiPPs
Bger_bac_bin188	ectoine	Others
Bger_bac_bin188	RiPP-like	RiPPs
Bger_bac_bin189	RiPP-like	RiPPs
Bger_bac_bin190	RiPP-like	RiPPs
Bger_bac_bin191	RiPP-like	RiPPs
Bger_bac_bin192	RiPP-like	RiPPs
Bger_bac_bin193	RiPP-like	RiPPs
Bger_bac_bin194	RiPP-like	RiPPs
Bger_bac_bin194	NRPS-like.NRPS	NRPS
Bger_bac_bin194	NAPAA	NRPS
Bger_bac_bin194	NRPS	NRPS
Bger_bac_bin195	RiPP-like	RiPPs
Bger_bac_bin196	NI-siderophore	Others
Bger_bac_bin196	terpene	Terpene
Bger_bac_bin196	ranthipeptide	RiPPs
Bger_bac_bin197	terpene	Terpene
Bger_bac_bin198	terpene	Terpene
Bger_bac_bin199	arylpolyene	Others
Bger_bac_bin199	terpene	Terpene
Bger_bac_bin201	terpene	Terpene
Bger_bac_bin202	terpene	Terpene
Bger_bac_bin208	NRPS-like	NRPS
Bger_bac_bin208	terpene	Terpene
Bger_bac_bin209	ectoine	Others
Bger_bac_bin209	terpene	Terpene
Bger_bac_bin210	RiPP-like	RiPPs
Bger_bac_bin211	NRP-metallophore.NRPS	Others
Bger_bac_bin211	thiopeptide	RiPPs
Bger_bac_bin211	redox-cofactor	RiPPs
Bger_bac_bin211	RiPP-like	RiPPs
Bger_bac_bin212	NRPS	NRPS
Bger_bac_bin213	NRP-metallophore.NRPS	Others
Bger_bac_bin213	redox-cofactor	RiPPs
Bger_bac_bin215	phosphonate	Others
Bger_bac_bin216	betalactone	Others
Bger_bac_bin217	terpene	Terpene
Bger_bac_bin217	arylpolyene	Others
Bger_bac_bin217	terpene	Terpene
Bger_bac_bin218	terpene	Terpene
Bger_bac_bin218	terpene	Terpene
Esin_bac_bin002	RiPP-like	RiPPs
Esin_bac_bin003	HR-T2PKS	Others
Esin_bac_bin003	redox-cofactor	RiPPs
Esin_bac_bin003	ectoine	Others
Esin_bac_bin003	butyrolactone	Others
Esin_bac_bin003	T1PKS.NRPS	PKS-NRP_Hybrids
Esin_bac_bin003	NRPS-like.NRPS	NRPS
Esin_bac_bin003	terpene	Terpene
Esin_bac_bin004	T3PKS	PKSother
Esin_bac_bin004	betalactone	Others
Esin_bac_bin004	ectoine	Others
Esin_bac_bin004	T3PKS	PKSother
Esin_bac_bin004	RRE-containing.lassopeptide	RiPPs
Esin_bac_bin005	RiPP-like	RiPPs
Esin_bac_bin005	T1PKS	PKSI
Esin_bac_bin005	NRP-metallophore.NRPS	Others
Esin_bac_bin005	T3PKS	PKSother
Esin_bac_bin006	NRPS	NRPS
Esin_bac_bin006	T1PKS	PKSI
Esin_bac_bin006	NRPS	NRPS
Esin_bac_bin006	NRPS	NRPS
Esin_bac_bin006	redox-cofactor	RiPPs
Esin_bac_bin006	NRPS	NRPS
Esin_bac_bin006	NI-siderophore.NRPS	Others
Esin_bac_bin006	NRPS	NRPS
Esin_bac_bin006	terpene	Terpene
Esin_bac_bin006	CDPS	NRPS
Esin_bac_bin006	NI-siderophore	Others
Esin_bac_bin006	NAPAA	NRPS
Esin_bac_bin006	T3PKS	PKSother
Esin_bac_bin006	NRPS	NRPS
Esin_bac_bin006	RiPP-like	RiPPs
Esin_bac_bin007	T1PKS	PKSI
Esin_bac_bin007	NRPS	NRPS
Esin_bac_bin007	NRP-metallophore.NRPS	Others
Esin_bac_bin007	NRPS	NRPS
Esin_bac_bin007	terpene	Terpene
Esin_bac_bin007	CDPS	NRPS
Esin_bac_bin007	T3PKS	PKSother
Esin_bac_bin007	NRPS-like.NRPS	NRPS
Esin_bac_bin007	redox-cofactor	RiPPs
Esin_bac_bin007	NRPS	NRPS
Esin_bac_bin007	NAPAA	NRPS
Esin_bac_bin007	terpene	Terpene
Esin_bac_bin007	RiPP-like	RiPPs
Esin_bac_bin008	T1PKS	PKSI
Esin_bac_bin008	T1PKS.NRPS	PKS-NRP_Hybrids
Esin_bac_bin008	T1PKS	PKSI
Esin_bac_bin008	ectoine	Others
Esin_bac_bin008	ectoine	Others
Esin_bac_bin008	NRPS-like	NRPS
Esin_bac_bin008	NRPS-like	NRPS
Esin_bac_bin008	NRP-metallophore.NRPS	Others
Esin_bac_bin008	RiPP-like	RiPPs
Esin_bac_bin008	NAPAA	NRPS
Esin_bac_bin008	T1PKS	PKSI
Esin_bac_bin008	NRPS-like	NRPS
Esin_bac_bin008	NRPS	NRPS
Esin_bac_bin008	NRPS-like	NRPS
Esin_bac_bin008	NRPS	NRPS
Esin_bac_bin008	T1PKS	PKSI
Esin_bac_bin008	RiPP-like	RiPPs
Esin_bac_bin008	T1PKS	PKSI
Esin_bac_bin008	NRPS	NRPS
Esin_bac_bin008	NRPS	NRPS
Esin_bac_bin008	RiPP-like	RiPPs
Esin_bac_bin008	betalactone	Others
Esin_bac_bin008	NRPS	NRPS
Esin_bac_bin008	NRPS	NRPS
Esin_bac_bin008	NRPS-like	NRPS
Esin_bac_bin008	NRPS	NRPS
