BGC	NRPS	RiPPs	Terpene	Others	PKS-NRP_Hybrids	PKSother	PKSI
105	Bger_bac_bin114	0	1	0	0	0	0	0
106	Bger_bac_bin115	0	1	0	0	0	0	0
107	Bger_bac_bin116	0	1	0	0	0	0	0
108	Bger_bac_bin117	0	1	0	0	0	0	0
109	Bger_bac_bin118	0	1	0	0	0	0	0
110	Bger_bac_bin119	0	1	0	2	0	0	0
111	Bger_bac_bin120	0	0	0	1	0	1	0
112	Bger_bac_bin123	0	1	0	1	0	0	0
113	Bger_bac_bin128	0	0	0	1	0	0	0
114	Bger_bac_bin129	0	0	0	1	0	1	0
115	Bger_bac_bin133	0	1	2	0	0	2	0
116	Bger_bac_bin134	0	0	1	0	0	0	0
117	Bger_bac_bin135	0	1	1	0	0	0	0
118	Bger_bac_bin136	0	0	1	0	0	0	0
119	Bger_bac_bin137	0	1	0	0	0	0	0
120	Bger_bac_bin138	0	3	1	0	0	0	0
121	Bger_bac_bin139	0	0	0	1	0	0	0
122	Bger_bac_bin140	0	1	0	0	0	0	0
123	Bger_bac_bin141	0	3	0	4	0	0	0
124	Bger_bac_bin142	0	1	1	3	0	0	0
125	Bger_bac_bin143	0	0	1	0	0	0	0
126	Bger_bac_bin144	0	0	0	3	0	0	0
127	Bger_bac_bin145	0	0	0	2	0	0	0
128	Bger_bac_bin147	1	0	1	1	0	0	0
129	Bger_bac_bin153	0	1	0	1	0	1	0
130	Bger_bac_bin154	0	1	0	1	0	1	0
131	Bger_bac_bin155	0	2	0	2	0	1	0
132	Bger_bac_bin156	0	4	0	0	0	1	0
133	Bger_bac_bin157	0	1	0	1	0	1	0
134	Bger_bac_bin158	0	0	0	1	0	1	0
135	Bger_bac_bin159	0	1	0	2	0	0	0
136	Bger_bac_bin160	0	0	0	2	0	0	0
137	Bger_bac_bin161	0	0	0	3	0	0	0
138	Bger_bac_bin162	2	0	0	2	0	0	0
139	Bger_bac_bin163	0	0	0	0	0	0	1
140	Bger_bac_bin164	2	4	0	3	0	0	0
141	Bger_bac_bin165	0	2	0	0	0	0	0
142	Bger_bac_bin166	0	2	0	1	0	0	1
143	Bger_bac_bin167	1	2	0	1	0	0	1
144	Bger_bac_bin168	1	2	0	1	0	0	1
145	Bger_bac_bin169	0	1	0	2	0	0	1
146	Bger_bac_bin170	0	0	0	1	0	0	0
147	Bger_bac_bin171	1	0	0	1	0	0	1
148	Bger_bac_bin172	1	0	0	0	0	0	0
149	Bger_bac_bin173	1	1	0	0	0	0	0
150	Bger_bac_bin174	0	2	0	0	0	0	0
151	Bger_bac_bin175	1	1	0	0	0	0	0
152	Bger_bac_bin176	0	0	2	1	0	0	0
153	Bger_bac_bin177	1	0	0	0	0	0	0
154	Bger_bac_bin178	1	0	0	0	0	0	0
155	Bger_bac_bin180	0	1	0	0	0	0	0
156	Bger_bac_bin183	0	1	0	0	0	0	0
157	Bger_bac_bin184	0	1	0	1	0	0	0
158	Bger_bac_bin185	0	1	0	1	0	0	0
159	Bger_bac_bin186	0	0	0	1	0	0	0
160	Bger_bac_bin187	0	1	0	0	0	0	0
161	Bger_bac_bin188	0	1	0	1	0	0	0
162	Bger_bac_bin189	0	1	0	0	0	0	0
163	Bger_bac_bin190	0	1	0	0	0	0	0
164	Bger_bac_bin191	0	1	0	0	0	0	0
165	Bger_bac_bin192	0	1	0	0	0	0	0
166	Bger_bac_bin193	0	1	0	0	0	0	0
167	Bger_bac_bin194	3	1	0	0	0	0	0
168	Bger_bac_bin195	0	1	0	0	0	0	0
169	Bger_bac_bin196	0	1	1	1	0	0	0
170	Bger_bac_bin197	0	0	1	0	0	0	0
171	Bger_bac_bin198	0	0	1	0	0	0	0
172	Bger_bac_bin199	0	0	1	1	0	0	0
173	Bger_bac_bin201	0	0	1	0	0	0	0
174	Bger_bac_bin202	0	0	1	0	0	0	0
175	Bger_bac_bin208	1	0	1	0	0	0	0
176	Bger_bac_bin209	0	0	1	1	0	0	0
177	Bger_bac_bin210	0	1	0	0	0	0	0
178	Bger_bac_bin211	0	3	0	1	0	0	0
179	Bger_bac_bin212	1	0	0	0	0	0	0
180	Bger_bac_bin213	0	1	0	1	0	0	0
181	Bger_bac_bin215	0	0	0	1	0	0	0
182	Bger_bac_bin216	0	0	0	1	0	0	0
183	Bger_bac_bin217	0	0	2	1	0	0	0
184	Bger_bac_bin218	0	0	2	0	0	0	0
185	Esin_bac_bin002	0	1	0	0	0	0	0
186	Esin_bac_bin003	1	1	1	3	1	0	0
187	Esin_bac_bin004	0	1	0	2	0	2	0
188	Esin_bac_bin005	0	1	0	1	0	1	1
189	Esin_bac_bin006	8	2	1	2	0	1	1
190	Esin_bac_bin007	6	2	2	1	0	1	1
191	Esin_bac_bin008	19	3	0	4	1	0	5
192	Esin_bac_bin009	1	2	2	0	0	0	1
193	Esin_bac_bin010	0	0	1	1	0	0	0
194	Esin_bac_bin013	0	1	0	1	0	0	0
195	Esin_bac_bin014	1	1	0	1	0	0	0
196	Esin_bac_bin015	1	0	0	1	0	0	0
197	Esin_bac_bin016	0	0	0	1	0	0	0
198	Esin_bac_bin017	1	0	0	0	0	0	0
199	Esin_bac_bin018	1	0	0	0	0	0	0
200	Esin_bac_bin019	1	1	0	0	0	0	0
201	Esin_bac_bin020	0	1	0	0	0	0	0
202	Esin_bac_bin021	1	1	0	0	0	0	0
203	Esin_bac_bin023	0	1	0	1	0	0	0
204	Esin_bac_bin024	2	1	0	1	0	0	0
205	Esin_bac_bin025	1	0	0	0	0	0	0
206	Esin_bac_bin027	1	0	0	0	0	0	0
207	Esin_bac_bin028	2	0	0	2	0	0	0
208	Esin_bac_bin029	0	1	0	0	0	0	0
209	Esin_bac_bin032	1	1	0	0	0	0	0
210	Esin_bac_bin033	0	1	0	1	0	0	0
211	Esin_bac_bin034	0	1	0	0	0	0	0
212	Esin_bac_bin035	0	1	0	0	0	0	0
213	Esin_bac_bin036	0	2	0	0	0	0	0
214	Esin_bac_bin038	1	0	0	0	0	0	0
215	Esin_bac_bin039	2	1	0	0	0	0	0
216	Esin_bac_bin040	0	1	0	1	0	0	0
217	Esin_bac_bin042	0	1	0	0	0	0	0
218	Esin_bac_bin043	0	0	0	1	0	0	0
219	Esin_bac_bin044	0	1	0	1	0	0	0
220	Esin_bac_bin045	0	1	0	1	0	0	0
221	Esin_bac_bin046	0	1	0	0	0	0	0
222	Esin_bac_bin047	1	2	0	1	0	0	0
223	Esin_bac_bin048	0	1	0	1	0	0	0
224	Esin_bac_bin049	2	0	0	0	0	0	0
225	Esin_bac_bin050	0	1	0	0	0	0	0
226	Esin_bac_bin051	0	1	0	0	0	0	0
227	Esin_bac_bin052	0	3	0	0	0	0	0
228	Esin_bac_bin053	0	1	0	0	0	0	0
229	Esin_bac_bin054	0	1	0	0	0	0	0
230	Esin_bac_bin055	0	1	0	0	0	0	0
231	Esin_bac_bin056	0	1	0	1	0	0	0
232	Esin_bac_bin058	0	1	0	2	0	0	0
233	Esin_bac_bin059	0	1	0	0	0	0	0
234	Esin_bac_bin060	0	1	0	1	0	0	0
235	Esin_bac_bin066	0	1	0	0	0	0	0
236	Esin_bac_bin067	0	1	0	0	0	0	0
237	Esin_bac_bin068	2	1	0	0	0	0	0
238	Esin_bac_bin069	0	1	0	1	0	0	0
239	Esin_bac_bin070	0	1	0	1	0	0	0
240	Esin_bac_bin071	0	1	0	0	0	0	0
241	Esin_bac_bin072	0	4	0	0	0	0	0
242	Esin_bac_bin074	0	7	0	0	1	0	0
243	Esin_bac_bin075	0	4	0	0	0	0	0
244	Esin_bac_bin076	1	2	0	0	0	0	0
245	Esin_bac_bin077	0	1	0	0	0	0	0
246	Esin_bac_bin078	1	2	0	0	0	0	0
247	Esin_bac_bin079	3	5	1	0	0	0	0
248	Esin_bac_bin080	0	3	0	0	0	0	0
249	Esin_bac_bin081	0	1	0	1	0	0	0
250	Esin_bac_bin082	0	4	0	0	0	0	0
251	Esin_bac_bin083	2	3	0	0	0	0	1
252	Esin_bac_bin084	0	3	0	1	0	0	0
253	Esin_bac_bin085	0	1	0	0	0	0	0
254	Esin_bac_bin086	0	4	0	0	0	0	0
255	Esin_bac_bin087	0	3	0	0	0	0	0
256	Esin_bac_bin088	0	5	0	0	0	0	0
257	Esin_bac_bin089	0	5	0	0	0	0	0
258	Esin_bac_bin090	0	3	0	0	0	0	0
259	Esin_bac_bin091	1	2	0	1	0	0	0
260	Esin_bac_bin092	0	3	0	0	0	0	0
261	Esin_bac_bin093	0	6	0	0	0	0	0
262	Esin_bac_bin094	0	3	0	0	0	0	0
263	Esin_bac_bin095	0	1	0	0	0	0	0
264	Esin_bac_bin096	0	1	0	1	0	0	0
265	Esin_bac_bin097	0	2	0	0	0	0	0
266	Esin_bac_bin098	0	3	0	0	0	0	0
267	Esin_bac_bin099	1	1	0	1	0	0	0
268	Esin_bac_bin100	0	1	0	0	0	0	0
269	Esin_bac_bin101	0	2	0	0	0	0	0
270	Esin_bac_bin102	0	1	0	0	0	0	0
271	Esin_bac_bin103	1	1	0	0	0	0	0
272	Esin_bac_bin104	0	1	0	0	0	0	0
273	Esin_bac_bin105	0	2	0	0	0	0	0
274	Esin_bac_bin106	0	1	0	0	0	0	0
275	Esin_bac_bin107	0	3	0	0	0	0	0
276	Esin_bac_bin108	0	1	0	0	0	0	0
277	Esin_bac_bin109	2	2	0	0	0	0	0
278	Esin_bac_bin110	0	2	0	0	0	0	0
279	Esin_bac_bin111	0	2	0	1	0	0	0
280	Esin_bac_bin112	0	1	0	0	0	0	0
281	Esin_bac_bin113	0	1	0	0	0	0	0
282	Esin_bac_bin115	0	4	0	0	0	0	0
283	Esin_bac_bin117	0	1	0	0	0	0	0
284	Esin_bac_bin119	0	1	0	0	0	0	0
285	Esin_bac_bin120	0	2	0	1	0	0	0
286	Esin_bac_bin121	0	1	0	0	0	0	0
287	Esin_bac_bin122	0	2	0	0	0	0	0
288	Esin_bac_bin123	0	2	0	0	0	0	0
289	Esin_bac_bin124	0	1	0	0	0	0	0
290	Esin_bac_bin125	0	1	0	0	0	0	0
291	Esin_bac_bin126	1	0	0	0	0	0	0
292	Esin_bac_bin127	0	1	0	0	0	0	0
293	Esin_bac_bin128	0	2	0	0	0	0	0
294	Esin_bac_bin129	0	2	0	0	0	0	0
295	Esin_bac_bin130	0	1	0	1	0	0	0
296	Esin_bac_bin131	0	1	0	0	0	0	0
297	Esin_bac_bin134	1	1	0	1	0	0	0
298	Esin_bac_bin135	0	1	0	0	0	0	0
299	Esin_bac_bin136	0	0	0	1	0	0	0
300	Esin_bac_bin137	0	0	0	1	0	0	0
301	Esin_bac_bin138	1	2	0	1	0	0	0
302	Esin_bac_bin139	0	0	0	1	0	0	0
303	Esin_bac_bin141	0	0	0	1	0	0	0
304	Esin_bac_bin143	0	2	0	0	0	0	0
305	Esin_bac_bin144	1	2	0	0	0	0	0
306	Esin_bac_bin145	0	2	0	0	0	0	0
307	Esin_bac_bin146	0	1	0	0	0	0	0
308	Esin_bac_bin148	1	3	0	1	0	0	0
309	Esin_bac_bin149	0	2	0	0	0	0	0
310	Esin_bac_bin150	0	3	0	0	0	0	0
311	Esin_bac_bin151	0	4	0	0	0	0	0
312	Esin_bac_bin152	0	2	0	0	0	0	0
313	Esin_bac_bin153	0	9	0	1	0	0	0
314	Esin_bac_bin154	0	7	0	2	0	0	0
315	Esin_bac_bin155	0	2	0	0	0	0	0
316	Esin_bac_bin156	0	1	0	1	2	0	0
317	Esin_bac_bin157	0	2	0	1	0	0	0
318	Esin_bac_bin158	0	1	0	0	0	0	0
319	Esin_bac_bin159	0	1	0	0	0	0	0
320	Esin_bac_bin160	0	1	0	0	0	0	0
321	Esin_bac_bin161	1	3	0	0	0	0	0
322	Esin_bac_bin162	0	4	0	0	0	0	0
323	Esin_bac_bin163	0	7	0	0	0	0	0
324	Esin_bac_bin164	0	2	0	0	0	0	0
325	Esin_bac_bin165	0	1	0	0	0	0	0
326	Esin_bac_bin166	2	1	0	1	0	0	0
327	Esin_bac_bin167	0	3	0	0	0	0	0
328	Esin_bac_bin168	0	0	1	0	0	0	0
329	Esin_bac_bin169	1	0	0	0	0	0	0
330	Esin_bac_bin170	0	1	0	1	0	0	0
331	Esin_bac_bin171	0	1	0	1	0	0	0
332	Esin_bac_bin172	0	1	0	1	0	0	0
333	Esin_bac_bin173	0	1	0	0	0	0	0
334	Esin_bac_bin174	0	2	0	0	0	0	0
335	Esin_bac_bin175	0	1	0	0	0	0	0
336	Esin_bac_bin176	0	1	0	0	0	0	0
337	Esin_bac_bin178	1	1	0	0	0	0	0
338	Esin_bac_bin180	0	2	0	0	0	0	0
339	Esin_bac_bin181	0	3	0	0	0	0	0
340	Esin_bac_bin182	2	0	0	1	0	0	0
341	Esin_bac_bin183	0	0	0	0	0	1	0
342	Esin_bac_bin184	0	1	0	0	0	0	0
343	Esin_bac_bin185	0	1	0	0	0	0	0
344	Esin_bac_bin189	0	0	0	0	0	1	0
345	Esin_bac_bin191	0	0	0	0	0	1	0
346	Esin_bac_bin192	0	0	0	0	0	1	0
347	Esin_bac_bin193	0	0	0	0	0	1	0
348	Esin_bac_bin195	0	0	0	0	0	1	0
349	Esin_bac_bin196	0	0	0	0	0	1	0
350	Esin_bac_bin200	0	0	0	0	0	1	0
351	Esin_bac_bin201	0	2	0	0	0	1	0
352	Esin_bac_bin204	0	0	0	0	0	1	0
353	Esin_bac_bin205	0	0	0	0	0	1	0
354	Esin_bac_bin206	0	1	0	0	0	0	0
355	Esin_bac_bin207	0	2	0	0	0	0	0
356	Esin_bac_bin208	0	3	0	0	0	0	0
357	Esin_bac_bin211	1	0	0	0	0	0	0
358	Esin_bac_bin213	1	0	0	0	0	0	0
359	Esin_bac_bin214	1	0	0	0	0	0	0
360	Esin_bac_bin215	0	1	0	0	0	0	0
361	Esin_bac_bin217	0	1	0	0	0	0	0
362	Esin_bac_bin218	0	2	0	0	0	0	0
363	Esin_bac_bin220	1	0	0	0	0	0	0
364	Esin_bac_bin222	0	0	0	1	0	0	0
365	Esin_bac_bin224	0	1	0	0	0	0	0
366	Esin_bac_bin226	0	1	0	0	0	0	0
367	Esin_bac_bin227	0	2	0	0	0	0	0
368	Esin_bac_bin228	0	2	0	0	0	0	0
369	Esin_bac_bin229	0	1	0	0	0	0	0
370	Esin_bac_bin231	1	0	0	0	0	0	0
371	Esin_bac_bin232	2	0	0	0	0	0	0
372	Esin_bac_bin233	1	0	0	0	0	0	0
373	Esin_bac_bin234	0	0	0	1	0	0	0
374	Esin_bac_bin235	2	0	0	0	0	0	0
375	Esin_bac_bin237	0	1	0	0	0	0	0
376	Esin_bac_bin239	0	1	0	0	0	0	0
377	Esin_bac_bin240	0	1	0	0	0	0	0
378	Esin_bac_bin241	0	1	0	0	0	0	0
379	Esin_bac_bin243	0	1	0	0	0	0	0
380	Esin_bac_bin244	0	0	0	1	0	0	0
381	Esin_bac_bin247	0	2	0	1	0	0	0
382	Esin_bac_bin248	0	2	0	0	0	0	0
383	Esin_bac_bin250	0	1	0	0	0	0	0
384	Esin_bac_bin252	0	1	0	1	0	0	0
385	Esin_bac_bin253	0	2	1	0	0	0	0
386	Esin_bac_bin256	0	1	0	0	0	0	0
387	Esin_bac_bin257	0	1	0	0	0	0	0
388	Esin_bac_bin258	0	0	0	1	0	0	0
389	Esin_bac_bin259	0	2	0	0	0	0	0
390	Esin_bac_bin260	0	1	0	0	0	0	0
391	Esin_bac_bin261	0	0	0	1	0	0	0
392	Esin_bac_bin262	0	1	0	0	0	0	0
393	Esin_bac_bin265	0	0	0	1	0	0	0
394	Esin_bac_bin266	0	1	1	0	0	0	0
395	Esin_bac_bin267	0	1	0	1	0	0	0
396	Esin_bac_bin268	0	1	1	0	0	0	0
397	Esin_bac_bin270	0	0	0	3	0	0	0
398	Esin_bac_bin271	0	2	1	2	0	0	0
399	Esin_bac_bin272	0	2	0	1	0	0	0
400	Esin_bac_bin273	0	3	1	2	0	0	0
401	Esin_bac_bin274	0	1	1	1	0	0	0
402	Esin_bac_bin275	0	1	0	1	0	0	0
403	Esin_bac_bin276	0	2	1	0	0	0	0
404	Esin_bac_bin277	0	1	2	2	0	0	0
405	Esin_bac_bin278	0	2	0	1	0	0	0
406	Esin_bac_bin279	0	3	0	1	0	0	0
407	Esin_bac_bin280	0	2	0	1	0	0	0
408	Esin_bac_bin281	0	1	1	0	0	0	0
409	Esin_bac_bin282	1	1	0	2	0	0	0
410	Esin_bac_bin283	1	0	0	0	0	0	0
411	Esin_bac_bin284	1	0	0	1	0	0	0
412	Esin_bac_bin285	2	0	0	3	0	0	0
413	Esin_bac_bin286	1	0	0	1	0	0	0
414	Esin_bac_bin288	1	1	0	2	0	0	0
415	Esin_bac_bin289	0	1	0	2	0	0	0
416	Esin_bac_bin290	0	1	0	3	0	0	0
417	Esin_bac_bin292	0	0	0	1	0	0	0
418	Esin_bac_bin293	0	0	0	2	0	0	0
419	Esin_bac_bin297	0	0	0	3	0	0	0
420	Esin_bac_bin298	0	0	0	1	0	0	0
421	Esin_bac_bin299	0	0	0	1	0	0	0
422	Esin_bac_bin300	0	0	0	3	0	0	0
423	Esin_bac_bin301	0	0	0	2	0	0	0
424	Esin_bac_bin302	0	1	0	0	0	0	0
425	Esin_bac_bin304	0	1	0	0	0	0	0
426	Esin_bac_bin307	0	1	0	1	0	0	0
427	Esin_bac_bin309	0	2	0	0	0	0	0
428	Esin_bac_bin310	0	1	0	0	0	0	0
429	Esin_bac_bin311	0	0	0	1	0	0	0
430	Esin_bac_bin314	0	1	0	2	0	0	0
431	Esin_bac_bin315	0	1	0	0	0	0	0
432	Esin_bac_bin316	0	1	0	0	0	0	0
433	Esin_bac_bin317	0	1	0	0	0	0	0
434	Esin_bac_bin325	0	0	0	2	0	0	0
435	Esin_bac_bin326	0	1	0	0	0	0	0
436	Esin_bac_bin328	0	1	0	0	0	0	0
437	Esin_bac_bin331	0	1	1	0	0	0	0
438	Esin_bac_bin332	0	1	1	1	0	0	0
439	Esin_bac_bin333	0	0	1	2	0	0	0
440	Esin_bac_bin334	0	1	0	0	0	0	0
441	Esin_bac_bin335	0	2	1	0	0	0	0
442	Esin_bac_bin337	0	1	0	0	0	0	0
443	Esin_bac_bin338	0	1	1	0	0	0	0
444	Esin_bac_bin340	0	1	0	0	0	0	0
445	Esin_bac_bin341	0	0	0	3	0	0	0
446	Esin_bac_bin343	1	0	0	0	0	0	0
447	Esin_bac_bin345	0	2	0	2	0	0	0
448	Esin_bac_bin346	0	2	0	1	0	0	0
449	Esin_bac_bin348	0	0	0	1	0	0	0
450	Esin_bac_bin349	0	0	0	1	0	0	0
451	Esin_bac_bin350	0	0	0	1	0	0	0
452	Esin_bac_bin351	0	0	0	1	0	0	0
453	Esin_bac_bin352	0	1	0	0	0	0	0
454	Esin_bac_bin353	0	0	0	2	0	0	0
455	Esin_bac_bin354	0	0	0	2	0	0	0
456	Esin_bac_bin355	1	0	0	1	0	0	0
457	Esin_bac_bin356	1	0	0	3	0	0	0
458	Esin_bac_bin357	1	1	0	2	0	0	0
459	Esin_bac_bin358	1	1	0	0	0	0	0
460	Esin_bac_bin359	1	0	0	3	0	0	0
461	Esin_bac_bin360	1	0	0	1	0	0	0
462	Esin_bac_bin361	1	1	0	2	0	0	0
463	Esin_bac_bin362	1	1	0	5	0	0	0
464	Esin_bac_bin363	1	1	0	3	0	0	0
465	Esin_bac_bin365	0	0	0	1	0	0	0
466	Esin_bac_bin366	0	1	0	0	0	0	0
467	Esin_bac_bin367	0	1	0	1	0	0	0
468	Esin_bac_bin371	0	0	0	1	0	0	0
469	Esin_bac_bin372	0	0	0	1	0	0	0
470	Esin_bac_bin374	0	0	0	1	0	0	0
471	Esin_bac_bin375	0	2	0	0	0	0	0
472	Esin_bac_bin376	0	3	0	0	0	1	1
473	Esin_bac_bin377	0	0	0	1	0	2	1
474	Esin_bac_bin378	0	0	0	0	0	1	0
475	Esin_bac_bin379	0	0	2	0	0	1	0
476	Esin_bac_bin380	0	0	2	0	0	1	0
477	Esin_bac_bin382	0	0	0	1	0	0	0
478	Esin_bac_bin383	1	1	0	1	0	1	0
479	Esin_bac_bin384	0	2	1	2	0	0	0
480	Esin_bac_bin385	0	0	2	3	0	0	0
481	Esin_bac_bin386	0	0	1	1	0	0	0
482	Esin_bac_bin387	0	0	1	2	0	0	0
483	Esin_bac_bin388	0	0	2	2	0	0	0
484	Esin_bac_bin394	1	1	0	0	0	0	0
485	Esin_bac_bin395	0	2	0	1	0	0	0
486	Esin_bac_bin396	0	1	0	0	0	0	0
487	Esin_bac_bin398	0	0	1	0	0	0	0
488	Esin_bac_bin399	0	0	1	0	0	0	0
489	Esin_bac_bin400	0	0	1	0	0	0	0
490	Esin_bac_bin401	0	0	1	0	0	0	0
491	Esin_bac_bin402	0	0	1	0	0	0	0
492	Esin_bac_bin403	0	0	1	0	0	0	0
493	Esin_bac_bin404	0	0	1	0	0	0	0
494	Esin_bac_bin405	0	0	1	0	0	0	0
495	Esin_bac_bin408	0	1	1	1	0	0	0
496	Esin_bac_bin409	0	0	0	1	0	0	1
497	Esin_bac_bin417	0	0	0	0	0	1	0
498	Esin_bac_bin418	1	5	0	0	0	1	0
499	Esin_bac_bin419	1	1	1	6	0	0	0
500	Esin_bac_bin420	1	0	1	0	0	0	0
501	Esin_bac_bin421	0	0	0	1	0	0	0
502	Esin_bac_bin422	0	0	1	2	0	0	0
503	Esin_bac_bin423	3	2	0	2	0	0	0
504	Esin_bac_bin426	0	0	0	5	0	1	0
505	Esin_bac_bin428	7	3	0	6	0	0	0
506	Esin_bac_bin429	1	0	0	0	0	1	0
507	Esin_bac_bin430	0	1	0	0	0	0	0
508	Esin_bac_bin431	0	0	0	1	0	0	0
509	Esin_bac_bin434	0	1	0	1	0	0	0
510	Esin_bac_bin435	0	1	0	0	0	0	0
511	Esin_bac_bin436	0	1	0	1	0	0	0
512	Esin_bac_bin437	0	0	0	2	0	0	0
513	Esin_bac_bin438	0	1	0	1	0	0	0
514	Esin_bac_bin440	0	2	0	0	0	0	0
515	Esin_bac_bin441	0	1	0	1	0	0	0
