K	pathway	protein
K00507	ko01100	Pame_12631.t1
K00507	ko01100	Pame_14767.t1
K00507	ko01100	Pame_14768.t1
K00507	ko01100	Pame_14769.t2
K00507	ko01212	Pame_00610.t1
K00507	ko01212	Pame_00612.t1
K00507	ko01212	Pame_05351.t1
K00507	ko01212	Pame_05356.t1
K00507	ko01212	Pame_05357.t1
K00507	ko01212	Pame_08200.t1
K00507	ko01212	Pame_11014.t1
K00507	ko01212	Pame_11015.t1
K00507	ko01212	Pame_11016.t1
K00507	ko01212	Pame_12629.t1
K00507	ko01212	Pame_12630.t1
K00507	ko01212	Pame_12631.t1
K00507	ko01212	Pame_14767.t1
K00507	ko01212	Pame_14768.t1
K00507	ko01212	Pame_14769.t2
K14305	ko03013	Pame_00608.t1
K02134	ko00190	Pame_01194.t1
K02134	ko01100	Pame_01194.t1
K00799	ko00480	Pame_00833.t1
K00799	ko00480	Pame_01227.t1
K00799	ko00480	Pame_02448.t1
K00799	ko00480	Pame_02449.t1
K00799	ko00480	Pame_06024.t1
K00799	ko00480	Pame_08803.t1
K00799	ko00480	Pame_09248.t1
K00799	ko00480	Pame_12504.t1
K00799	ko00480	Pame_12505.t1
K00799	ko00480	Pame_12506.t1
K00799	ko00480	Pame_13882.t1
K00799	ko00480	Pame_13883.t1
K00799	ko00480	Pame_14302.t1
K00799	ko00480	Pame_14351.t1
K00799	ko00480	Pame_14352.t1
K00799	ko00480	Pame_14353.t1
K00799	ko00480	Pame_14365.t1
K00799	ko00480	Pame_14366.t1
K00799	ko00480	Pame_14628.t1
K00799	ko00480	Pame_14629.t1
K00799	ko00480	Pame_14630.t1
K00799	ko00480	Pame_14631.t1
K00799	ko00480	Pame_14632.t1
K00799	ko00480	Pame_14633.t1
K00799	ko00480	Pame_14634.t1
K00799	ko00480	Pame_14635.t1
K00799	ko00480	Pame_14636.t1
K00799	ko00480	Pame_14637.t1
K00799	ko00480	Pame_14638.t1
K00799	ko00480	Pame_14639.t2
K00799	ko00480	Pame_14640.t1
K00799	ko00480	Pame_14641.t1
K00799	ko00480	Pame_14642.t1
K00799	ko00480	Pame_14643.t1
K00799	ko00480	Pame_14644.t1
K00799	ko00480	Pame_14645.t1
K00799	ko00480	Pame_14646.t1
K00799	ko00480	Pame_14647.t2
K00799	ko00480	Pame_14806.t1
K00799	ko00480	Pame_14846.t1
K00799	ko00480	Pame_14847.t1
K00799	ko00480	Pame_14848.t1
K00799	ko00480	Pame_14849.t1
K00799	ko00480	Pame_14850.t1
K00799	ko00480	Pame_14851.t1
K00799	ko00480	Pame_17634.t1
K00799	ko00480	Pame_18100.t1
K00799	ko00480	Pame_18101.t1
K00799	ko00480	Pame_18103.t1
K00799	ko00480	Pame_18104.t1
K00799	ko00480	Pame_18105.t1
K00799	ko00980	Pame_00833.t1
K00799	ko00980	Pame_01227.t1
K00799	ko00980	Pame_02448.t1
K00799	ko00980	Pame_02449.t1
K00799	ko00980	Pame_06024.t1
K00799	ko00980	Pame_08803.t1
K00799	ko00980	Pame_09248.t1
K00799	ko00980	Pame_12504.t1
K00799	ko00980	Pame_12505.t1
K00799	ko00980	Pame_12506.t1
K00799	ko00980	Pame_13882.t1
K00799	ko00980	Pame_13883.t1
K00799	ko00980	Pame_14302.t1
K00799	ko00980	Pame_14351.t1
K00799	ko00980	Pame_14352.t1
K00799	ko00980	Pame_14353.t1
K00799	ko00980	Pame_14365.t1
K00799	ko00980	Pame_14366.t1
K00799	ko00980	Pame_14628.t1
K00799	ko00980	Pame_14629.t1
K00799	ko00980	Pame_14630.t1
K00799	ko00980	Pame_14631.t1
K00799	ko00980	Pame_14632.t1
K00799	ko00980	Pame_14633.t1
K00799	ko00980	Pame_14634.t1
K00799	ko00980	Pame_14635.t1
K00799	ko00980	Pame_14636.t1
K00799	ko00980	Pame_14637.t1
K00799	ko00980	Pame_14638.t1
K00799	ko00980	Pame_14639.t2
K00799	ko00980	Pame_14640.t1
K00799	ko00980	Pame_14641.t1
K00799	ko00980	Pame_14642.t1
K00799	ko00980	Pame_14643.t1
K00799	ko00980	Pame_14644.t1
K00799	ko00980	Pame_14645.t1
K00799	ko00980	Pame_14646.t1
K00799	ko00980	Pame_14647.t2
K00799	ko00980	Pame_14806.t1
K00799	ko00980	Pame_14846.t1
K00799	ko00980	Pame_14847.t1
K00799	ko00980	Pame_14848.t1
K00799	ko00980	Pame_14849.t1
K00799	ko00980	Pame_14850.t1
K00799	ko00980	Pame_14851.t1
K00799	ko00980	Pame_17634.t1
K00799	ko00980	Pame_18100.t1
K00799	ko00980	Pame_18101.t1
K00799	ko00980	Pame_18103.t1
K00799	ko00980	Pame_18104.t1
K00799	ko00980	Pame_18105.t1
K00799	ko00982	Pame_00833.t1
K00799	ko00982	Pame_01227.t1
K00799	ko00982	Pame_02448.t1
K00799	ko00982	Pame_02449.t1
K00799	ko00982	Pame_06024.t1
K00799	ko00982	Pame_08803.t1
K00799	ko00982	Pame_09248.t1
K00799	ko00982	Pame_12504.t1
K00799	ko00982	Pame_12505.t1
K00799	ko00982	Pame_12506.t1
K00799	ko00982	Pame_13882.t1
K00799	ko00982	Pame_13883.t1
K00799	ko00982	Pame_14302.t1
K00799	ko00982	Pame_14351.t1
K00799	ko00982	Pame_14352.t1
K00799	ko00982	Pame_14353.t1
K00799	ko00982	Pame_14365.t1
K00799	ko00982	Pame_14366.t1
K00799	ko00982	Pame_14628.t1
K00799	ko00982	Pame_14629.t1
K00799	ko00982	Pame_14630.t1
K00799	ko00982	Pame_14631.t1
K00799	ko00982	Pame_14632.t1
K00799	ko00982	Pame_14633.t1
K00799	ko00982	Pame_14634.t1
K00799	ko00982	Pame_14635.t1
K00799	ko00982	Pame_14636.t1
K00799	ko00982	Pame_14637.t1
K00799	ko00982	Pame_14638.t1
K00799	ko00982	Pame_14639.t2
K00799	ko00982	Pame_14640.t1
K00799	ko00982	Pame_14641.t1
K00799	ko00982	Pame_14642.t1
K00799	ko00982	Pame_14643.t1
K00799	ko00982	Pame_14644.t1
K00799	ko00982	Pame_14645.t1
K00799	ko00982	Pame_14646.t1
K00799	ko00982	Pame_14647.t2
K00799	ko00982	Pame_14806.t1
K00799	ko00982	Pame_14846.t1
K00799	ko00982	Pame_14847.t1
K00799	ko00982	Pame_14848.t1
K00799	ko00982	Pame_14849.t1
K00799	ko00982	Pame_14850.t1
K00799	ko00982	Pame_14851.t1
K00799	ko00982	Pame_17634.t1
K00799	ko00982	Pame_18100.t1
K00799	ko00982	Pame_18101.t1
K00799	ko00982	Pame_18103.t1
K00799	ko00982	Pame_18104.t1
K00799	ko00982	Pame_18105.t1
K00799	ko00983	Pame_00833.t1
K00799	ko00983	Pame_01227.t1
K00799	ko00983	Pame_02448.t1
K00799	ko00983	Pame_02449.t1
K00799	ko00983	Pame_06024.t1
K00799	ko00983	Pame_08803.t1
K00799	ko00983	Pame_09248.t1
K00799	ko00983	Pame_12504.t1
K00799	ko00983	Pame_12505.t1
K00799	ko00983	Pame_12506.t1
K00799	ko00983	Pame_13882.t1
K00799	ko00983	Pame_13883.t1
K00799	ko00983	Pame_14302.t1
K00799	ko00983	Pame_14351.t1
K00799	ko00983	Pame_14352.t1
K00799	ko00983	Pame_14353.t1
K00799	ko00983	Pame_14365.t1
K00799	ko00983	Pame_14366.t1
K00799	ko00983	Pame_14628.t1
K00799	ko00983	Pame_14629.t1
K00799	ko00983	Pame_14630.t1
K00799	ko00983	Pame_14631.t1
K00799	ko00983	Pame_14632.t1
K00799	ko00983	Pame_14633.t1
K00799	ko00983	Pame_14634.t1
K00799	ko00983	Pame_14635.t1
K00799	ko00983	Pame_14636.t1
K00799	ko00983	Pame_14637.t1
K00799	ko00983	Pame_14638.t1
K00799	ko00983	Pame_14639.t2
K00799	ko00983	Pame_14640.t1
K00799	ko00983	Pame_14641.t1
K00799	ko00983	Pame_14642.t1
K00799	ko00983	Pame_14643.t1
K00799	ko00983	Pame_14644.t1
K00799	ko00983	Pame_14645.t1
K00799	ko00983	Pame_14646.t1
K00799	ko00983	Pame_14647.t2
K00799	ko00983	Pame_14806.t1
K00799	ko00983	Pame_14846.t1
K00799	ko00983	Pame_14847.t1
K00799	ko00983	Pame_14848.t1
K00799	ko00983	Pame_14849.t1
K00799	ko00983	Pame_14850.t1
K00799	ko00983	Pame_14851.t1
K00799	ko00983	Pame_17634.t1
K00799	ko00983	Pame_18100.t1
K00799	ko00983	Pame_18101.t1
K00799	ko00983	Pame_18103.t1
K00799	ko00983	Pame_18104.t1
K00799	ko00983	Pame_18105.t1
K00799	ko01100	Pame_00833.t1
K00799	ko01100	Pame_01227.t1
K00799	ko01100	Pame_02448.t1
K00799	ko01100	Pame_02449.t1
K00799	ko01100	Pame_06024.t1
K00799	ko01100	Pame_08803.t1
K00799	ko01100	Pame_09248.t1
K00799	ko01100	Pame_12504.t1
K00799	ko01100	Pame_12505.t1
K00799	ko01100	Pame_12506.t1
K00799	ko01100	Pame_13882.t1
K00799	ko01100	Pame_13883.t1
K00799	ko01100	Pame_14302.t1
K00799	ko01100	Pame_14351.t1
K00799	ko01100	Pame_14352.t1
K00799	ko01100	Pame_14353.t1
K00799	ko01100	Pame_14365.t1
K00799	ko01100	Pame_14366.t1
K00799	ko01100	Pame_14628.t1
K00799	ko01100	Pame_14629.t1
K00799	ko01100	Pame_14630.t1
K00799	ko01100	Pame_14631.t1
K00799	ko01100	Pame_14632.t1
K00799	ko01100	Pame_14633.t1
K00799	ko01100	Pame_14634.t1
K00799	ko01100	Pame_14635.t1
K00799	ko01100	Pame_14636.t1
K00799	ko01100	Pame_14637.t1
K00799	ko01100	Pame_14638.t1
K00799	ko01100	Pame_14639.t2
K00799	ko01100	Pame_14640.t1
K00799	ko01100	Pame_14641.t1
K00799	ko01100	Pame_14642.t1
K00799	ko01100	Pame_14643.t1
K00799	ko01100	Pame_14644.t1
K00799	ko01100	Pame_14645.t1
K00799	ko01100	Pame_14646.t1
K00799	ko01100	Pame_14647.t2
K00799	ko01100	Pame_14806.t1
K00799	ko01100	Pame_14846.t1
K00799	ko01100	Pame_14847.t1
K00799	ko01100	Pame_14848.t1
K00799	ko01100	Pame_14849.t1
K00799	ko01100	Pame_14850.t1
K00799	ko01100	Pame_14851.t1
K00799	ko01100	Pame_17634.t1
K00799	ko01100	Pame_18100.t1
K00799	ko01100	Pame_18101.t1
K00799	ko01100	Pame_18103.t1
K00799	ko01100	Pame_18104.t1
K00799	ko01100	Pame_18105.t1
K12881	ko03013	Pame_01181.t1
K12881	ko03015	Pame_01181.t1
K12881	ko03040	Pame_01181.t1
K05661	ko02010	Pame_01188.t1
K12401	ko04142	Pame_01219.t1
K03005	ko03020	Pame_01218.t1
K12197	ko03272	Pame_01220.t1
K12197	ko03272	Pame_17853.t1
K12197	ko04144	Pame_01220.t1
K12197	ko04144	Pame_17853.t1
K11423	ko00310	Pame_01269.t1
K11423	ko01100	Pame_01269.t1
K01077	ko00730	Pame_00568.t1
K01077	ko00730	Pame_09317.t1
K01077	ko00730	Pame_10932.t1
K01077	ko00730	Pame_13104.t1
K01077	ko00730	Pame_13436.t1
K01077	ko00730	Pame_13507.t1
K01077	ko00730	Pame_13508.t1
K01077	ko00730	Pame_15380.t1
K01077	ko00730	Pame_15382.t2
K01077	ko00730	Pame_18840.t1
K01077	ko00790	Pame_00568.t1
K01077	ko00790	Pame_09317.t1
K01077	ko00790	Pame_10932.t1
K01077	ko00790	Pame_13104.t1
K01077	ko00790	Pame_13436.t1
K01077	ko00790	Pame_13507.t1
K01077	ko00790	Pame_13508.t1
K01077	ko00790	Pame_15380.t1
K01077	ko00790	Pame_15382.t2
K01077	ko00790	Pame_18840.t1
K01077	ko01100	Pame_00568.t1
K01077	ko01100	Pame_09317.t1
K01077	ko01100	Pame_10932.t1
K01077	ko01100	Pame_13104.t1
K01077	ko01100	Pame_13436.t1
K01077	ko01100	Pame_13507.t1
K01077	ko01100	Pame_13508.t1
K01077	ko01100	Pame_15380.t1
K01077	ko01100	Pame_15382.t2
K01077	ko01100	Pame_18840.t1
K01077	ko01240	Pame_00568.t1
K01077	ko01240	Pame_09317.t1
K01077	ko01240	Pame_10932.t1
K01077	ko01240	Pame_13104.t1
K01077	ko01240	Pame_13436.t1
K01077	ko01240	Pame_13507.t1
K01077	ko01240	Pame_13508.t1
K01077	ko01240	Pame_15380.t1
K01077	ko01240	Pame_15382.t2
K01077	ko01240	Pame_18840.t1
K00787	ko00900	Pame_00558.t1
K00787	ko00900	Pame_00559.t1
K00787	ko00900	Pame_19326.t1
K00787	ko00900	Pame_19327.t1
K00787	ko00900	Pame_19328.t1
K00787	ko00900	Pame_19329.t1
K00787	ko00900	Pame_19330.t1
K00787	ko00900	Pame_19331.t1
K00787	ko00900	Pame_19333.t1
K00787	ko00900	Pame_19430.t2
K00787	ko00900	Pame_19431.t1
K00787	ko00900	Pame_19432.t1
K00787	ko00900	Pame_19433.t1
K00787	ko00900	Pame_19434.t1
K00787	ko01100	Pame_00558.t1
K00787	ko01100	Pame_00559.t1
K00787	ko01100	Pame_19326.t1
K00787	ko01100	Pame_19327.t1
K00787	ko01100	Pame_19328.t1
K00787	ko01100	Pame_19329.t1
K00787	ko01100	Pame_19330.t1
K00787	ko01100	Pame_19331.t1
K00787	ko01100	Pame_19333.t1
K00787	ko01100	Pame_19430.t2
K00787	ko01100	Pame_19431.t1
K00787	ko01100	Pame_19432.t1
K00787	ko01100	Pame_19433.t1
K00787	ko01100	Pame_19434.t1
K14306	ko03013	Pame_00562.t1
K14306	ko03013	Pame_14423.t1
K03940	ko00190	Pame_00560.t1
K03940	ko00190	Pame_00561.t3
K03940	ko01100	Pame_00560.t1
K03940	ko01100	Pame_00561.t3
K03940	ko00190	Pame_00560.t1
K03940	ko00190	Pame_00561.t3
K03940	ko01100	Pame_00560.t1
K03940	ko01100	Pame_00561.t3
K00787	ko00900	Pame_00558.t1
K00787	ko00900	Pame_00559.t1
K00787	ko00900	Pame_19326.t1
K00787	ko00900	Pame_19327.t1
K00787	ko00900	Pame_19328.t1
K00787	ko00900	Pame_19329.t1
K00787	ko00900	Pame_19330.t1
K00787	ko00900	Pame_19331.t1
K00787	ko00900	Pame_19333.t1
K00787	ko00900	Pame_19430.t2
K00787	ko00900	Pame_19431.t1
K00787	ko00900	Pame_19432.t1
K00787	ko00900	Pame_19433.t1
K00787	ko00900	Pame_19434.t1
K00787	ko01100	Pame_00558.t1
K00787	ko01100	Pame_00559.t1
K00787	ko01100	Pame_19326.t1
K00787	ko01100	Pame_19327.t1
K00787	ko01100	Pame_19328.t1
K00787	ko01100	Pame_19329.t1
K00787	ko01100	Pame_19330.t1
K00787	ko01100	Pame_19331.t1
K00787	ko01100	Pame_19333.t1
K00787	ko01100	Pame_19430.t2
K00787	ko01100	Pame_19431.t1
K00787	ko01100	Pame_19432.t1
K00787	ko01100	Pame_19433.t1
K00787	ko01100	Pame_19434.t1
K19801	ko00562	Pame_00552.t1
K19801	ko01100	Pame_00552.t1
K19801	ko04070	Pame_00552.t1
K10744	ko03030	Pame_00550.t1
K01384	ko04150	Pame_00545.t1
K01384	ko04150	Pame_00546.t1
K01384	ko04310	Pame_00545.t1
K01384	ko04310	Pame_00546.t1
K05673	ko02010	Pame_00543.t1
K05673	ko02010	Pame_00544.t2
K05673	ko02010	Pame_02265.t1
K05673	ko02010	Pame_09361.t1
K05673	ko02010	Pame_09362.t1
K05673	ko02010	Pame_09363.t1
K05673	ko02010	Pame_09544.t1
K05673	ko02010	Pame_16089.t2
K05673	ko02010	Pame_16090.t1
K05673	ko02010	Pame_18686.t1
K05673	ko02010	Pame_20286.t2
K05673	ko04981	Pame_00543.t1
K05673	ko04981	Pame_00544.t2
K05673	ko04981	Pame_02265.t1
K05673	ko04981	Pame_09361.t1
K05673	ko04981	Pame_09362.t1
K05673	ko04981	Pame_09363.t1
K05673	ko04981	Pame_09544.t1
K05673	ko04981	Pame_16089.t2
K05673	ko04981	Pame_16090.t1
K05673	ko04981	Pame_18686.t1
K05673	ko04981	Pame_20286.t2
K05673	ko02010	Pame_00543.t1
K05673	ko02010	Pame_00544.t2
K05673	ko02010	Pame_02265.t1
K05673	ko02010	Pame_09361.t1
K05673	ko02010	Pame_09362.t1
K05673	ko02010	Pame_09363.t1
K05673	ko02010	Pame_09544.t1
K05673	ko02010	Pame_16089.t2
K05673	ko02010	Pame_16090.t1
K05673	ko02010	Pame_18686.t1
K05673	ko02010	Pame_20286.t2
K05673	ko04981	Pame_00543.t1
K05673	ko04981	Pame_00544.t2
K05673	ko04981	Pame_02265.t1
K05673	ko04981	Pame_09361.t1
K05673	ko04981	Pame_09362.t1
K05673	ko04981	Pame_09363.t1
K05673	ko04981	Pame_09544.t1
K05673	ko04981	Pame_16089.t2
K05673	ko04981	Pame_16090.t1
K05673	ko04981	Pame_18686.t1
K05673	ko04981	Pame_20286.t2
K21138	ko00230	Pame_00542.t1
K21138	ko01100	Pame_00542.t1
K11718	ko04141	Pame_00539.t1
K11718	ko04141	Pame_00540.t1
K11718	ko04141	Pame_00541.t2
K01968	ko00280	Pame_00538.t1
K01968	ko01100	Pame_00538.t1
K20399	ko04150	Pame_00537.t1
K03352	ko04120	Pame_01128.t1
K04462	ko00310	Pame_01289.t1
K04462	ko00310	Pame_01291.t1
K04462	ko01100	Pame_01289.t1
K04462	ko01100	Pame_01291.t1
K00006	ko00564	Pame_00517.t1
K00006	ko01100	Pame_00517.t1
K01312	ko04080	Pame_00017.t1
K01312	ko04080	Pame_00489.t1
K01312	ko04080	Pame_00490.t1
K01312	ko04080	Pame_00505.t1
K01312	ko04080	Pame_00506.t1
K01312	ko04080	Pame_00507.t1
K01312	ko04080	Pame_00508.t1
K01312	ko04080	Pame_05261.t1
K01312	ko04080	Pame_06088.t2
K01312	ko04080	Pame_07715.t1
K01312	ko04080	Pame_07868.t1
K01312	ko04080	Pame_07869.t1
K01312	ko04080	Pame_07870.t1
K01312	ko04080	Pame_07871.t2
K01312	ko04080	Pame_07872.t1
K01312	ko04080	Pame_07873.t1
K01312	ko04080	Pame_07874.t1
K01312	ko04080	Pame_07875.t1
K01312	ko04080	Pame_07876.t1
K01312	ko04080	Pame_09859.t1
K01312	ko04080	Pame_10475.t1
K01312	ko04080	Pame_10476.t1
K01312	ko04080	Pame_10478.t1
K01312	ko04080	Pame_10479.t1
K01312	ko04080	Pame_10480.t1
K01312	ko04080	Pame_10481.t1
K01312	ko04080	Pame_10482.t1
K01312	ko04080	Pame_10483.t1
K01312	ko04080	Pame_10484.t1
K01312	ko04080	Pame_10485.t1
K01312	ko04080	Pame_10486.t1
K01312	ko04080	Pame_10487.t1
K01312	ko04080	Pame_10488.t1
K01312	ko04080	Pame_10489.t1
K01312	ko04080	Pame_10490.t1
K01312	ko04080	Pame_10491.t1
K01312	ko04080	Pame_10492.t1
K01312	ko04080	Pame_10493.t1
K01312	ko04080	Pame_10494.t1
K01312	ko04080	Pame_10495.t1
K01312	ko04080	Pame_10496.t1
K01312	ko04080	Pame_10497.t1
K01312	ko04080	Pame_10498.t2
K01312	ko04080	Pame_10499.t1
K01312	ko04080	Pame_10501.t1
K01312	ko04080	Pame_10502.t1
K01312	ko04080	Pame_10503.t1
K01312	ko04080	Pame_10794.t1
K01312	ko04080	Pame_10795.t1
K01312	ko04080	Pame_10797.t1
K01312	ko04080	Pame_10798.t1
K01312	ko04080	Pame_10911.t1
K01312	ko04080	Pame_10914.t1
K01312	ko04080	Pame_10915.t1
K01312	ko04080	Pame_11008.t1
K01312	ko04080	Pame_11279.t1
K01312	ko04080	Pame_11761.t1
K01312	ko04080	Pame_11762.t1
K01312	ko04080	Pame_11763.t1
K01312	ko04080	Pame_11772.t1
K01312	ko04080	Pame_12172.t1
K01312	ko04080	Pame_12206.t1
K01312	ko04080	Pame_12302.t1
K01312	ko04080	Pame_12303.t1
K01312	ko04080	Pame_12305.t1
K01312	ko04080	Pame_12306.t1
K01312	ko04080	Pame_12307.t1
K01312	ko04080	Pame_12308.t1
K01312	ko04080	Pame_12309.t1
K01312	ko04080	Pame_12311.t1
K01312	ko04080	Pame_12634.t1
K01312	ko04080	Pame_12636.t1
K01312	ko04080	Pame_13207.t1
K01312	ko04080	Pame_13208.t1
K01312	ko04080	Pame_13209.t1
K01312	ko04080	Pame_13210.t1
K01312	ko04080	Pame_13211.t1
K01312	ko04080	Pame_15738.t1
K01312	ko04080	Pame_16335.t2
K01312	ko04080	Pame_16336.t1
K01312	ko04080	Pame_17228.t1
K01312	ko04080	Pame_17229.t1
K01312	ko04080	Pame_17230.t1
K01312	ko04080	Pame_17231.t1
K01312	ko04080	Pame_17232.t1
K01312	ko04080	Pame_17234.t1
K01312	ko04080	Pame_17237.t1
K01312	ko04080	Pame_17239.t1
K01312	ko04080	Pame_17240.t1
K01312	ko04080	Pame_17488.t1
K01312	ko04080	Pame_18021.t1
K01312	ko04080	Pame_18022.t1
K01312	ko04080	Pame_18029.t1
K01312	ko04080	Pame_18102.t2
K01312	ko04080	Pame_18420.t1
K01312	ko04080	Pame_18424.t1
K01312	ko04080	Pame_18425.t1
K01312	ko04080	Pame_18427.t1
K01312	ko04080	Pame_18428.t1
K01312	ko04080	Pame_18440.t1
K01312	ko04080	Pame_18443.t1
K01312	ko04080	Pame_18444.t1
K01312	ko04080	Pame_18445.t1
K01312	ko04080	Pame_18451.t1
K01312	ko04080	Pame_18452.t1
K01312	ko04080	Pame_21781.t1
K01312	ko04080	Pame_21782.t1
K01312	ko04080	Pame_21783.t1
K01312	ko04080	Pame_21784.t1
K01312	ko04080	Pame_21785.t1
K01312	ko04080	Pame_21786.t1
K01312	ko04080	Pame_21787.t1
K01312	ko04080	Pame_21788.t1
K01312	ko04080	Pame_21789.t1
K01312	ko04080	Pame_21790.t1
K01312	ko04080	Pame_21791.t1
K01312	ko04080	Pame_21792.t1
K01312	ko04080	Pame_21793.t1
K12385	ko03265	Pame_00503.t1
K12385	ko03265	Pame_21658.t1
K12385	ko04142	Pame_00503.t1
K12385	ko04142	Pame_21658.t1
K10305	ko04068	Pame_04074.t1
K01052	ko00100	Pame_00495.t1
K01052	ko00100	Pame_00496.t1
K01052	ko00100	Pame_00497.t1
K01052	ko00100	Pame_01458.t1
K01052	ko00100	Pame_02096.t1
K01052	ko00100	Pame_05715.t1
K01052	ko00100	Pame_05769.t1
K01052	ko00100	Pame_06852.t1
K01052	ko00100	Pame_07094.t1
K01052	ko00100	Pame_07095.t1
K01052	ko00100	Pame_10291.t1
K01052	ko00100	Pame_10292.t1
K01052	ko00100	Pame_10293.t1
K01052	ko00100	Pame_10382.t2
K01052	ko00100	Pame_13908.t1
K01052	ko00100	Pame_13909.t1
K01052	ko00100	Pame_13992.t1
K01052	ko00100	Pame_13993.t1
K01052	ko00100	Pame_13994.t1
K01052	ko00100	Pame_13995.t1
K01052	ko00100	Pame_14039.t1
K01052	ko00100	Pame_14040.t1
K01052	ko00100	Pame_14041.t1
K01052	ko00100	Pame_14042.t1
K01052	ko00100	Pame_14043.t1
K01052	ko00100	Pame_14044.t1
K01052	ko00100	Pame_14045.t1
K01052	ko00100	Pame_14046.t1
K01052	ko00100	Pame_14081.t1
K01052	ko00100	Pame_15321.t1
K01052	ko00100	Pame_15323.t1
K01052	ko00100	Pame_15324.t1
K01052	ko00100	Pame_15325.t1
K01052	ko00100	Pame_15326.t1
K01052	ko00100	Pame_16256.t1
K01052	ko00100	Pame_16515.t1
