OG	Pame	Pful	Esin	Bger	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
OG0003746	Pame_03282.t1	Pful_12648.t1	Esin_00036-PA	Bger_00071.t1	12.0208	11.9132	10.3077	13.7662	11.539	9.78766	3.53484	2.35388	2.05037	2.48699	1.8263	1.9826	8.23673	6.33291	3.56228	4.4087	6.23919	8.46381	0.503195	3.17011	0	1.6184	0.971038	0.881113
OG0003747	Pame_03463.t1	Pful_19798.t1	Esin_00032-PA	Bger_00074.t1	4.63921	4.16193	3.11201	2.66795	1.77852	1.82451	1.19587	0.716614	0.735452	0.85079	1.21036	0.904524	4.87585	3.68195	1.90959	3.10339	5.04653	5.41432	27.6314	22.8307	23.3734	23.621	32.9648	21.6083
OG0003748	Pame_03185.t1	Pful_11201.t1	Esin_00228-PA	Bger_00081.t1	1.38543	1.47223	1.37902	1.09903	0.784379	2.0008	3.48987	4.056	1.83373	2.805	2.67647	1.98484	5.17566	4.38247	2.17338	3.2294	5.03628	5.88628	1.15453	2.71203	3.00269	2.51077	3.10906	0.722825
OG0003749	Pame_03750.t1	Pful_15300.t1	Esin_00296-PA	Bger_00083.t1	290.684	336.67	302.804	235.163	223.44	225.123	324.121	244.236	324.109	339.811	182.648	316.071	20.1909	9.59073	9.3594	10.5939	12.0217	9.88732	195.367	232.298	263.867	332.201	212.427	268.725
OG0003750	Pame_03524.t1	Pful_8744.t1	Esin_00221-PA	Bger_00086.t1	4.60766	4.58391	3.11591	4.69707	2.24157	3.47091	11.8869	14.5848	13.7738	13.2612	10.4448	10.0678	28.4156	24.3449	11.9612	17.0488	22.0976	33.2137	20.8074	13.9214	17.1237	21.4076	21.3911	15.4921
OG0003751	Pame_02777.t1	Pful_899.t1	Esin_19910-PA	Bger_00089.t1	0.594518	3.38688	2.01788	1.63021	6.67474	2.2688	3.18103	11.2078	12.9238	2.52943	16.7795	4.54442	81.1027	44.8318	25.5565	36.3853	111.533	60.6038	0.878257	1.55938	1.664	1.02785	4.21599	2.39828
OG0003752	Pame_02776.t1	Pful_898.t1	Esin_00075-PA	Bger_00090.t1	6.74529	7.38187	6.68627	5.27195	5.79737	6.19056	2.9066	2.86119	2.2294	2.25845	2.47004	1.88534	3.42012	1.47926	1.08785	1.82914	2.28979	3.73316	1.7461	1.71268	1.28847	1.74928	1.94889	1.37551
OG0003753	Pame_02739.t1	Pful_2186.t1	Esin_00603-PA	Bger_00102.t1	0.318873	0.336562	0.086069	0.204991	0.064153	0.167251	1.22459	0.917074	0.639978	0.580622	0.57184	0.433983	2.35536	0.946318	0.554484	0.523894	0.213945	0.559851	0.028172	0.243512	0.029961	0.030688	0.0217	0
OG0003754	Pame_02775.t1	Pful_897.t1	Esin_00094-PA	Bger_00109.t2	1.45672	1.83845	0.844614	1.27468	1.0042	0.910272	0.566507	0.604555	0.258651	0.638867	0.524503	0.179352	12.7514	9.18498	3.99285	7.48291	12.0228	12.1551	18.7654	14.3628	16.6015	17.4364	24.0187	13.3179
OG0003755	Pame_02811.t1	Pful_5047.t2	Esin_00317-PA	Bger_00111.t1	0.272738	0.362189	0.325815	0.238593	0.299327	0.223042	0.161028	0.332403	0.131272	0.182381	0.399283	0.182037	0.103428	0.31445	0.145806	0	0.113871	0.690622	7.48776	5.0575	6.52178	7.18825	10.4274	3.36197
OG0003756	Pame_03648.t1	Pful_4054.t1	Esin_00237-PA	Bger_00113.t1	0.421661	0.369942	0.410415	0.357925	0.305365	0.341032	3.13666	2.8563	2.05557	2.71323	2.6862	2.32154	6.05752	5.77548	2.05465	3.82993	5.43292	8.45461	1.55886	3.15048	2.03301	2.83082	4.22056	1.49781
OG0003757	Pame_03641.t1	Pful_3990.t1	Esin_15013-PA	Bger_00118.t2	24.0872	30.1926	29.6728	26.3751	16.5389	19.2826	58.1342	70.0568	76.3917	63.3639	70.7351	67.597	16.3163	5.33312	6.34058	7.50638	8.68636	8.21016	39.051	21.8567	29.8102	33.3001	32.6137	20.8664
OG0003759	Pame_02738.t1	Pful_2188.t1	Esin_00601-PA	Bger_00123.t1	0.214547	0.418049	0.152001	0.258577	0.280569	0.192916	0.576958	0.376266	0.2273	0.666861	0.595561	0.122669	4.39512	3.34552	2.16904	2.47267	2.89615	4.07861	0.252571	0.904097	0.17907	0.336261	0.583628	0.061457
OG0003760	Pame_03692.t2	Pful_3999.t1	Esin_00513-PB	Bger_00126.t2	2.24624	3.36253	1.98269	2.5244	2.75338	2.20675	2.66348	3.40138	2.07258	2.5416	3.14172	1.37736	20.1497	15.4721	7.39788	10.9682	14.7552	18.3297	1.95377	2.04337	1.76107	2.0861	1.88122	0.536502
OG0003761	Pame_03397.t1	Pful_10755.t1	Esin_00618-PA	Bger_00128.t3	21.7707	28.6134	21.699	37.9619	35.9891	33.7093	3.46572	3.83916	4.49663	3.86593	4.63315	3.48483	26.1019	27.2289	10.9395	21.8868	21.2458	38.3805	6.80708	11.3628	10.7375	9.3976	11.5366	7.68687
OG0003762	Pame_02950.t1	Pful_9891.t1	Esin_00297-PA	Bger_00129.t1	8.23958	10.8142	6.77043	4.86562	5.55068	5.861	4.94439	6.59883	6.95726	7.44886	9.3695	4.06762	10.88	5.11776	3.90616	8.24651	8.95627	15.3628	2.00697	2.34306	1.38178	1.41074	2.70549	0.597872
OG0003763	Pame_03335.t2	Pful_9069.t1	Esin_00477-PA	Bger_00139.t2	1.13788	1.87435	2.67439	1.12024	2.41789	1.40607	1.9138	1.76946	1.4978	1.2131	1.9712	1.21109	23.9805	52.9375	55.2314	2.30988	52.8885	5.06603	9.27119	3.08449	5.96729	4.86702	7.73855	3.86939
OG0003765	Pame_02943.t1	Pful_9897.t2	Esin_00312-PA	Bger_00158.t1	1.15017	0.619201	0.381848	0.851507	0.900879	0.866598	0.496002	1.39621	0.995632	1.00581	2.51413	0.808796	4.16749	2.25208	1.22462	4.11306	2.46631	2.23966	3.92262	2.46277	2.80764	2.97433	4.55782	2.1576
OG0003766	Pame_03254.t1	Pful_11134.t2	Esin_00262-PC	Bger_00162.t1	0.071088	0.202277	0.180535	0.201052	0.131071	0.212806	0.243999	0.210281	0.254176	0.392788	0.408613	0.265115	6.68784	2.42536	1.87757	3.27496	10.3178	5.50101	2.14157	1.64033	1.95322	1.74516	2.88655	1.28687
OG0003767	Pame_03255.t1	Pful_11133.t1	Esin_00264-PA	Bger_00164.t1	6.32007	6.6238	5.56049	5.54661	4.23257	3.67988	5.73257	6.69517	6.11157	7.61496	6.07026	4.94935	26.4927	21.4153	14.2839	15.7801	21.5492	30.0836	7.78751	4.26175	6.35335	5.85416	7.87739	4.55297
OG0003768	Pame_02741.t1	Pful_2192.t1	Esin_00496-PA	Bger_00165.t1	3.44773	4.18882	4.35118	3.60037	3.87335	4.4717	5.14992	4.54564	3.76337	4.78561	5.74653	3.59218	3.0218	1.89018	1.08594	1.99368	2.93644	4.73604	0.817053	1.39886	1.8884	1.23484	2.098	1.1497
OG0003769	Pame_02743.t1	Pful_2195.t1	Esin_00615-PA	Bger_00167.t1	636.605	802.148	629.534	536.684	780.736	737.127	888.745	1095.97	932.25	756.303	902.235	720.679	166.236	121.573	88.6655	88.1373	184.028	191.62	43.8263	81.4094	93.3426	94.7425	118.969	26.28
OG0003770	Pame_02744.t1	Pful_2196.t2	Esin_00604-PA	Bger_00168.t1	2.63172	2.90403	2.99823	1.9917	2.96785	2.62744	2.14351	3.3296	3.32853	2.6837	3.00783	2.40734	4.74217	4.73674	1.93306	2.68999	4.75784	8.4584	2.18461	1.43808	1.47802	1.47633	2.54502	1.47331
OG0003771	Pame_02192.t1	Pful_10948.t1	Esin_19381-PA	Bger_00176.t1	1.52877	1.73051	1.08079	2.22564	1.30417	1.77788	7.01738	9.33367	4.18477	4.77519	3.82457	1.70221	10.2095	4.74549	3.22308	4.85252	8.70945	8.37044	0.770959	2.52378	0	0	0	0
OG0003772	Pame_03143.t1	Pful_11164.t1	Esin_00219-PA	Bger_00185.t1	4.11982	3.86883	3.09469	2.63682	2.76483	3.59601	1.71498	1.8937	1.04977	1.53635	1.32676	0.884683	4.37856	2.5179	1.2302	2.8305	3.65684	5.48137	0.157769	1.95771	0.842543	0.686422	0.810264	0.40636
OG0003773	Pame_02854.t1	Pful_5096.t2	Esin_19983-PA	Bger_00186.t2	3.50165	3.71917	3.76266	4.24034	5.83151	5.98195	5.48033	5.49064	3.54429	4.91609	7.77221	3.23036	8.25697	8.07199	3.56268	5.68086	6.44421	8.73916	23.8145	11.9595	10.2521	14.2918	20.0456	15.0097
OG0003774	Pame_02818.t1	Pful_5053.t1	Esin_00455-PA	Bger_00189.t2	0.37323	0	0	0.116486	0.15053	1.26676	1.1442	1.9556	5.47206	1.13308	2.29463	0	18.656	19.2213	19.6282	14.3715	16.6465	19.7798	5.78746	7.10435	13.6335	9.87539	16.3189	4.63692
OG0003775	Pame_03710.t1	Pful_4024.t1	Esin_00548-PA	Bger_00191.t2	0.732238	0.604747	0.42273	0.544809	0.578819	0.441169	0.645083	0.771782	0.367892	0.76438	0.549815	0.414054	3.87143	5.4963	1.81437	2.32726	4.11809	4.25682	5.20023	5.15167	3.33695	4.36427	7.09513	3.4442
OG0003776	Pame_05593.t1	Pful_11217.t1	Esin_00546-PA	Bger_00193.t1	0.199528	0.315948	0.383914	0.288827	0.260918	0.224221	1.23375	1.16499	1.02554	1.2043	2.00477	0.609649	0.927999	1.20391	0.574935	0.346376	0.788533	0.774112	3.731	3.77995	3.7783	3.68031	5.26207	2.70261
OG0003777	Pame_05592.t1	Pful_11218.t1	Esin_00545-PA	Bger_00194.t1	26.4562	40.1995	17.4352	14.2103	36.3953	18.5643	73.4373	106.436	67.2596	42.2746	98.2892	51.9799	15.1345	10.1261	4.65088	9.27773	10.0616	9.39687	2.86512	2.14586	1.60655	2.82995	4.64567	3.19429
OG0003778	Pame_03666.t1	Pful_11220.t1	Esin_00557-PD	Bger_00195.t2	6.65649	7.5529	5.39469	6.5038	7.44172	7.07334	3.48205	3.77664	2.65396	4.03573	3.38887	3.10221	41.5438	22.1565	14.2513	21.5581	47.8933	42.4663	2.4517	3.54023	2.35432	3.0155	4.95451	2.04833
OG0003782	Pame_02955.t1	Pful_9886.t1	Esin_00098-PB	Bger_00199.t1	3.53128	3.98787	2.99645	2.55927	3.06107	2.43422	4.68802	6.28825	3.22515	4.72826	5.15122	3.02913	29.1296	27.0087	14.1584	22.6566	30.0049	32.04	6.63468	7.16345	6.42174	6.12338	7.09043	5.4677
OG0003783	Pame_03558.t1	Pful_15278.t1	Esin_00184-PA	Bger_00201.t1	0.043295	0.157739	0.086914	0.068689	0.087153	0.0488	0.15059	0.278808	0.257621	0.154628	0.386861	0.176329	1.77669	0.84694	0.40805	0.822165	1.19131	1.632	0.223188	1.16558	0.098736	0.121626	0.157575	0.060906
OG0003784	Pame_03559.t1	Pful_15279.t2	Esin_00183-PA	Bger_00202.t1	19.5494	29.349	26.682	6.81322	20.9153	31.4988	40.5255	112.001	98.0446	63.5589	101.578	18.9983	110.782	45.8302	16.6326	99.0937	163.519	92.0099	33.6858	25.7704	33.0956	24.2211	39.8167	17.0443
OG0003785	Pame_03556.t1	Pful_15275.t1	Esin_00185-PA	Bger_00205.t3	11.164	13.9643	8.74705	14.0708	14.5175	13.4319	11.5099	15.579	8.31766	11.9122	14.1348	9.51499	25.461	28.8313	11.1827	21.2667	23.8885	34.4986	7.3556	8.00778	5.99254	5.46852	9.99587	3.28127
OG0003786	Pame_03109.t1	Pful_12602.t2	Esin_00189-PA	Bger_00210.t1	0.572503	0.677824	1.37035	0.210751	1.47017	0.326112	0.288499	0	0.920065	0.46805	0	0	0.265226	0.10119	0	0.152463	0.139636	0.441044	3.73317	2.27728	2.89466	2.53939	4.28141	2.24022
OG0003789	Pame_03114.t1	Pful_12610.t1	Esin_00193-PA	Bger_00220.t1	3.26247	4.08196	2.88022	2.62741	3.05218	2.85719	5.0431	8.32111	5.05314	5.21759	7.81893	3.58175	10.3025	7.22564	4.16377	6.10613	10.8448	10.3196	0.572255	1.70261	0.962876	1.11711	0.97336	0.417154
OG0003791	Pame_03213.t1	Pful_18873.t1	Esin_00567-PA	Bger_00229.t2	2.42647	3.40546	2.98013	2.93276	1.47116	3.15081	9.35771	10.7066	4.11707	5.96788	5.69051	4.39308	21.6558	17.7935	8.74904	9.98419	20.8123	19.7125	19.7742	53.2517	57.9847	78.6326	83.2883	18.5157
OG0003792	Pame_03212.t1	Pful_18870.t1	Esin_00570-PA	Bger_00230.t1	0.454445	1.10408	1.03747	0.787452	0.790018	0.931088	1.89455	2.46593	1.0994	1.43935	0.41674	0.841842	10.4194	9.57014	5.44641	8.26141	11.0555	14.8899	0.15644	0.555144	0.125021	0.383167	0.210886	0.04298
OG0003793	Pame_03211.t1	Pful_18869.t1	Esin_00568-PA	Bger_00231.t1	16.4242	12.2325	19.194	5.85684	12.5124	20.7672	25.0067	26.3751	27.6563	31.3879	50.7737	21.436	7.64943	5.07057	2.83093	7.90574	10.1026	10.5509	1.2281	4.04503	19.5949	2.90368	12.7224	6.98825
OG0003795	Pame_03075.t1	Pful_12544.t1	Esin_00608-PA	Bger_00247.t1	2.12678	2.21837	0.979115	0.970943	2.17411	3.38543	5.48264	14.5659	4.78637	2.72385	4.01184	6.63516	4.7237	2.87337	1.79509	4.35928	16.6498	14.0049	2.87467	3.51021	9.19565	2.38291	9.14232	3.37761
OG0003796	Pame_03525.t1	Pful_8743.t1	Esin_00525-PA	Bger_00248.t1	1.14256	2.34857	0.906822	0.967537	1.27901	2.46128	6.84467	14.7989	7.09314	2.80146	8.43525	4.93191	0	0.972385	0.532327	0.182383	0	0	7.02151	3.38957	12.641	3.91668	7.88417	4.72511
OG0003797	Pame_03592.t2	Pful_15954.t3	Esin_00524-PB	Bger_00249.t2	6.28187	8.32821	4.37037	4.74196	4.74062	8.05952	5.32218	5.39897	3.07192	6.27596	6.39461	2.83171	92.3338	61.992	30.5733	74.9285	103.796	77.9014	22.6133	20.8215	24.4168	23.2127	33.6892	14.8579
OG0003798	Pame_03597.t1	Pful_15967.t1	Esin_00517-PA	Bger_00258.t1	763.014	793.743	1006.33	1026.69	1055.63	933.551	454.146	476.829	316.441	348.286	439.955	317.304	73.1728	71.4124	35.3279	39.1812	79.7552	74.7076	393.318	334.458	451.64	391.715	523.277	257.931
OG0003799	Pame_03594.t1	Pful_15955.t1	Esin_00523-PA	Bger_00255.t1	1.03016	1.22341	0.247805	0	0.264871	0.293878	1.02154	0.951004	0	0.362427	0.400626	0.709983	19.7036	10.4342	4.45607	19.0397	12.1915	19.5977	14.8123	7.73811	13.1525	13.3033	14.7747	10.241
OG0003800	Pame_03595.t1	Pful_15959.t1	Esin_00521-PA	Bger_00256.t1	16.2673	10.6562	6.82745	11.8245	2.67665	7.13872	21.9786	10.8973	16.3626	17.2424	20.7314	25.1304	6.19405	1.16705	0.875061	4.48395	4.84318	4.72146	17.6321	39.8949	22.3627	46.6161	33.4845	16.0165
OG0003802	Pame_03099.t1	Pful_12584.t1	Esin_00838-PA	Bger_00260.t1	0.987924	2.40543	0.779614	1.25648	0.727218	1.54426	2.61374	6.7457	1.58246	1.30155	3.0906	2.41842	3.85425	0.930891	0.82199	2.1112	6.99153	4.56239	5.83612	2.6539	5.87463	4.01443	7.77365	2.85183
OG0003803	Pame_02942.t1	Pful_9898.t1	Esin_00313-PA	Bger_00261.t1	2.15281	3.10462	1.79926	2.52825	2.38676	2.38332	3.63794	3.83167	2.47252	2.78131	3.04337	2.24152	44.9332	30.474	13.0125	23.8913	32.6555	43.9849	0.542602	1.66197	1.19973	1.14797	1.63517	0.54342
OG0003804	Pame_03045.t1	Pful_9770.t1	Esin_00216-PA	Bger_00263.t1	1.58502	1.69118	1.20503	2.0295	0.85593	0.827421	0.058289	0.128296	0.131492	0.15177	0.221277	0.100459	15.1834	11.048	6.28214	6.8572	13.6717	17.4522	7.89803	5.58524	5.06919	6.53274	8.50867	5.42334
OG0003805	Pame_03631.t1	Pful_3983.t5	Esin_00087-PA	Bger_00266.t1	1.56251	1.51282	0.775917	1.40085	1.49806	1.67964	2.1727	3.91319	1.01791	1.98209	3.27678	1.51147	9.61232	8.74158	2.6513	8.2358	12.7045	17.6394	2.3402	3.05277	2.8455	1.69441	2.70463	0.521036
OG0003806	Pame_03588.t1	Pful_15948.t1	Esin_00006-PA	Bger_00270.t1	0	0.027391	0	0	0	0.050573	0.102989	0.343657	0.070582	0.018163	0.238606	0.036272	2.90572	2.92558	0.26816	2.65037	3.9671	3.78245	0.421125	4.89405	0.55163	1.23471	1.59695	0.284169
OG0003807	Pame_03032.t1	Pful_9783.t1	Esin_00005-PA	Bger_00271.t8	0.111804	0.102034	0.084658	0.201353	0.084365	0.12577	0.311493	0.34594	0.443941	0.388242	0.774905	0.159492	0.214775	0.109332	0.11801	0.141329	1.25053	0.464591	2.53903	3.87598	2.51247	3.63373	4.57089	1.06731
OG0003808	Pame_02981.t1	Pful_9854.t1	Esin_00418-PA	Bger_00281.t2	11.6677	13.7995	9.08418	11.469	10.1676	12.414	14.0719	15.1374	10.8603	22.2634	16.7874	12.6066	18.8016	14.3405	8.62029	12.2817	15.1705	15.8826	25.5281	14.9646	17.2872	21.4689	32.5123	14.5379
OG0003809	Pame_02980.t1	Pful_9855.t1	Esin_00420-PA	Bger_00282.t1	0.284628	0.430607	0.070692	0.05556	0.143362	0.16098	0.067623	0.296974	0.152113	0.11695	0.127865	0	3.13196	2.26579	1.29077	1.44887	3.20373	3.09671	2.91373	2.61355	2.88896	6.25179	5.61228	0.971418
OG0003810	Pame_02760.t1	Pful_935.t1	Esin_00096-PA	Bger_00285.t1	25.5855	32.0139	23.5263	31.2734	12.9123	25.1523	16.4064	12.4035	14.3487	18.3129	9.71142	12.0793	3.06641	1.95793	1.40706	3.46671	3.78311	9.5901	2.45054	1.29185	1.79513	2.32512	3.17286	1.22318
OG0003811	Pame_02759.t1	Pful_936.t1	Esin_00097-PA	Bger_00286.t1	4.77204	3.62681	4.3075	4.38982	2.83442	2.76049	0.567266	0.908569	0.322786	0.414927	0.847613	0.220593	12.5078	9.28746	4.79202	7.31335	10.4266	17.0605	15.7424	13.4944	11.7107	12.037	16.6604	12.6487
OG0003812	Pame_02953.t1	Pful_9887.t1	Esin_00099-PA	Bger_00289.t2	1.37802	2.14197	1.09394	1.16406	1.09438	1.09812	0.842147	0.553419	0.639002	0.711906	0.868983	0.545912	4.55426	4.6856	2.40312	3.05824	3.5245	3.31069	5.583	4.83006	5.70332	5.50328	8.60163	2.62945
OG0003815	Pame_03217.t1	Pful_18879.t1	Esin_00571-PA	Bger_00300.t2	5.27218	7.92455	5.23695	7.10748	7.99921	4.56716	5.14096	6.90916	4.98915	5.68184	8.55421	5.20688	11.5738	11.5034	5.94198	8.71827	7.51029	11.2244	9.76408	6.36739	6.51755	8.24982	10.9211	5.6922
OG0003816	Pame_03694.t1	Pful_4011.t1	Esin_00581-PA	Bger_00305.t1	2.23004	3.5763	1.90837	3.5315	3.08821	1.56385	0.789816	1.89606	0.668235	1.59184	1.27609	0.447392	2.78947	1.95344	1.51786	1.72116	2.9258	2.48649	4.8071	7.1099	6.57456	7.41282	9.25734	2.81836
OG0003817	Pame_02733.t2	Pful_957.t2	Esin_00837-PA	Bger_00308.t1	0.34858	0.362561	0.249304	0.118062	0.451167	0.561706	9.77168	7.01553	6.91517	8.49522	4.51304	8.38634	2.97969	0.94031	0.496791	1.9281	5.00712	4.56517	1.27282	1.62076	1.92467	3.19776	2.69104	0.999018
OG0003818	Pame_03634.t1	Pful_3987.t1	Esin_00229-PA	Bger_00312.t1	0.746505	0.835537	0.592473	0.632704	0.487082	0.27208	0.02744	0	0.015708	0.060671	0.10629	0.036385	0.55719	0.484789	0.57155	0.397809	0.77325	0.50979	5.78941	4.16723	3.8113	4.55189	8.49859	2.68012
OG0003819	Pame_03511.t1	Pful_15970.t1	Esin_00585-PA	Bger_00313.t1	5.28646	2.79933	4.17794	2.91496	6.61214	3.31745	2.15419	2.77353	2.48974	2.09032	2.99939	3.37786	3.77126	3.13359	1.26438	6.61405	5.4928	3.4029	9.83797	11.2537	12.0013	15.3263	7.43446	10.9655
OG0003820	Pame_03700.t1	Pful_4020.t1	Esin_00796-PA	Bger_00324.t1	9.95163	8.81695	7.28328	6.99162	6.93245	5.61857	11.3251	16.7541	16.156	11.8039	12.0803	10.8899	18.2979	18.7486	9.64083	14.5306	15.3346	19.1189	7.49233	5.6758	7.22043	8.41691	10.2608	5.51792
OG0003821	Pame_02958.t3	Pful_9871.t5	Esin_00853-PA	Bger_00326.t1	19.6395	20.6979	13.7103	18.9934	17.1384	11.6051	17.2103	14.0878	11.0535	17.211	18.0387	13.2604	1.04558	1.3187	0.633606	0.836405	1.06001	1.06138	25.8315	15.1194	20.1565	20.4449	29.8108	15.7709
OG0003822	Pame_02957.t1	Pful_9870.t1	Esin_00587-PA	Bger_00329.t1	40.0746	42.6726	36.5651	40.241	39.3979	24.9237	40.6655	34.1599	25.7094	33.1874	28.7402	34.2702	12.2108	17.8954	7.96427	9.36533	13.4406	14.582	10.7814	6.69972	8.89163	8.84744	13.5877	7.008
OG0003823	Pame_03510.t1	Pful_15972.t1	Esin_00584-PA	Bger_00330.t2	5.52459	6.49064	7.96229	4.93067	6.0786	7.26708	9.33078	10.9799	9.22227	7.26824	17.2989	6.61203	44.6413	33.6435	16.4179	27.6767	50.1025	47.6442	26.1592	21.8781	23.7011	27.659	31.164	22.0027
OG0003825	Pame_02737.t1	Pful_961.t2	Esin_00140-PA	Bger_00333.t1	0.658475	0.658357	0.479312	0.748145	0.458523	0.568978	2.16827	2.58904	1.31959	1.63662	1.77491	1.66576	4.29795	3.74247	2.17339	2.43916	4.62439	5.06936	5.77252	5.47295	8.20452	8.25305	9.66208	5.89467
OG0003826	Pame_03547.t1	Pful_15980.t1	Esin_00484-PA	Bger_00335.t1	3.29088	4.48379	3.27573	4.8684	2.3291	3.25794	10.3661	9.26441	9.23659	11.0859	7.40253	9.53219	7.7189	4.4496	3.37212	6.69541	6.299	10.2524	7.52341	4.63235	5.61161	5.84277	8.20907	4.436
OG0003828	Pame_03698.t1	Pful_4016.t2	Esin_00849-PA	Bger_00339.t1	0.803879	0.556466	0.333247	0.867728	0.753461	0.636323	1.06873	1.24862	0.608819	0.93941	1.16344	0.936913	0.404965	0.430816	0.184583	0.200696	0.484333	0.470831	1.87394	1.80827	1.96398	3.03295	3.25793	1.17201
OG0003829	Pame_03572.t1	Pful_15287.t2	Esin_00275-PA	Bger_00356.t1	1.10562	1.10665	0.397399	0.945839	1.60664	0.994865	4.8453	3.14415	2.21671	2.89017	4.67014	1.77058	1.52514	1.15328	0.286155	1.24816	0.935578	1.63377	5.92208	2.64933	3.63536	3.17791	4.38775	2.85533
OG0003830	Pame_03462.t1	Pful_19797.t1	Esin_00810-PA	Bger_00358.t4	12.426	10.783	11.511	10.1425	9.889	9.83878	14.5854	16.1515	10.1967	12.502	13.0839	9.82597	7.11999	4.51726	3.40739	3.82019	7.591	5.86484	4.96548	4.0915	3.76468	4.48968	6.5423	3.72409
