protein	KO	pathway
OG0003845	K05636	ko05200
OG0003845	K05636	ko05222
OG0003847	K02166	ko04310
OG0003849	K04438	ko04010
OG0003849	K04438	ko04012
OG0003849	K04438	ko04015
OG0003849	K04438	ko04062
OG0003849	K04438	ko04148
OG0003849	K04438	ko04510
OG0003849	K04438	ko04666
OG0003849	K04438	ko04722
OG0003849	K04438	ko04810
OG0003849	K04438	ko04910
OG0003849	K04438	ko04935
OG0003849	K04438	ko05100
OG0003849	K04438	ko05131
OG0003849	K04438	ko05135
OG0003849	K04438	ko05163
OG0003849	K04438	ko05170
OG0003849	K04438	ko05200
OG0003849	K04438	ko05206
OG0003849	K04438	ko05211
OG0003849	K04438	ko05220
OG0003850	K00036	ko00030
OG0003850	K00036	ko00480
OG0003850	K00036	ko01100
OG0003850	K00036	ko01110
OG0003850	K00036	ko01120
OG0003850	K00036	ko01200
OG0003850	K00036	ko05230
OG0003850	K00036	ko05415
OG0003857	K12389	ko04142
OG0003860	K18461	ko04144
OG0003860	K18461	ko04212
OG0003861	K12666	ko00510
OG0003861	K12666	ko00513
OG0003861	K12666	ko01100
OG0003861	K12666	ko04141
OG0003865	K00252	ko00071
OG0003865	K00252	ko00310
OG0003865	K00252	ko00362
OG0003865	K00252	ko00380
OG0003865	K00252	ko01100
OG0003865	K00252	ko01110
OG0003865	K00252	ko01120
OG0003867	K00181	ko04310
OG0003876	K04630	ko04015
OG0003876	K04630	ko04022
OG0003876	K04630	ko04024
OG0003876	K04630	ko04062
OG0003876	K04630	ko04071
OG0003876	K04630	ko04081
OG0003876	K04630	ko04113
OG0003876	K04630	ko04261
OG0003876	K04630	ko04360
OG0003876	K04630	ko04371
OG0003876	K04630	ko04540
OG0003876	K04630	ko04611
OG0003876	K04630	ko04670
OG0003876	K04630	ko04713
OG0003876	K04630	ko04723
OG0003876	K04630	ko04724
OG0003876	K04630	ko04725
OG0003876	K04630	ko04726
OG0003876	K04630	ko04727
OG0003876	K04630	ko04728
OG0003876	K04630	ko04730
OG0003876	K04630	ko04914
OG0003876	K04630	ko04915
OG0003876	K04630	ko04916
OG0003876	K04630	ko04921
OG0003876	K04630	ko04923
OG0003876	K04630	ko04924
OG0003876	K04630	ko04926
OG0003876	K04630	ko04928
OG0003876	K04630	ko04934
OG0003876	K04630	ko04935
OG0003876	K04630	ko04971
OG0003876	K04630	ko05012
OG0003876	K04630	ko05030
OG0003876	K04630	ko05032
OG0003876	K04630	ko05034
OG0003876	K04630	ko05133
OG0003876	K04630	ko05142
OG0003876	K04630	ko05145
OG0003876	K04630	ko05163
OG0003876	K04630	ko05170
OG0003876	K04630	ko05200
OG0003876	K04630	ko05207
OG0003876	K04534	ko04015
OG0003876	K04534	ko04081
OG0003876	K04534	ko04361
OG0003876	K04534	ko04713
OG0003876	K04534	ko04723
OG0003876	K04534	ko04724
OG0003876	K04534	ko04725
OG0003876	K04534	ko04726
OG0003876	K04534	ko04727
OG0003876	K04534	ko04728
OG0003876	K04534	ko04730
OG0003876	K04534	ko04915
OG0003876	K04534	ko04916
OG0003876	K04534	ko04921
OG0003876	K04534	ko04926
OG0003876	K04534	ko05032
OG0003876	K04534	ko05034
OG0003876	K04534	ko05142
OG0003876	K04534	ko05145
OG0003876	K04534	ko05163
OG0003876	K04534	ko05170
OG0003878	K01816	ko00630
OG0003878	K01816	ko01100
OG0003881	K14327	ko03013
OG0003881	K14327	ko03015
OG0003881	K10572	ko00562
OG0003881	K10572	ko01100
OG0003881	K10572	ko04070
OG0003882	K07198	ko04068
OG0003882	K07198	ko04140
OG0003882	K07198	ko04150
OG0003882	K07198	ko04151
OG0003882	K07198	ko04152
OG0003882	K07198	ko04211
OG0003882	K07198	ko04213
OG0003882	K07198	ko04361
OG0003882	K07198	ko04371
OG0003882	K07198	ko04530
OG0003882	K07198	ko04710
OG0003882	K07198	ko04714
OG0003882	K07198	ko04910
OG0003882	K07198	ko04920
OG0003882	K07198	ko04921
OG0003882	K07198	ko04922
OG0003882	K07198	ko04931
OG0003882	K07198	ko04932
OG0003882	K07198	ko04936
OG0003882	K07198	ko05410
OG0003882	K07198	ko05418
OG0003883	K18466	ko04144
OG0003888	K17923	ko05132
OG0003889	K04892	ko04726
OG0003890	K20405	ko04150
OG0003891	K01137	ko00531
OG0003891	K01137	ko01100
OG0003891	K01137	ko04142
OG0003893	K03037	ko03050
OG0003893	K03037	ko05010
OG0003893	K03037	ko05012
OG0003893	K03037	ko05014
OG0003893	K03037	ko05016
OG0003893	K03037	ko05017
OG0003893	K03037	ko05020
OG0003893	K03037	ko05022
OG0003893	K03037	ko05169
OG0003896	K01017	ko00532
OG0003898	K09525	ko04141
OG0003899	K00471	ko00310
OG0003899	K00471	ko01100
OG0003900	K10848	ko03420
OG0003900	K10848	ko03460
OG0003902	K12481	ko04144
OG0003906	K04851	ko04010
OG0003906	K04851	ko04020
OG0003906	K04851	ko04022
OG0003906	K04851	ko04024
OG0003906	K04851	ko04218
OG0003906	K04851	ko04260
OG0003906	K04851	ko04261
OG0003906	K04851	ko04270
OG0003906	K04851	ko04361
OG0003906	K04851	ko04530
OG0003906	K04851	ko04713
OG0003906	K04851	ko04723
OG0003906	K04851	ko04724
OG0003906	K04851	ko04725
OG0003906	K04851	ko04726
OG0003906	K04851	ko04727
OG0003906	K04851	ko04728
OG0003906	K04851	ko04911
OG0003906	K04851	ko04912
OG0003906	K04851	ko04921
OG0003906	K04851	ko04924
OG0003906	K04851	ko04925
OG0003906	K04851	ko04927
OG0003906	K04851	ko04929
OG0003906	K04851	ko04930
OG0003906	K04851	ko04934
OG0003906	K04851	ko04935
OG0003906	K04851	ko04973
OG0003906	K04851	ko05010
OG0003906	K04851	ko05020
OG0003906	K04851	ko05022
OG0003906	K04851	ko05031
OG0003906	K04851	ko05207
OG0003906	K04851	ko05410
OG0003906	K04851	ko05412
OG0003906	K04851	ko05414
OG0003912	K00488	ko00120
OG0003912	K00488	ko01100
OG0003912	K00488	ko03320
OG0003912	K00488	ko04979
OG0003916	K06685	ko04111
OG0003916	K06685	ko04390
OG0003916	K06685	ko04391
OG0003916	K06685	ko04392
OG0003917	K13963	ko05146
OG0003918	K09699	ko00280
OG0003918	K09699	ko00640
OG0003918	K09699	ko00785
OG0003918	K09699	ko01100
OG0003918	K09699	ko01110
OG0003918	K09699	ko01210
OG0003919	K08764	ko00120
OG0003919	K08764	ko01040
OG0003919	K08764	ko01100
OG0003919	K08764	ko01212
OG0003919	K08764	ko03320
OG0003919	K08764	ko04146
OG0003920	K16536	ko04814
OG0003928	K16344	ko04150
OG0003939	K00289	ko00670
OG0003939	K00289	ko01100
OG0003942	K01768	ko00230
OG0003942	K01768	ko01100
OG0003942	K01768	ko02025
OG0003942	K01768	ko04113
OG0003942	K01768	ko04213
OG0003948	K18086	ko00562
OG0003948	K18086	ko01100
OG0003948	K18086	ko04070
OG0003948	K18086	ko04140
OG0003949	K09455	ko04137
OG0003949	K09455	ko04380
OG0003949	K09455	ko04916
OG0003949	K09455	ko05200
OG0003949	K09455	ko05202
OG0003949	K09455	ko05218
OG0003950	K05675	ko02010
OG0003950	K05675	ko04146
OG0003952	K12495	ko04144
OG0003956	K00720	ko00600
OG0003956	K00720	ko01100
OG0003957	K13358	ko04960
OG0003960	K19599	ko04630
OG0003961	K01251	ko00270
OG0003961	K01251	ko00670
OG0003961	K01251	ko01100
OG0003962	K00944	ko00230
OG0003962	K00944	ko01110
OG0003962	K00944	ko01232
OG0003962	K00944	ko01240
OG0003962	K00939	ko00230
OG0003962	K00939	ko00730
OG0003962	K00939	ko01100
OG0003962	K00939	ko01110
OG0003962	K00939	ko01232
OG0003962	K00939	ko01240
OG0003963	K12396	ko04142
OG0003964	K03259	ko01521
OG0003964	K03259	ko04066
OG0003964	K03259	ko04150
OG0003964	K03259	ko04151
OG0003964	K03259	ko04211
OG0003964	K03259	ko04910
OG0003965	K07297	ko04081
OG0003965	K07297	ko04152
OG0003965	K07297	ko04211
OG0003965	K07297	ko04920
OG0003965	K07297	ko04932
OG0003965	K07297	ko04936
OG0003966	K09828	ko00100
OG0003966	K09828	ko01100
OG0003966	K09828	ko01110
OG0003969	K14462	ko04975
OG0003969	K14462	ko04977
OG0003969	K14462	ko04979
OG0003969	K14462	ko05417
OG0003972	K03662	ko00190
OG0003972	K03662	ko01100
OG0003972	K03662	ko04142
OG0003972	K03662	ko04145
OG0003972	K03662	ko05110
OG0003972	K03662	ko05120
OG0003972	K03662	ko05152
OG0003972	K03662	ko05161
OG0003972	K03662	ko05165
OG0003972	K03662	ko05323
OG0003973	K04608	ko04072
OG0003973	K04608	ko04080
OG0003973	K04608	ko04724
OG0003980	K00488	ko00120
OG0003980	K00488	ko01100
OG0003980	K00488	ko03320
OG0003980	K00488	ko04979
OG0003983	K15309	ko05166
OG0003985	K07369	ko04064
OG0003985	K07369	ko04625
OG0003985	K07369	ko04660
OG0003985	K07369	ko04662
OG0003985	K07369	ko05131
OG0003985	K07369	ko05152
OG0003987	K18437	ko00230
OG0003987	K18437	ko01100
OG0003987	K18437	ko04927
OG0003987	K18437	ko04934
OG0003987	K18437	ko05032
OG0003988	K23972	ko04668
OG0003991	K04919	ko04925
OG0003992	K14462	ko04975
OG0003992	K14462	ko04977
OG0003992	K14462	ko04979
OG0003992	K14462	ko05417
OG0003998	K09414	ko04212
OG0003998	K09414	ko05134
OG0004002	K01800	ko00350
OG0004002	K01800	ko00643
OG0004002	K01800	ko01100
OG0004002	K01800	ko01120
OG0004002	K00799	ko00480
OG0004002	K00799	ko00980
OG0004002	K00799	ko00982
OG0004002	K00799	ko00983
OG0004002	K00799	ko01100
OG0004002	K00799	ko01524
OG0004002	K00799	ko04212
OG0004002	K00799	ko05200
OG0004002	K00799	ko05204
OG0004002	K00799	ko05207
OG0004002	K00799	ko05208
OG0004002	K00799	ko05225
OG0004002	K00799	ko05418
OG0004006	K01934	ko00670
OG0004006	K01934	ko01100
OG0004006	K01934	ko04981
OG0004008	K01868	ko00970
OG0004009	K12600	ko03018
OG0004011	K02207	ko04120
OG0004013	K01639	ko00541
OG0004013	K01639	ko01100
OG0004023	K12590	ko03018
OG0004024	K08424	ko04024
OG0004024	K08424	ko04911
OG0004025	K19946	ko04137
OG0004025	K19946	ko04140
OG0004025	K19946	ko05014
OG0004025	K19946	ko05022
OG0004027	K13511	ko00564
OG0004029	K15365	ko03460
OG0004032	K10144	ko04115
OG0004032	K10144	ko04120
OG0004032	K10144	ko05162
OG0004035	K14000	ko04141
OG0004036	K02975	ko03010
OG0004036	K02975	ko05171
OG0004038	K02920	ko03010
OG0004038	K02920	ko05171
OG0004040	K12479	ko04138
OG0004040	K12479	ko04144
OG0004041	K17776	ko04137
OG0004042	K00510	ko00860
OG0004042	K00510	ko01100
OG0004042	K00510	ko01110
OG0004042	K00510	ko04066
OG0004042	K00510	ko04216
OG0004042	K00510	ko04978
OG0004042	K00510	ko05200
OG0004042	K00510	ko05206
OG0004042	K00510	ko05208
OG0004042	K00510	ko05225
OG0004042	K00510	ko05418
OG0004046	K10135	ko04115
OG0004049	K20352	ko05130
OG0004051	K08744	ko00564
OG0004051	K08744	ko01100
OG0004052	K18159	ko04714
OG0004053	K12185	ko04144
OG0004055	K01939	ko00230
OG0004055	K01939	ko00250
OG0004055	K01939	ko01100
OG0004055	K01939	ko01232
OG0004055	K01939	ko01240
OG0004056	K04453	ko03083
OG0004056	K04453	ko04010
OG0004056	K04453	ko05200
OG0004056	K04453	ko05202
OG0004056	K04453	ko05222
OG0004058	K07151	ko00510
OG0004058	K07151	ko00513
OG0004058	K07151	ko01100
OG0004058	K07151	ko04141
OG0004062	K06928	ko00230
OG0004062	K06928	ko00730
OG0004062	K06928	ko01100
OG0004062	K06928	ko01110
OG0004062	K06928	ko01232
OG0004063	K04460	ko04010
OG0004064	K10886	ko03450
OG0004065	K09031	ko04013
OG0004065	K09031	ko04214
OG0004065	K09031	ko04361
OG0004065	K09031	ko04624
OG0004068	K10610	ko03420
OG0004068	K10610	ko04120
OG0004068	K10610	ko05161
OG0004068	K10610	ko05170
OG0004068	K10610	ko05203
OG0004069	K00621	ko00520
OG0004069	K00621	ko01100
OG0004069	K00621	ko01250
OG0004070	K01082	ko00920
OG0004070	K01082	ko01100
OG0004070	K01082	ko01120
OG0004072	K06699	ko03050
OG0004074	K06095	ko04391
OG0004074	K06095	ko04530
OG0004077	K12475	ko04144
OG0004078	K07508	ko00062
OG0004078	K07508	ko00071
OG0004078	K07508	ko00280
OG0004078	K07508	ko01100
OG0004078	K07508	ko01110
OG0004078	K07508	ko01212
OG0004086	K03938	ko00190
OG0004086	K03938	ko01100
OG0004086	K03938	ko04714
OG0004086	K03938	ko04723
OG0004086	K03938	ko04932
OG0004086	K03938	ko05010
OG0004086	K03938	ko05012
OG0004086	K03938	ko05014
OG0004086	K03938	ko05016
OG0004086	K03938	ko05020
OG0004086	K03938	ko05022
OG0004086	K03938	ko05208
OG0004086	K03938	ko05415
OG0004087	K19383	ko04350
OG0004090	K14403	ko03015
OG0004093	K14299	ko03013
OG0004093	K14299	ko04150
OG0004093	K14299	ko05014
OG0004096	K06483	ko04151
OG0004096	K06483	ko04510
OG0004096	K06483	ko04512
OG0004096	K06483	ko04514
OG0004096	K06483	ko04640
OG0004096	K06483	ko04670
OG0004096	K06483	ko04672
OG0004096	K06483	ko04810
OG0004096	K06483	ko04820
OG0004096	K06483	ko05135
OG0004096	K06483	ko05140
OG0004096	K06483	ko05165
OG0004096	K06483	ko05410
OG0004096	K06483	ko05412
OG0004096	K06483	ko05414
OG0004100	K13114	ko03013
OG0004100	K13114	ko03015
OG0004101	K12362	ko04010
OG0004101	K12362	ko04014
OG0004101	K12362	ko04015
OG0004101	K12362	ko04662
OG0004101	K12362	ko05200
OG0004102	K03027	ko03020
OG0004102	K03027	ko04623
OG0004103	K11827	ko04144
OG0004103	K11827	ko04721
OG0004103	K11827	ko04961
OG0004103	K11827	ko05016
OG0004105	K00019	ko00650
OG0004105	K00019	ko01100
OG0004107	K14006	ko04141
OG0004109	K11584	ko03015
OG0004109	K11584	ko04071
OG0004109	K11584	ko04110
OG0004109	K11584	ko04113
OG0004109	K11584	ko04114
OG0004109	K11584	ko04151
OG0004109	K11584	ko04152
OG0004109	K11584	ko04261
OG0004109	K11584	ko04660
OG0004109	K11584	ko04728
OG0004109	K11584	ko05165
OG0004110	K16686	ko04214
OG0004110	K16686	ko04390
OG0004110	K16686	ko04391
OG0004110	K16686	ko04392
OG0004113	K11660	ko03082
OG0004114	K06064	ko04330
OG0004115	K13025	ko03013
OG0004115	K13025	ko03015
OG0004115	K13025	ko03040
OG0004116	K12829	ko03040
OG0004120	K00939	ko00230
OG0004120	K00939	ko00730
OG0004120	K00939	ko01100
OG0004120	K00939	ko01110
OG0004120	K00939	ko01232
OG0004120	K00939	ko01240
OG0004125	K02988	ko03010
OG0004126	K12619	ko03008
OG0004126	K12619	ko03018
OG0004127	K00962	ko03018
OG0004130	K06847	ko04350
OG0004131	K05607	ko00280
OG0004131	K05607	ko01100
OG0004132	K09404	ko03083
OG0004133	K17908	ko04136
OG0004133	K17908	ko04138
OG0004133	K17908	ko04140
OG0004133	K17908	ko05010
OG0004133	K17908	ko05014
OG0004133	K17908	ko05016
OG0004133	K17908	ko05017
OG0004133	K17908	ko05022
OG0004133	K17908	ko05131
OG0004135	K14015	ko04141
OG0004137	K01904	ko00130
OG0004137	K01904	ko00940
OG0004137	K01904	ko01100
OG0004137	K01904	ko01110
OG0004142	K02948	ko03010
OG0004144	K15010	ko04068
OG0004144	K15010	ko04724
OG0004152	K22470	ko00920
OG0004152	K22470	ko01100
OG0004152	K22470	ko01120
OG0004152	K17218	ko00920
OG0004152	K17218	ko01120
OG0004154	K00911	ko00562
OG0004154	K00911	ko01100
OG0004154	K00911	ko04020
OG0004154	K00911	ko04070
OG0004155	K22499	ko04934
OG0004159	K04648	ko04814
OG0004159	K04648	ko04962
OG0004159	K04648	ko05014
OG0004159	K04648	ko05016
OG0004159	K04648	ko05022
OG0004159	K04648	ko05132
OG0004160	K14564	ko03008
OG0004160	K14564	ko05017
OG0004163	K13752	ko04740
OG0004166	K00884	ko00520
OG0004166	K00884	ko01100
OG0004166	K00884	ko01250
OG0004170	K15008	ko04724
OG0004171	K04500	ko04110
OG0004171	K04500	ko04144
OG0004171	K04500	ko04218
OG0004171	K04500	ko04350
OG0004171	K04500	ko04371
OG0004171	K04500	ko04390
OG0004171	K04500	ko04550
OG0004171	K04500	ko04659
OG0004171	K04500	ko04926
OG0004171	K04500	ko04933
OG0004171	K04500	ko05142
OG0004171	K04500	ko05166
OG0004171	K04500	ko05200
OG0004171	K04500	ko05205
OG0004171	K04500	ko05210
OG0004171	K04500	ko05212
OG0004171	K04500	ko05225
OG0004171	K04500	ko05226
OG0004171	K04500	ko05321
OG0004171	K04500	ko05415
OG0004174	K01520	ko00240
OG0004174	K01520	ko00983
OG0004174	K01520	ko01100
OG0004174	K01520	ko01232
OG0004175	K01283	ko04614
OG0004175	K01283	ko04924
OG0004175	K01283	ko05142
OG0004175	K01283	ko05171
OG0004175	K01283	ko05410
OG0004175	K01283	ko05415
OG0004179	K20773	ko03440
OG0004185	K11322	ko03082
OG0004186	K12972	ko00260
OG0004186	K12972	ko00620
OG0004186	K12972	ko00630
OG0004186	K12972	ko01100
OG0004186	K12972	ko01110
OG0004186	K12972	ko01120
OG0004192	K04482	ko03440
OG0004192	K04482	ko03460
OG0004192	K04482	ko05200
OG0004192	K04482	ko05212
OG0004193	K27819	ko04724
OG0004193	K01097	ko00541
OG0004193	K01097	ko01100
OG0004193	K01097	ko01250
OG0004199	K06688	ko04120
OG0004200	K05310	ko00563
OG0004200	K05310	ko01100
OG0004204	K18468	ko04144
OG0004207	K10053	ko05200
OG0004207	K10053	ko05202
OG0004207	K10053	ko05221
OG0004210	K01885	ko00860
OG0004210	K01885	ko00970
OG0004210	K01885	ko01100
OG0004210	K01885	ko01110
OG0004210	K01885	ko01120
OG0004210	K01885	ko01240
OG0004212	K06620	ko01522
OG0004212	K06620	ko04110
OG0004212	K06620	ko04218
OG0004212	K06620	ko04934
OG0004212	K06620	ko05160
OG0004212	K06620	ko05161
OG0004212	K06620	ko05163
OG0004212	K06620	ko05166
OG0004212	K06620	ko05167
OG0004212	K06620	ko05169
OG0004212	K06620	ko05200
OG0004212	K06620	ko05206
OG0004212	K06620	ko05212
OG0004212	K06620	ko05214
OG0004212	K06620	ko05215
OG0004212	K06620	ko05218
OG0004212	K06620	ko05219
OG0004212	K06620	ko05220
OG0004212	K06620	ko05222
OG0004212	K06620	ko05223
OG0004212	K06620	ko05224
OG0004212	K06620	ko05225
OG0004212	K06620	ko05226
OG0004213	K17943	ko05017
OG0004214	K17943	ko05017
OG0004215	K14405	ko03015
OG0004216	K02995	ko03010
OG0004216	K02995	ko05171
OG0004217	K02941	ko03010
OG0004217	K02941	ko05171
OG0004218	K11204	ko00270
OG0004218	K11204	ko00480
OG0004218	K11204	ko01100
OG0004218	K11204	ko01240
OG0004218	K11204	ko04212
OG0004218	K11204	ko04216
OG0004219	K13348	ko04146
OG0004220	K14169	ko04122
OG0004221	K11723	ko03082
OG0004221	K11723	ko05225
OG0004223	K00772	ko00270
OG0004223	K00772	ko01100
OG0004224	K00572	ko04150
OG0004224	K00572	ko04310
OG0004224	K00572	ko04390
OG0004224	K00572	ko04550
OG0004224	K00572	ko04916
OG0004224	K00572	ko04934
OG0004224	K00572	ko05010
OG0004224	K00572	ko05022
OG0004224	K00572	ko05165
OG0004224	K00572	ko05200
OG0004224	K00572	ko05205
OG0004224	K00572	ko05217
OG0004224	K00572	ko05224
OG0004224	K00572	ko05225
OG0004224	K00572	ko05226
OG0004225	K19323	ko05017
OG0004226	K02729	ko03050
OG0004226	K02729	ko05010
OG0004226	K02729	ko05012
OG0004226	K02729	ko05014
OG0004226	K02729	ko05016
OG0004226	K02729	ko05017
OG0004226	K02729	ko05020
OG0004226	K02729	ko05022
OG0004228	K01712	ko00340
OG0004228	K01712	ko01100
OG0004229	K06265	ko03268
OG0004229	K06265	ko03273
OG0004229	K06265	ko04512
OG0004229	K06265	ko04820
OG0004229	K06265	ko05410
