gene	KO
Pame_00484.t1	K05731
Pame_00485.t2	K12174
Pame_00486.t1	K07252
Pame_00487.t1	K02155
Pame_00488.t1	K02155
Pame_00489.t1	K01312
Pame_00490.t1	K01312
Pame_00491.t1	K18646
Pame_00495.t1	K01052
Pame_00496.t1	K01052
Pame_00497.t1	K01052
Pame_00499.t1	K15208
Pame_00500.t1	K03440
Pame_00501.t1	K03440
Pame_00503.t1	K12385
Pame_00504.t1	K01324
Pame_00505.t1	K01312
Pame_00506.t1	K01312
Pame_00507.t1	K01312
Pame_00508.t1	K01312
Pame_00513.t1	K13886
Pame_00514.t1	K13887
Pame_00516.t1	K27397
Pame_00517.t1	K00006
Pame_00518.t1	K07930
Pame_00518.t1	K16547
Pame_00524.t1	K17256
Pame_00531.t1	K07763
Pame_00533.t1	K23205
Pame_00535.t1	K07763
Pame_00537.t1	K20399
Pame_00538.t1	K01968
Pame_00539.t1	K11718
Pame_00540.t1	K11718
Pame_00541.t2	K11718
Pame_00542.t1	K21138
Pame_00543.t1	K05673
Pame_00544.t2	K05673
Pame_00545.t1	K01384
Pame_00546.t1	K01384
Pame_00547.t1	K22647
Pame_00550.t1	K10744
Pame_00552.t1	K19801
Pame_00553.t1	K14808
Pame_00554.t1	K20310
Pame_00556.t1	K23858
Pame_00557.t1	K19770
Pame_00558.t1	K00787
Pame_00559.t1	K00787
Pame_00560.t1	K03940
Pame_00560.t1	K00331
Pame_00561.t3	K03940
Pame_00562.t1	K14306
Pame_00563.t1	K05313
Pame_00565.t1	K08865
Pame_00566.t1	K01841
Pame_00568.t1	K01077
Pame_00569.t1	K04225
Pame_00570.t1	K04225
Pame_00574.t1	K04225
Pame_00576.t1	K09228
Pame_00580.t2	K27896
Pame_00581.t1	K06813
Pame_00585.t1	K06287
Pame_00587.t1	K08578
Pame_00588.t1	K01367
Pame_00589.t2	K01367
Pame_00591.t1	K04703
Pame_00592.t3	K24496
Pame_00599.t2	K05119
Pame_00600.t1	K08585
Pame_00603.t1	K01367
Pame_00604.t1	K21988
Pame_00605.t1	K10745
Pame_00608.t1	K14305
Pame_00609.t1	K05027
Pame_00610.t1	K00507
Pame_00612.t1	K00507
Pame_00613.t1	K00714
Pame_00614.t1	K00714
Pame_00615.t1	K11141
Pame_00615.t1	K11140
Pame_00616.t1	K08515
Pame_00617.t1	K05052
Pame_00618.t1	K05052
Pame_00623.t1	K05052
Pame_00624.t1	K05052
Pame_00625.t1	K05052
Pame_00629.t1	K12349
Pame_00631.t1	K00472
Pame_00633.t1	K00472
Pame_00634.t1	K17604
Pame_00635.t1	K00472
Pame_00636.t1	K09532
Pame_00637.t1	K12230
Pame_00639.t1	K12230
Pame_00640.t1	K20276
Pame_00641.t1	K01062
Pame_00642.t1	K23297
Pame_00643.t1	K23205
Pame_00646.t1	K24637
Pame_00647.t1	K14945
Pame_00648.t1	K09381
Pame_00650.t1	K09381
Pame_00652.t2	K08031
Pame_00654.t1	K08145
Pame_00656.t1	K09087
Pame_00657.t1	K09090
Pame_00660.t1	K09090
Pame_00661.t1	K17572
Pame_00662.t1	K17572
Pame_00663.t1	K17572
Pame_00666.t1	K09279
Pame_00667.t1	K09279
Pame_00670.t1	K24810
Pame_00671.t1	K24634
Pame_00674.t3	K19914
Pame_00683.t1	K01047
Pame_00684.t2	K16533
Pame_00688.t1	K00515
Pame_00693.t1	K11310
Pame_00694.t1	K17257
Pame_00695.t1	K03676
Pame_00696.t1	K14463
Pame_00697.t1	K06059
Pame_00698.t1	K24404
Pame_00699.t1	K02144
Pame_00700.t1	K12811
Pame_00701.t1	K12811
Pame_00702.t1	K28049
Pame_00704.t1	K02868
Pame_00705.t1	K19754
Pame_00717.t2	K19511
Pame_00718.t1	K19511
Pame_00719.t1	K18667
Pame_00722.t1	K13403
Pame_00722.t1	K01491
Pame_00724.t1	K20179
Pame_00728.t1	K09228
Pame_00729.t2	K20298
Pame_00730.t1	K20298
Pame_00731.t1	K23408
Pame_00732.t1	K25389
Pame_00733.t1	K04564
Pame_00735.t6	K10392
Pame_00742.t1	K24038
Pame_00743.t1	K08585
Pame_00744.t1	K18808
Pame_00749.t4	K14005
Pame_00750.t1	K12076
Pame_00751.t2	K12076
Pame_00752.t1	K12076
Pame_00753.t1	K12076
Pame_00754.t1	K18533
Pame_00758.t1	K18157
Pame_00759.t1	K24611
Pame_00760.t1	K05769
Pame_00763.t1	K05769
Pame_00765.t1	K08545
Pame_00771.t1	K12301
Pame_00772.t1	K12301
Pame_00773.t1	K12301
Pame_00774.t1	K12301
Pame_00775.t1	K12301
Pame_00776.t1	K12301
Pame_00777.t1	K12301
Pame_00778.t1	K17577
Pame_00779.t3	K08824
Pame_00780.t2	K18443
Pame_00781.t1	K12301
Pame_00784.t1	K12301
Pame_00785.t1	K17461
Pame_00787.t1	K14440
Pame_00788.t1	K19914
Pame_00789.t1	K13187
Pame_00790.t1	K04675
Pame_00791.t1	K02915
Pame_00792.t1	K08493
Pame_00793.t1	K01897
Pame_00794.t1	K05503
Pame_00795.t1	K18668
Pame_00796.t1	K23209
Pame_00797.t1	K23209
Pame_00799.t1	K19176
Pame_00800.t1	K19176
Pame_00801.t1	K14567
Pame_00802.t1	K01611
Pame_00803.t2	K22824
Pame_00804.t1	K22385
Pame_00806.t1	K11830
Pame_00812.t1	K09427
Pame_00814.t1	K11657
Pame_00823.t1	K08193
Pame_00824.t1	K09228
Pame_00825.t1	K12816
Pame_00826.t1	K23440
Pame_00828.t2	K16669
Pame_00832.t1	K26546
Pame_00833.t1	K00799
Pame_00834.t1	K02685
Pame_00835.t1	K02956
Pame_00836.t1	K11981
Pame_00838.t1	K01620
Pame_00839.t1	K10719
Pame_00841.t1	K04946
Pame_00842.t1	K04946
Pame_00843.t1	K04946
Pame_00844.t2	K04946
Pame_00845.t1	K24835
Pame_00847.t1	K24465
Pame_00848.t1	K22919
Pame_00850.t1	K04360
Pame_00851.t1	K04360
Pame_00852.t1	K27905
Pame_00853.t1	K09527
Pame_00863.t1	K04168
Pame_00866.t1	K23222
Pame_00867.t1	K13023
Pame_00868.t1	K04225
Pame_00873.t1	K07521
Pame_00874.t1	K07521
Pame_00875.t1	K07521
Pame_00930.t1	K09427
Pame_00944.t1	K13800
Pame_00945.t1	K23195
Pame_00947.t1	K08491
Pame_00948.t1	K01895
Pame_00950.t1	K02903
Pame_00951.t1	K19656
Pame_00952.t1	K09228
Pame_00953.t1	K10350
Pame_00954.t1	K19748
Pame_00957.t2	K09228
Pame_00958.t1	K00697
Pame_00958.t1	K01087
Pame_00959.t1	K00286
Pame_00960.t1	K16288
Pame_00962.t1	K10754
Pame_00963.t1	K26202
Pame_00964.t1	K18726
Pame_00965.t1	K09191
Pame_00966.t2	K14440
Pame_00968.t1	K01415
Pame_00969.t1	K01291
Pame_00970.t1	K01291
Pame_00971.t1	K01291
Pame_00972.t1	K01291
Pame_00975.t1	K12884
Pame_00976.t3	K12884
Pame_00978.t1	K02437
Pame_00979.t1	K02516
Pame_00980.t1	K12852
Pame_00984.t1	K10343
Pame_00985.t1	K02332
Pame_00986.t1	K08809
Pame_00987.t1	K08809
Pame_00988.t1	K10687
Pame_00989.t1	K01063
Pame_00990.t1	K22262
Pame_00992.t1	K01063
Pame_00993.t1	K09645
Pame_00994.t1	K09645
Pame_00996.t1	K25866
Pame_00997.t1	K12505
Pame_00998.t1	K12505
Pame_00999.t1	K24828
Pame_01000.t1	K05662
Pame_01000.t1	K27277
Pame_01001.t1	K00761
Pame_01002.t1	K23740
Pame_01003.t2	K10771
Pame_01003.t2	K01142
Pame_01004.t1	K20302
Pame_01005.t1	K10733
Pame_01006.t1	K04266
Pame_01007.t1	K19948
Pame_01008.t1	K00761
Pame_01009.t1	K00920
Pame_01011.t1	K25532
Pame_01012.t1	K15447
Pame_01014.t1	K03950
Pame_01015.t1	K11310
Pame_01028.t1	K04145
Pame_01029.t1	K21643
Pame_01032.t1	K11162
Pame_01033.t1	K25874
Pame_01036.t1	K01128
Pame_01041.t1	K17604
Pame_01050.t1	K15691
Pame_01051.t1	K11857
Pame_01052.t1	K05038
Pame_01053.t1	K04649
Pame_01054.t1	K00948
Pame_01055.t1	K07096
Pame_01056.t1	K12733
Pame_01057.t1	K23741
Pame_01058.t1	K10719
Pame_01059.t1	K14319
Pame_01060.t1	K08956
Pame_01061.t1	K15015
Pame_01062.t1	K27804
Pame_01064.t1	K04257
Pame_01065.t1	K27804
Pame_01067.t1	K27804
Pame_01073.t1	K14539
Pame_01075.t1	K06664
Pame_01076.t1	K11344
Pame_01077.t1	K23863
Pame_01088.t1	K23222
Pame_01101.t1	K26126
Pame_01103.t1	K01619
Pame_01104.t1	K01057
Pame_01105.t1	K03136
Pame_01106.t1	K07933
Pame_01107.t1	K06176
Pame_01110.t1	K09519
Pame_01111.t1	K14572
Pame_01112.t1	K14572
Pame_01113.t1	K24123
Pame_01114.t1	K00253
Pame_01115.t2	K00253
Pame_01116.t1	K00253
Pame_01120.t1	K01017
Pame_01121.t1	K09427
Pame_01122.t1	K22827
Pame_01122.t1	K11878
Pame_01125.t1	K13811
Pame_01127.t1	K09288
Pame_01128.t1	K15690
Pame_01128.t1	K03352
Pame_01129.t1	K12627
Pame_01130.t2	K01873
Pame_01131.t1	K14684
Pame_01132.t1	K18798
Pame_01136.t1	K20827
Pame_01137.t1	K07206
Pame_01138.t2	K16479
Pame_01140.t1	K15180
Pame_01149.t1	K09411
Pame_01151.t1	K27864
Pame_01152.t1	K11087
Pame_01153.t1	K01711
Pame_01155.t1	K16931
Pame_01158.t1	K14397
Pame_01161.t1	K14787
Pame_01162.t1	K10399
Pame_01163.t1	K10399
Pame_01164.t1	K24053
Pame_01165.t1	K03246
Pame_01166.t1	K15499
Pame_01167.t1	K17885
Pame_01170.t1	K24195
Pame_01172.t1	K00477
Pame_01174.t1	K11703
Pame_01175.t1	K04266
Pame_01176.t1	K17680
Pame_01176.t1	K11703
Pame_01177.t1	K20478
Pame_01178.t3	K04441
Pame_01179.t1	K20634
Pame_01180.t1	K20634
Pame_01181.t1	K12881
Pame_01182.t1	K11214
Pame_01183.t1	K14827
Pame_01185.t2	K11459
Pame_01187.t1	K11459
Pame_01188.t1	K05661
Pame_01190.t1	K01063
Pame_01194.t1	K02134
Pame_01195.t1	K20872
Pame_01196.t1	K07127
Pame_01197.t1	K16769
Pame_01203.t1	K05455
Pame_01205.t1	K05455
Pame_01208.t1	K10106
Pame_01209.t3	K19867
Pame_01210.t2	K08193
Pame_01210.t2	K12301
Pame_01217.t1	K17987
Pame_01218.t1	K03005
Pame_01219.t1	K12401
Pame_01220.t1	K12197
Pame_01221.t1	K13100
Pame_01222.t1	K23929
Pame_01224.t1	K07888
Pame_01224.t1	K07887
Pame_01225.t1	K10408
Pame_01226.t1	K10408
Pame_01227.t1	K00799
Pame_01229.t1	K21434
Pame_01230.t1	K01955
Pame_01231.t1	K06867
Pame_01232.t1	K14794
Pame_01234.t1	K20629
Pame_01235.t1	K10640
Pame_01236.t1	K01672
Pame_01238.t1	K06058
Pame_01239.t1	K14085
Pame_01242.t1	K23791
Pame_01243.t1	K27918
Pame_01243.t1	K16605
Pame_01244.t1	K17431
Pame_01245.t1	K15164
Pame_01246.t1	K15164
Pame_01247.t1	K07512
Pame_01248.t1	K01867
Pame_01249.t2	K13118
Pame_01252.t2	K20641
Pame_01253.t1	K20641
Pame_01259.t1	K24254
Pame_01262.t1	K00710
Pame_01264.t1	K14442
Pame_01265.t1	K05681
Pame_01266.t1	K18953
Pame_01268.t1	K11368
Pame_01269.t1	K11423
Pame_01270.t1	K02921
Pame_01271.t3	K00685
Pame_01272.t2	K04952
Pame_01273.t1	K02187
Pame_01274.t1	K00710
Pame_01289.t1	K04462
Pame_01291.t1	K04462
Pame_01298.t1	K14318
Pame_01299.t1	K09427
Pame_01306.t1	K09313
Pame_01307.t2	K09313
Pame_01308.t1	K15167
Pame_01309.t1	K15167
Pame_01310.t1	K08145
Pame_01311.t1	K00275
Pame_01316.t1	K22984
Pame_01317.t1	K22984
Pame_01318.t1	K22984
Pame_01319.t1	K22984
Pame_01320.t1	K22984
Pame_01321.t1	K22984
Pame_01322.t1	K22984
Pame_01328.t1	K16733
Pame_01330.t1	K04599
Pame_01334.t1	K02090
Pame_01336.t1	K03440
Pame_01337.t1	K09372
Pame_01338.t1	K09372
Pame_01340.t1	K16811
Pame_01341.t1	K01446
Pame_01341.t1	K24076
Pame_01341.t1	K24096
Pame_01342.t2	K17989
Pame_01343.t1	K01446
Pame_01344.t1	K01446
Pame_01344.t1	K24076
Pame_01346.t1	K17989
Pame_01347.t1	K16756
Pame_01352.t3	K18728
Pame_01354.t1	K09228
Pame_01355.t1	K08451
Pame_01356.t1	K20182
Pame_01358.t1	K21847
Pame_01359.t1	K21847
Pame_01360.t1	K00469
Pame_01362.t1	K14445
Pame_01363.t1	K05291
Pame_01364.t1	K14445
Pame_01366.t2	K24990
Pame_01369.t1	K18037
Pame_01370.t1	K09567
Pame_01371.t1	K18588
Pame_01372.t1	K12828
Pame_01373.t1	K06066
Pame_01375.t1	K11650
Pame_01376.t1	K09536
Pame_01377.t1	K17784
Pame_01378.t1	K02318
Pame_01378.t1	K00859
Pame_01379.t1	K03900
Pame_01380.t1	K09521
Pame_01382.t1	K01793
Pame_01383.t1	K19752
Pame_01384.t3	K05658
Pame_01385.t1	K05658
Pame_01387.t1	K12887
Pame_01390.t1	K01466
Pame_01391.t1	K13871
Pame_01392.t1	K17233
Pame_01393.t1	K03139
Pame_01394.t1	K18728
Pame_01395.t1	K03440
Pame_01396.t1	K06484
Pame_01402.t1	K01389
Pame_01404.t1	K11642
Pame_01405.t1	K11642
Pame_01406.t1	K19029
Pame_01409.t1	K12831
Pame_01411.t1	K07951
Pame_01413.t1	K08041
Pame_01414.t1	K08041
Pame_01415.t1	K08041
Pame_01416.t1	K09427
Pame_01417.t1	K04506
Pame_01421.t1	K10162
Pame_01422.t1	K07937
Pame_01423.t1	K14863
Pame_01424.t1	K00248
Pame_01429.t1	K00731
Pame_01433.t1	K14951
Pame_01439.t1	K07359
Pame_01448.t1	K15890
Pame_01449.t1	K15890
Pame_01450.t1	K15890
Pame_01451.t1	K22970
Pame_01451.t1	K16066
Pame_01451.t1	K15890
Pame_01451.t1	K00059
Pame_01451.t1	K13606
Pame_01452.t1	K15890
Pame_01453.t1	K15890
Pame_01454.t1	K15890
Pame_01455.t1	K15890
Pame_01455.t1	K22970
Pame_01456.t1	K15890
Pame_01456.t1	K22970
Pame_01457.t1	K15890
Pame_01458.t1	K01052
Pame_01459.t1	K22970
Pame_01459.t1	K15890
Pame_01460.t1	K15890
Pame_01461.t1	K22970
Pame_01461.t1	K15890
Pame_01462.t1	K21270
Pame_01463.t2	K21270
Pame_01464.t1	K15890
Pame_01465.t1	K21270
Pame_01466.t1	K21270
Pame_01467.t1	K21270
Pame_01468.t1	K21270
Pame_01469.t1	K15890
Pame_01470.t1	K15890
Pame_01471.t1	K15890
Pame_01472.t1	K15890
Pame_01473.t1	K15890
Pame_01473.t1	K22970
Pame_01474.t1	K15890
Pame_01475.t1	K15890
Pame_01475.t1	K22970
Pame_01476.t1	K15890
Pame_01476.t1	K22970
Pame_01477.t1	K15890
Pame_01477.t1	K22970
Pame_01478.t1	K15890
Pame_01478.t1	K22970
Pame_01479.t1	K22970
Pame_01479.t1	K15890
Pame_01480.t1	K15890
Pame_01481.t1	K15890
Pame_01481.t1	K22970
Pame_01482.t1	K15890
Pame_01482.t1	K22970
Pame_01483.t1	K15890
Pame_01483.t1	K22970
Pame_01484.t1	K15890
Pame_01484.t1	K22970
Pame_01485.t1	K15890
Pame_01485.t1	K22970
Pame_01486.t1	K15890
Pame_01486.t1	K22970
Pame_01487.t1	K15890
Pame_01487.t1	K22970
Pame_01488.t1	K15890
Pame_01489.t1	K22970
Pame_01489.t1	K15890
Pame_01490.t1	K22970
Pame_01490.t1	K15890
Pame_01491.t1	K15890
Pame_01491.t1	K22970
Pame_01492.t1	K15890
Pame_01492.t1	K22970
Pame_01493.t1	K15890
Pame_01494.t1	K15890
Pame_01494.t1	K22970
Pame_01495.t1	K15890
Pame_01504.t1	K20299
Pame_01505.t1	K25112
Pame_01506.t1	K14780
Pame_01508.t1	K23880
Pame_01509.t1	K05719
Pame_01510.t1	K05719
Pame_01511.t1	K26434
Pame_01512.t1	K12167
Pame_01514.t1	K25647
Pame_01515.t1	K15445
Pame_01516.t1	K00235
Pame_01516.t1	K00240
Pame_01517.t1	K18756
Pame_01518.t2	K10396
Pame_01519.t1	K08804
Pame_01520.t1	K04237
Pame_01522.t1	K09223
Pame_01524.t1	K09228
Pame_01525.t1	K00115
Pame_01527.t1	K04950
Pame_01528.t1	K04950
Pame_01532.t1	K15100
Pame_01533.t1	K15100
Pame_01534.t1	K11648
Pame_01535.t1	K25548
Pame_01536.t1	K01763
Pame_01536.t1	K04487
Pame_01537.t1	K05658
Pame_01538.t2	K05658
Pame_01539.t1	K23222
Pame_01544.t1	K14973
Pame_01545.t2	K13411
Pame_01546.t1	K15440
Pame_01556.t1	K22544
Pame_01557.t1	K00240
Pame_01558.t1	K11787
Pame_01558.t1	K01945
Pame_01558.t1	K01933
Pame_01558.t1	K11175
Pame_01559.t1	K19373
Pame_01560.t1	K12275
Pame_01561.t1	K24941
Pame_01563.t1	K26144
Pame_01564.t1	K12897
Pame_01565.t1	K20185
Pame_01566.t1	K19475
Pame_01567.t1	K06158
Pame_01568.t1	K24027
Pame_01571.t2	K21971
Pame_01572.t1	K01590
Pame_01573.t1	K01593
Pame_01574.t1	K22329
Pame_01574.t1	K01593
Pame_01575.t1	K01590
Pame_01576.t1	K01590
Pame_01577.t1	K01593
Pame_01578.t1	K01590
Pame_01579.t1	K14525
Pame_01581.t1	K27961
Pame_01583.t1	K04351
Pame_01586.t1	K04351
Pame_01587.t1	K14835
Pame_01588.t1	K14809
Pame_01589.t1	K10140
Pame_01590.t1	K10140
Pame_01591.t1	K11997
Pame_01592.t1	K14999
Pame_01593.t1	K14999
Pame_01594.t1	K23553
Pame_01595.t1	K13141
Pame_01596.t1	K00272
Pame_01596.t1	K00273
Pame_01597.t1	K08495
Pame_01598.t1	K00115
Pame_01599.t1	K00108
Pame_01601.t1	K04506
Pame_01602.t1	K04506
Pame_01605.t1	K02934
Pame_01606.t1	K16896
Pame_01607.t1	K00869
Pame_01608.t1	K00869
Pame_01609.t2	K22075
Pame_01610.t1	K08997
Pame_01611.t1	K03252
Pame_01612.t1	K16474
Pame_01616.t1	K15078
Pame_01618.t1	K09562
Pame_01619.t1	K14158
Pame_01620.t1	K14158
Pame_01621.t1	K02087
Pame_01622.t1	K07253
Pame_01623.t1	K02830
Pame_01624.t1	K13886
Pame_01625.t1	K16574
Pame_01626.t1	K10891
Pame_01628.t1	K01431
Pame_01629.t1	K14638
Pame_01630.t1	K14779
Pame_01631.t1	K14779
Pame_01632.t2	K23625
Pame_01635.t1	K09090
Pame_01636.t2	K19527
Pame_01637.t1	K23506
Pame_01638.t1	K06030
Pame_01639.t1	K15045
Pame_01642.t1	K20009
Pame_01643.t1	K22203
Pame_01645.t1	K09228
Pame_01646.t1	K09228
Pame_01648.t1	K00922
Pame_01649.t1	K15264
Pame_01650.t2	K18595
Pame_01651.t1	K15190
Pame_01652.t1	K24688
Pame_01656.t1	K00637
Pame_01657.t1	K12670
Pame_01658.t1	K24931
Pame_01659.t1	K20069
Pame_01661.t1	K08762
Pame_01662.t1	K16746
Pame_01663.t1	K09646
Pame_01664.t1	K13356
Pame_01665.t1	K13356
Pame_01666.t1	K13356
Pame_01667.t1	K13356
Pame_01668.t1	K13356
Pame_01669.t1	K10994
Pame_01670.t1	K18467
Pame_01675.t1	K14318
Pame_01676.t1	K11837
Pame_01678.t1	K19944
Pame_01679.t1	K17981
Pame_01680.t1	K05313
Pame_01681.t1	K20456
Pame_01682.t1	K20456
Pame_01683.t1	K20456
Pame_01685.t1	K00026
Pame_01689.t1	K16308
Pame_01689.t1	K16196
Pame_01690.t1	K23539
Pame_01692.t1	K09239
Pame_01696.t1	K12392
Pame_01699.t3	K10276
Pame_01700.t1	K16056
Pame_01702.t2	K09598
Pame_01703.t1	K06630
Pame_01704.t1	K20347
Pame_01705.t1	K10632
Pame_01708.t1	K17591
Pame_01709.t1	K09586
Pame_01710.t1	K15306
Pame_01711.t3	K11348
Pame_01712.t1	K26497
Pame_01713.t1	K13147
Pame_01714.t3	K22203
Pame_01715.t1	K11293
Pame_01716.t1	K06269
Pame_01717.t1	K24270
Pame_01719.t1	K03434
Pame_01720.t1	K03538
Pame_01721.t1	K04646
Pame_01722.t1	K02943
Pame_01723.t1	K15152
Pame_01724.t1	K11422
Pame_01725.t1	K00416
Pame_01726.t1	K20129
Pame_01728.t2	K10575
Pame_01729.t1	K04650
Pame_01730.t1	K04650
Pame_01734.t1	K09427
Pame_01735.t1	K19332
Pame_01736.t1	K11394
Pame_01736.t1	K02857
Pame_01736.t1	K00318
Pame_01737.t1	K07752
Pame_01738.t1	K22611
Pame_01740.t1	K17973
Pame_01741.t1	K26244
Pame_01742.t1	K07876
Pame_01743.t1	K13703
Pame_01744.t1	K14972
Pame_01754.t1	K11090
Pame_01755.t1	K00830
Pame_01757.t1	K16727
Pame_01760.t1	K10277
Pame_01761.t1	K00019
Pame_01762.t1	K00019
Pame_01763.t1	K09228
Pame_01765.t1	K09498
Pame_01765.t1	K24595
Pame_01767.t1	K11514
Pame_01769.t1	K04657
Pame_01770.t1	K14552
Pame_01771.t1	K12818
Pame_01771.t1	K12820
Pame_01772.t1	K15382
Pame_01773.t1	K15382
Pame_01774.t1	K00731
Pame_01775.t1	K08886
Pame_01778.t1	K23498
Pame_01779.t1	K22069
Pame_01780.t1	K09508
Pame_01781.t1	K11138
Pame_01782.t1	K24682
Pame_01786.t1	K20298
Pame_01791.t1	K08535
Pame_01792.t1	K14034
Pame_01793.t1	K15144
Pame_01794.t1	K02090
Pame_01796.t1	K02090
Pame_01797.t1	K20405
Pame_01798.t1	K01598
Pame_01799.t1	K09026
Pame_01801.t1	K09057
Pame_01802.t1	K03259
Pame_01804.t1	K08775
Pame_01805.t1	K23205
Pame_01807.t1	K16743
Pame_01808.t1	K01886
Pame_01809.t1	K02296
Pame_01811.t1	K13125
Pame_01812.t1	K26683
Pame_01813.t1	K09427
Pame_01814.t1	K05863
Pame_01815.t1	K08703
Pame_01816.t1	K02738
Pame_01818.t1	K10596
Pame_01819.t1	K16794
Pame_01820.t2	K11393
Pame_01821.t1	K03255
Pame_01823.t1	K18723
Pame_01826.t1	K17498
Pame_01830.t1	K13855
Pame_01831.t1	K04367
Pame_01832.t1	K12624
Pame_01835.t3	K08810
Pame_01836.t1	K08810
Pame_01837.t1	K08810
Pame_01838.t3	K08810
Pame_01840.t1	K24734
Pame_01842.t2	K16675
Pame_01844.t1	K16732
Pame_01845.t1	K10203
Pame_01846.t1	K02373
Pame_01847.t1	K03259
Pame_01848.t1	K14557
Pame_01849.t1	K08811
Pame_01850.t1	K08811
Pame_01852.t1	K20291
Pame_01853.t1	K20291
Pame_01854.t1	K10846
Pame_01854.t1	K20291
Pame_01855.t1	K10359
Pame_01858.t1	K23532
Pame_01859.t1	K11501
Pame_01860.t1	K01897
Pame_01861.t2	K01897
Pame_01862.t1	K05019
Pame_01864.t1	K19192
Pame_01865.t1	K03979
Pame_01866.t1	K13649
Pame_01868.t1	K04802
Pame_01869.t1	K27896
Pame_01870.t1	K27817
Pame_01871.t2	K14007
Pame_01872.t1	K00802
Pame_01873.t1	K03033
