protein	KO
OG0004144	K15010
OG0004145	K05956
OG0004148	K24741
OG0004150	K06867
OG0004152	K22470
OG0004152	K17218
OG0004154	K00911
OG0004155	K22499
OG0004156	K14855
OG0004159	K04648
OG0004160	K14564
OG0004161	K17582
OG0004163	K13752
OG0004164	K24926
OG0004166	K00884
OG0004168	K22904
OG0004169	K21919
OG0004170	K15008
OG0004171	K04500
OG0004174	K01520
OG0004175	K01283
OG0004176	K14805
OG0004177	K11548
OG0004178	K22402
OG0004179	K20773
OG0004180	K21286
OG0004185	K11322
OG0004186	K12972
OG0004188	K14839
OG0004190	K23295
OG0004192	K04482
OG0004193	K27819
OG0004193	K01097
OG0004194	K19655
OG0004196	K11964
OG0004198	K14840
OG0004199	K06688
OG0004200	K05310
OG0004203	K14999
OG0004204	K18468
OG0004205	K07847
OG0004206	K14790
OG0004207	K10053
OG0004208	K20818
OG0004209	K24956
OG0004210	K01885
OG0004211	K15341
OG0004212	K06620
OG0004213	K17943
OG0004214	K17943
OG0004215	K14405
OG0004216	K02995
OG0004217	K02941
OG0004218	K11204
OG0004219	K13348
OG0004220	K14169
OG0004221	K11723
OG0004222	K10478
OG0004223	K00772
OG0004224	K00572
OG0004225	K19323
OG0004226	K02729
OG0004227	K23893
OG0004228	K01712
OG0004229	K06265
OG0004230	K12194
OG0004233	K14027
OG0004234	K13355
OG0004235	K08653
OG0004236	K00002
OG0004237	K09492
OG0004238	K00237
OG0004242	K20703
OG0004243	K11364
OG0004244	K14396
OG0004246	K05361
OG0004246	K00432
OG0004247	K03013
OG0004248	K19872
OG0004251	K06626
OG0004252	K17560
OG0004253	K23581
OG0004255	K09273
OG0004256	K02145
OG0004257	K03348
OG0004258	K01425
OG0004260	K01275
OG0004262	K00232
OG0004263	K16573
OG0004264	K18735
OG0004266	K17407
OG0004268	K09371
OG0004269	K09371
OG0004270	K02838
OG0004271	K12621
OG0004272	K05124
OG0004273	K14772
OG0004274	K00115
OG0004276	K16315
OG0004277	K08272
OG0004278	K04730
OG0004281	K22860
OG0004285	K26392
OG0004286	K13352
OG0004287	K12876
OG0004288	K03847
OG0004289	K02270
OG0004290	K19367
OG0004291	K14837
OG0004292	K17083
OG0004293	K19756
OG0004295	K24024
OG0004296	K02606
OG0004297	K13127
OG0004298	K06258
OG0004299	K09320
OG0004300	K01084
OG0004302	K16578
OG0004305	K23285
OG0004306	K23739
OG0004307	K14999
OG0004308	K15523
OG0004309	K02266
OG0004310	K17529
OG0004311	K20174
OG0004312	K04508
OG0004314	K10744
OG0004315	K01968
OG0004316	K20399
OG0004317	K07763
OG0004318	K00778
OG0004319	K12380
OG0004320	K10755
OG0004322	K00323
OG0004322	K00325
OG0004322	K00324
OG0004323	K00031
OG0004324	K04506
OG0004325	K04949
OG0004327	K07201
OG0004328	K01581
OG0004328	K12668
OG0004329	K16311
OG0004331	K10751
OG0004332	K01273
OG0004333	K03063
OG0004334	K01363
OG0004335	K22560
OG0004336	K03386
OG0004338	K13675
OG0004339	K11519
OG0004340	K03965
OG0004341	K20309
OG0004342	K10049
OG0004343	K04632
OG0004345	K16543
OG0004346	K10382
OG0004347	K09528
OG0004348	K05357
OG0004351	K13754
OG0004352	K15278
OG0004353	K01183
OG0004354	K14439
OG0004357	K20184
OG0004358	K14410
OG0004358	K19283
OG0004360	K14399
OG0004361	K03870
OG0004362	K00294
OG0004363	K11459
OG0004364	K22559
OG0004365	K00747
OG0004366	K15186
OG0004368	K20283
OG0004369	K18529
OG0004370	K25749
OG0004371	K01755
OG0004372	K20254
OG0004373	K07935
OG0004374	K10766
OG0004375	K01446
OG0004376	K04403
OG0004377	K17346
OG0004378	K10660
OG0004379	K21437
OG0004380	K14258
OG0004381	K21774
OG0004382	K10756
OG0004383	K04557
OG0004384	K22387
OG0004385	K24124
OG0004387	K18646
OG0004389	K13887
OG0004391	K27397
OG0004392	K00006
OG0004393	K23731
OG0004394	K27570
OG0004396	K26267
OG0004397	K16782
OG0004398	K23334
OG0004399	K04534
OG0004400	K10734
OG0004401	K08704
OG0004402	K10636
OG0004403	K12668
OG0004404	K10436
OG0004406	K08147
OG0004407	K03424
OG0004408	K09595
OG0004409	K14012
OG0004410	K07178
OG0004411	K09640
OG0004412	K23029
OG0004413	K16329
OG0004415	K02295
OG0004418	K20779
OG0004419	K07378
OG0004421	K07305
OG0004422	K07151
OG0004423	K06842
OG0004426	K04667
OG0004428	K14939
OG0004429	K02353
OG0004430	K00797
OG0004431	K23600
OG0004432	K12852
OG0004433	K14827
OG0004434	K11459
OG0004436	K20634
OG0004437	K12881
OG0004438	K11214
OG0004439	K22817
OG0004440	K11967
OG0004441	K01488
OG0004443	K05725
OG0004444	K22069
OG0004445	K13104
OG0004447	K11140
OG0004449	K19681
OG0004450	K13963
OG0004452	K18402
OG0004453	K19519
OG0004454	K23424
OG0004455	K17420
OG0004458	K01050
OG0004459	K11494
OG0004460	K16470
OG0004461	K00657
OG0004463	K04255
OG0004464	K04409
OG0004465	K16185
OG0004466	K26934
OG0004467	K00164
OG0004468	K09579
OG0004469	K06560
OG0004470	K02514
OG0004472	K16833
OG0004473	K02917
OG0004475	K04599
OG0004476	K20189
OG0004478	K15363
OG0004479	K16605
OG0004480	K10356
OG0004481	K01435
OG0004482	K02895
OG0004483	K12373
OG0004484	K19603
OG0004485	K19484
OG0004486	K02349
OG0004487	K13344
OG0004488	K23164
OG0004489	K03237
OG0004490	K17046
OG0004491	K02993
OG0004491	K02265
OG0004492	K12587
OG0004493	K17043
OG0004494	K11268
OG0004495	K11271
OG0004496	K01530
OG0004497	K17579
OG0004498	K06107
OG0004499	K01889
OG0004500	K01784
OG0004501	K01128
OG0004503	K05038
OG0004504	K07759
OG0004505	K24554
OG0004506	K19054
OG0004507	K12383
OG0004508	K21643
OG0004511	K18055
OG0004512	K04491
OG0004513	K24412
OG0004516	K17794
OG0004518	K09293
OG0004519	K10532
OG0004520	K04397
OG0004521	K22066
OG0004521	K05527
OG0004522	K23555
OG0004525	K18399
OG0004528	K11205
OG0004532	K13216
OG0004533	K19953
OG0004534	K09539
OG0004535	K01278
OG0004537	K05673
OG0004540	K25070
OG0004541	K06082
OG0004542	K15026
OG0004543	K11583
OG0004544	K16570
OG0004545	K01900
OG0004546	K23029
OG0004548	K04392
OG0004549	K12321
OG0004550	K09183
OG0004551	K09183
OG0004552	K09650
OG0004553	K01070
OG0004554	K03946
OG0004556	K26152
OG0004559	K24841
OG0004561	K20282
OG0004562	K14797
OG0004563	K22076
OG0004564	K02942
OG0004565	K02954
OG0004566	K03231
OG0004567	K04506
OG0004568	K04506
OG0004569	K03245
OG0004570	K21411
OG0004571	K10847
OG0004572	K04526
OG0004573	K05290
OG0004574	K10842
OG0004575	K00182
OG0004576	K06568
OG0004578	K22988
OG0004581	K12737
OG0004582	K12737
OG0004583	K17822
OG0004584	K12184
OG0004585	K00968
OG0004586	K16470
OG0004587	K22558
OG0004588	K23314
OG0004589	K10980
OG0004590	K05751
OG0004592	K13145
OG0004593	K04799
OG0004594	K13181
OG0004595	K20463
OG0004596	K00364
OG0004597	K27947
OG0004598	K11848
OG0004599	K11267
OG0004600	K14971
OG0004601	K02268
OG0004602	K23289
OG0004603	K19480
OG0004604	K11594
OG0004605	K02938
OG0004607	K16913
OG0004608	K05039
OG0004609	K09213
OG0004610	K04984
OG0004611	K04233
OG0004613	K10302
OG0004615	K03871
OG0004617	K21456
OG0004618	K09191
OG0004619	K28049
OG0004620	K10637
OG0004621	K02152
OG0004622	K14798
OG0004623	K14323
OG0004625	K01673
OG0004627	K24230
OG0004628	K03846
OG0004629	K24265
OG0004631	K04437
OG0004632	K17279
OG0004633	K01518
OG0004635	K09427
OG0004637	K18592
OG0004639	K01872
OG0004642	K01047
OG0004644	K01785
OG0004647	K25457
OG0004648	K24768
OG0004649	K04712
OG0004651	K07759
OG0004652	K12179
OG0004653	K08489
OG0004654	K03165
OG0004656	K07847
OG0004657	K07197
OG0004658	K17087
OG0004659	K11671
OG0004660	K22449
OG0004662	K17725
OG0004662	K01069
OG0004664	K20067
OG0004666	K23902
OG0004667	K04920
OG0004668	K01358
OG0004669	K12840
OG0004670	K08059
OG0004671	K05289
OG0004672	K02969
OG0004673	K01810
OG0004674	K02737
OG0004676	K20217
OG0004677	K10598
OG0004677	K12733
OG0004678	K05760
OG0004679	K20804
OG0004680	K06497
OG0004681	K06497
OG0004682	K06497
OG0004683	K06677
OG0004684	K14258
OG0004685	K16676
OG0004686	K11376
OG0004690	K18592
OG0004691	K14570
OG0004692	K22758
OG0004693	K12480
OG0004698	K18592
OG0004700	K17289
OG0004702	K26979
OG0004703	K00875
OG0004704	K00232
OG0004706	K17501
OG0004707	K22391
OG0004708	K15014
OG0004710	K15719
OG0004712	K04496
OG0004713	K18624
OG0004714	K08291
OG0004715	K00280
OG0004716	K28063
OG0004717	K13356
OG0004718	K13356
OG0004719	K13356
OG0004720	K13356
OG0004721	K04458
OG0004722	K13356
OG0004723	K13356
OG0004724	K00856
OG0004727	K02984
OG0004729	K13356
OG0004730	K15332
OG0004731	K13356
OG0004733	K13024
OG0004734	K09175
OG0004735	K01285
OG0004735	K17824
OG0004736	K10768
OG0004737	K02894
OG0004738	K00600
OG0004739	K06766
OG0004740	K03132
OG0004741	K20314
OG0004742	K00963
OG0004743	K23168
OG0004744	K01942
OG0004745	K20095
OG0004746	K15455
OG0004747	K20301
OG0004751	K10394
OG0004752	K07126
OG0004753	K09191
OG0004754	K22503
OG0004755	K15142
OG0004756	K12483
OG0004757	K02967
OG0004758	K06990
OG0004759	K10746
OG0004763	K08669
OG0004764	K20296
OG0004766	K16773
OG0004767	K02360
OG0004776	K16449
OG0004777	K12483
OG0004778	K10880
OG0004779	K02273
OG0004780	K02273
OG0004781	K22371
OG0004782	K04569
OG0004782	K04565
OG0004783	K17576
OG0004784	K10479
OG0004785	K01870
OG0004787	K15890
OG0004791	K07359
OG0004792	K00049
OG0004794	K11319
OG0004795	K02915
OG0004796	K08493
OG0004797	K01897
OG0004798	K18668
OG0004799	K01611
OG0004800	K19176
OG0004801	K22385
OG0004802	K11830
OG0004803	K00134
OG0004804	K00134
OG0004805	K15104
OG0004806	K15104
OG0004808	K24050
OG0004809	K04675
OG0004810	K13187
OG0004811	K20306
OG0004813	K00627
OG0004814	K17700
OG0004815	K12614
OG0004816	K28026
OG0004818	K08585
OG0004819	K18808
OG0004823	K00049
OG0004824	K03139
OG0004825	K11844
OG0004827	K06258
OG0004828	K00799
OG0004829	K22138
OG0004831	K11577
OG0004833	K12872
OG0004833	K19022
OG0004834	K10578
OG0004835	K18809
OG0004836	K15736
OG0004836	K00109
OG0004837	K05679
OG0004838	K05679
OG0004839	K05679
OG0004840	K05679
OG0004841	K15109
OG0004842	K10448
OG0004843	K25484
OG0004844	K10080
OG0004845	K20188
OG0004846	K02503
OG0004848	K00898
OG0004849	K02272
OG0004850	K24539
OG0004851	K19761
OG0004854	K21412
OG0004855	K01376
OG0004856	K00710
OG0004857	K06627
OG0004858	K12586
OG0004859	K21245
OG0004860	K19202
OG0004861	K10802
OG0004862	K01443
OG0004864	K27818
OG0004865	K03953
OG0004867	K09310
OG0004869	K23539
OG0004870	K12605
OG0004871	K02150
OG0004872	K15107
OG0004873	K02127
OG0004874	K08955
OG0004875	K07830
OG0004876	K15159
OG0004878	K15890
OG0004878	K22970
OG0004879	K16342
OG0004880	K15129
OG0004881	K06972
OG0004882	K00726
OG0004883	K02736
OG0004884	K06943
OG0004885	K17616
OG0004886	K15456
OG0004887	K19787
OG0004888	K11405
OG0004889	K04671
OG0004890	K12196
OG0004892	K15380
OG0004894	K19362
OG0004894	K00699
OG0004895	K16308
OG0004895	K16196
OG0004896	K00026
OG0004898	K19944
OG0004900	K11837
OG0004902	K09239
OG0004904	K15176
OG0004905	K16756
OG0004908	K16811
OG0004909	K02375
OG0004911	K12301
OG0004912	K11806
OG0004915	K03127
OG0004916	K01634
OG0004918	K01262
OG0004919	K01230
OG0004920	K07962
OG0004922	K00121
OG0004923	K02738
OG0004924	K22377
OG0004925	K05287
OG0004925	K23001
OG0004926	K15042
OG0004929	K24637
OG0004930	K13247
OG0004931	K22867
OG0004932	K02896
OG0004933	K02580
OG0004934	K03958
OG0004935	K07855
OG0004936	K16691
OG0004937	K12192
OG0004938	K05030
OG0004939	K15175
OG0004940	K04661
OG0004942	K00507
OG0004943	K00507
OG0004944	K11141
OG0004944	K11140
OG0004945	K08515
OG0004946	K00507
OG0004947	K27896
OG0004948	K22378
OG0004951	K06698
OG0004954	K01435
OG0004955	K08804
OG0004960	K14156
OG0004961	K17686
OG0004962	K03844
OG0004964	K11338
OG0004965	K08796
OG0004967	K13783
OG0004972	K22756
OG0004974	K00710
OG0004976	K23963
OG0004977	K08220
OG0004978	K14429
OG0004979	K09070
OG0004980	K05628
OG0004981	K08874
OG0004983	K23288
OG0004984	K12946
OG0004986	K02891
OG0004988	K23966
OG0004989	K10389
OG0004989	K15303
OG0004990	K19750
OG0004991	K04536
OG0004994	K05011
OG0004995	K04905
OG0004996	K04905
OG0004997	K17081
OG0004998	K08145
OG0005000	K12858
OG0005002	K09228
OG0005003	K19558
OG0005004	K14951
OG0005005	K00710
OG0005006	K05687
OG0005006	K03152
OG0005007	K24979
OG0005008	K23643
OG0005009	K19501
OG0005010	K15153
OG0005012	K28050
OG0005013	K00049
OG0005014	K23341
OG0005014	K04370
OG0005015	K09573
OG0005016	K21776
OG0005017	K12178
OG0005019	K04728
OG0005022	K21970
OG0005023	K07553
OG0005024	K12474
OG0005026	K01262
OG0005027	K09191
OG0005028	K24134
OG0005029	K15084
OG0005030	K04382
OG0005031	K14753
OG0005033	K22074
OG0005034	K07205
OG0005035	K16809
OG0005042	K00681
OG0005043	K18438
OG0005044	K08578
OG0005045	K24023
OG0005047	K00451
OG0005048	K02211
OG0005050	K24996
OG0005052	K23884
OG0005053	K01768
OG0005054	K21198
OG0005056	K00026
OG0005057	K09552
OG0005058	K12492
OG0005060	K04422
OG0005061	K03113
OG0005062	K27896
OG0005063	K22765
OG0005064	K03349
OG0005067	K00029
OG0005068	K20029
OG0005069	K27164
OG0005072	K10693
OG0005074	K22204
OG0005075	K26090
OG0005076	K07890
OG0005077	K19947
OG0005078	K18470
OG0005079	K02434
OG0005080	K20223
OG0005084	K18420
OG0005085	K10843
OG0005086	K00731
OG0005087	K08864
OG0005089	K09403
OG0005090	K13251
OG0005093	K08576
OG0005094	K12160
OG0005095	K11978
OG0005096	K10270
OG0005098	K07575
OG0005102	K01415
OG0005103	K01415
OG0005107	K24070
OG0005108	K10896
OG0005109	K16939
OG0005110	K12377
OG0005111	K24928
OG0005113	K23569
OG0005114	K06027
OG0005115	K12842
OG0005116	K23552
OG0005117	K09571
OG0005118	K05749
OG0005119	K26957
OG0005120	K17492
OG0005121	K01294
OG0005122	K11411
OG0005123	K02974
OG0005125	K10277
OG0005128	K03068
OG0005129	K13139
OG0005131	K01265
OG0005132	K00789
OG0005133	K23205
OG0005134	K14621
OG0005136	K05740
OG0005137	K17580
OG0005139	K00693
OG0005142	K14791
OG0005144	K10899
OG0005146	K12167
OG0005147	K25647
OG0005148	K26434
OG0005149	K05719
OG0005150	K24051
OG0005151	K09521
OG0005153	K01793
OG0005154	K19752
OG0005156	K04237
OG0005157	K08804
OG0005158	K23880
OG0005159	K05719
OG0005161	K03002
OG0005162	K23311
OG0005163	K20824
OG0005164	K15622
OG0005168	K07203
OG0005169	K01489
OG0005170	K10597
OG0005172	K04404
OG0005173	K12868
OG0005174	K12735
OG0005175	K15322
OG0005176	K18171
OG0005177	K03030
OG0005180	K17461
OG0005181	K07562
OG0005182	K25931
OG0005183	K01013
OG0005184	K06104
OG0005185	K04427
OG0005186	K13179
OG0005188	K23438
OG0005190	K00029
OG0005192	K12567
OG0005194	K03936
OG0005198	K05126
OG0005199	K25549
OG0005201	K00915
OG0005202	K12163
OG0005204	K23611
OG0005205	K05022
OG0005207	K18157
OG0005208	K24611
OG0005209	K05769
OG0005210	K05769
OG0005212	K08823
OG0005213	K10295
OG0005215	K11972
OG0005216	K00949
OG0005218	K20068
OG0005220	K16468
OG0005221	K02976
OG0005222	K12654
OG0005224	K10752
OG0005225	K11462
OG0005226	K18161
OG0005227	K08791
OG0005228	K26186
OG0005230	K15890
OG0005231	K01623
OG0005232	K13118
OG0005233	K02331
OG0005235	K08734
OG0005236	K16804
OG0005237	K18462
OG0005239	K20232
OG0005240	K19009
OG0005241	K06170
OG0005242	K13337
OG0005243	K00927
OG0005245	K08520
OG0005246	K09090
OG0005247	K09090
OG0005248	K12272
OG0005249	K15167
OG0005250	K08145
OG0005251	K00275
OG0005252	K11169
OG0005255	K00115
OG0005256	K01179
OG0005257	K28050
OG0005260	K17917
OG0005263	K04393
OG0005264	K15426
OG0005265	K18272
OG0005267	K10362
OG0005268	K10362
OG0005269	K08752
OG0005270	K02183
OG0005270	K13448
OG0005271	K20173
OG0005272	K19938
OG0005273	K15637
OG0005276	K17268
OG0005277	K02318
OG0005277	K00859
OG0005278	K08705
OG0005281	K13411
OG0005282	K12398
OG0005283	K03926
OG0005284	K14398
OG0005286	K19306
OG0005287	K12185
OG0005288	K11414
OG0005290	K00115
OG0005291	K00115
OG0005292	K24086
OG0005293	K02331
OG0005294	K06628
OG0005295	K17609
OG0005296	K05648
OG0005296	K01992
OG0005297	K14016
OG0005299	K23424
OG0005300	K09530
OG0005301	K23167
OG0005302	K14408
OG0005303	K27410
OG0005304	K11262
OG0005305	K19023
OG0005306	K13706
OG0005308	K20819
OG0005309	K03017
OG0005310	K03935
OG0005310	K00333
OG0005311	K13885
OG0005312	K13885
OG0005313	K13885
OG0005314	K13885
OG0005315	K09441
OG0005316	K14347
OG0005318	K07050
OG0005319	K06632
OG0005321	K27896
OG0005322	K03039
OG0005323	K13192
OG0005325	K01099
OG0005328	K22866
OG0005329	K26163
OG0005330	K24353
OG0005332	K25827
OG0005333	K09565
OG0005333	K03767
OG0005334	K08618
OG0005335	K06086
OG0005337	K10849
OG0005341	K15603
OG0005343	K01412
OG0005344	K15181
OG0005345	K22697
OG0005346	K27896
OG0005346	K03026
OG0005348	K00981
OG0005350	K00802
OG0005351	K14007
OG0005352	K27817
OG0005353	K27896
OG0005354	K04802
OG0005356	K24104
OG0005357	K24104
OG0005358	K16684
OG0005359	K13345
OG0005360	K00505
OG0005361	K12890
OG0005362	K18082
OG0005364	K26600
OG0005365	K11428
OG0005366	K06127
OG0005366	K03183
OG0005367	K11437
OG0005368	K06232
OG0005369	K18200
OG0005370	K03937
OG0005372	K06832
OG0005373	K09667
OG0005376	K14569
OG0005376	K14553
OG0005378	K09228
OG0005379	K14209
OG0005382	K17419
OG0005384	K09026
OG0005385	K05863
OG0005386	K26683
OG0005387	K05012
OG0005388	K18764
OG0005389	K14209
OG0005390	K14209
OG0005391	K01873
OG0005393	K19528
OG0005395	K08027
OG0005397	K06497
OG0005398	K17536
OG0005399	K22384
OG0005407	K16750
OG0005408	K24970
OG0005409	K11478
OG0005410	K15280
OG0005415	K11294
OG0005418	K08596
OG0005419	K04467
OG0005420	K00809
OG0005421	K00012
OG0005422	K04674
OG0005423	K19403
OG0005424	K17751
OG0005428	K09577
OG0005428	K01802
OG0005429	K27694
OG0005430	K04361
OG0005431	K19363
OG0005432	K12572
OG0005434	K17960
OG0005435	K12892
OG0005436	K10408
OG0005438	K17541
OG0005440	K01312
OG0005443	K15182
OG0005444	K00645
OG0005445	K24536
OG0005446	K02296
OG0005448	K02223
OG0005448	K10312
OG0005450	K10356
OG0005451	K14787
OG0005453	K16748
OG0005455	K13191
OG0005456	K15538
OG0005457	K25203
OG0005458	K04565
OG0005459	K24675
OG0005460	K02884
OG0005461	K16312
OG0005462	K22139
OG0005464	K09185
OG0005465	K22862
OG0005466	K27566
OG0005467	K20284
OG0005468	K00816
OG0005471	K02973
OG0005472	K10691
OG0005473	K27833
OG0005474	K08517
OG0005475	K14768
OG0005476	K02936
OG0005477	K15139
OG0005480	K05181
OG0005481	K00501
OG0005481	K00500
OG0005483	K07852
OG0005484	K03137
OG0005485	K08790
OG0005486	K03135
OG0005488	K03704
OG0005489	K11863
OG0005490	K06272
OG0005490	K06867
OG0005496	K04559
OG0005497	K00457
OG0005498	K11666
OG0005506	K09503
OG0005507	K03011
OG0005509	K03145
OG0005510	K11471
OG0005511	K14437
OG0005512	K24048
OG0005513	K16506
OG0005514	K17080
OG0005515	K01519
OG0005516	K16742
OG0005518	K24678
OG0005519	K19192
OG0005520	K17866
OG0005521	K25790
OG0005522	K14285
OG0005523	K10482
OG0005524	K07299
OG0005525	K10260
OG0005526	K06641
OG0005527	K01482
OG0005529	K09578
OG0005530	K05756
OG0005531	K10147
OG0005532	K04794
OG0005533	K25440
OG0005534	K06279
OG0005536	K04599
OG0005537	K13577
OG0005538	K25204
OG0005539	K10412
OG0005540	K12580
OG0005541	K16540
OG0005542	K20308
OG0005544	K15170
OG0005546	K00318
OG0005548	K01372
OG0005550	K25780
OG0005551	K10803
OG0005552	K25770
OG0005553	K03320
OG0005554	K12387
OG0005556	K22790
OG0005557	K04142
OG0005558	K21798
OG0005559	K07933
OG0005560	K23720
OG0005561	K17428
OG0005563	K17963
OG0005564	K14455
OG0005566	K28042
OG0005568	K20020
OG0005569	K17603
OG0005570	K03233
OG0005571	K17430
OG0005573	K23532
OG0005574	K22366
OG0005576	K01217
OG0005577	K13151
OG0005578	K17509
OG0005579	K14416
OG0005580	K11801
OG0005581	K28051
OG0005582	K28051
OG0005587	K13509
OG0005587	K00655
OG0005588	K24229
OG0005591	K13219
OG0005593	K12186
OG0005594	K10272
OG0005595	K20235
OG0005596	K03679
OG0005597	K15377
OG0005600	K03593
OG0005601	K14409
