module	lambda.min	coef	absCoef	module_name	中文名	category_C	category_B	label
M00973	0.400246674944221	0.400246674944221	0.400246674944221	Anammox, nitrite + ammonia => nitrogen	厌氧氨氧化,亚硝酸盐+氨→氮气	Nitrogen metabolism	Energy metabolism	M00973:Anammox
M00985	0.327488565445156	0.327488565445156	0.327488565445156	Sulfide oxidation, sulfide => sulfur	硫化氢的氧化,硫化氢→硫	Sulfur metabolism	Energy metabolism	M00985:Sulfide oxidation
ko00930	0.269897260883091	0.269897260883091	0.269897260883091	Caprolactam degradation	己内酰胺的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	ko00930:Caprolactam DEG.
M00417	0.250243866917704	0.250243866917704	0.250243866917704	Cytochrome o ubiquinol oxidase	细胞色素o泛醌氧化酶	ATP synthesis	Energy metabolism	M00417:Cytochrome o ubiquinol OXID.
M00537	0.229576978342265	0.229576978342265	0.229576978342265	Xylene degradation, xylene => methylbenzoate	二甲苯的降解,二甲苯→甲基苯甲酸	Aromatics degradation	Xenobiotics biodegradation	M00537:Xylene DEG.
M00136	0.227591214079731	0.227591214079731	0.227591214079731	GABA biosynthesis, prokaryotes, putrescine => GABA	GABA的生物合成,原核生物,腐胺→GABA	Polyamine biosynthesis	Amino acid metabolism	M00136:GABA SYN.
ko00401	0.188188664231456	0.188188664231456	0.188188664231456	Novobiocin biosynthesis	新霉素的生物合成	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites	ko00401:Novobiocin SYN.
ko00902	0.183639274580459	0.183639274580459	0.183639274580459	Monoterpenoid biosynthesis	单萜类化合物的生物合成	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	ko00902:Monoterpenoid SYN.
ko00643	0.124807096309551	0.124807096309551	0.124807096309551	Styrene degradation	苯乙烯的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	ko00643:Styrene DEG.
M00616	0.0971433413820716	0.0971433413820716	0.0971433413820716	Sulfate-sulfur assimilation	硫酸盐-硫同化	Metabolic capacity	Metabolic capacity	M00616:Sulfate-sulfur assimilation
M00091	-0.0725683444055275	-0.0725683444055275	0.0725683444055275	Phosphatidylcholine (PC) biosynthesis, PE => PC	磷脂酰胆碱(PC)的生物合成,PE→PC	Lipid metabolism	Lipid metabolism	M00091:Phosphatidylcholine (PC) SYN.
M00730	-0.252789072454063	-0.252789072454063	0.252789072454063	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	阳离子抗菌肽(CAMP)耐药性,VraFG转运蛋白	Drug resistance	Drug resistance	M00730:Cationic antimicrobial peptide (CAMP) RES.
M00609	-0.516284475896346	-0.516284475896346	0.516284475896346	Cysteine biosynthesis, methionine => cysteine	半胱氨酸的生物合成,甲硫氨酸→半胱氨酸	Cysteine and methionine metabolism	Amino acid metabolism	M00609:Cysteine SYN.
M00651	-0.570324223069722	-0.570324223069722	0.570324223069722	Vancomycin resistance, D-Ala-D-Lac type	万古霉素耐药性,D-丙氨酰-D-乳酸型	Drug resistance	Drug resistance	M00651:Vancomycin RES.
M00705	-0.77147259616377	-0.77147259616377	0.77147259616377	Multidrug resistance, efflux pump MepA	多药耐药性,外排泵MepA	Drug resistance	Drug resistance	M00705:Multidrug RES.
M00570	-0.888146131721378	-0.888146131721378	0.888146131721378	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	异亮氨酸的生物合成,苏氨酸→α-酮丁酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00570:Isoleucine SYN.
M00636	-0.888281202195238	-0.888281202195238	0.888281202195238	Phthalate degradation, phthalate => protocatechuate	邻苯二甲酸的降解,邻苯二甲酸→原儿茶酸	Aromatics degradation	Xenobiotics biodegradation	M00636:Phthalate DEG.
M00019	-0.991351385420854	-0.991351385420854	0.991351385420854	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	缬氨酸/异亮氨酸的生物合成,丙酮酸→缬氨酸/2-氧戊酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00019:Valine/isoleucine SYN.
M00535	-1.42570085818175	-1.42570085818175	1.42570085818175	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	异亮氨酸的生物合成,丙酮酸→α-酮丁酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00535:Isoleucine SYN.
M00119	-1.47209699380242	-1.47209699380242	1.47209699380242	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	泛酸的生物合成,缬氨酸/L-天冬氨酸→泛酸	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	M00119:Pantothenate SYN.
M00432	-1.49493335037905	-1.49493335037905	1.49493335037905	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	缬氨酸的生物合成,α-酮异戊酸→α-酮异己酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00432:Leucine SYN.
