module	module_name	中文名	category_C	category_B	
M00415	Fatty acid elongation in endoplasmic reticulum	内质网中的脂肪酸延伸	Fatty acid metabolism	Lipid metabolism	
M00830	Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	新癌菌素萘酸基团的生物合成,丙二酰辅酶A→2-羟基-5-甲基-1-萘酸→2-羟基-7-甲氧基-5-甲基-1-萘酰-CoA	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides	
M00027	GABA (gamma-Aminobutyrate) shunt	GABA(γ-氨基丁酸)旁路	Other amino acid metabolism	Amino acid metabolism	
ko02010	ABC transporters	ABC转运蛋白	Membrane transport	Membrane transport	
M00984	Sulfur oxidation, tetrathionate intermediate (S4I) pathway, thiosulfate => sulfur + sulfate + thiosulfate	硫氧化,四硫代硫酸盐中间体(S4I)途径,硫代硫酸盐→硫+硫酸盐+硫代硫酸盐	Sulfur metabolism	Energy metabolism	
M00780	Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline	四环素/氧四环素的生物合成,前四环素酰胺→四环素/氧四环素	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides	
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	赖氨酸的生物合成,DAP转氨酶途径,天冬氨酸→赖氨酸	Lysine metabolism	Amino acid metabolism	
M00149	Succinate dehydrogenase, prokaryotes	琥珀酸脱氢酶,原核生物	ATP synthesis	Energy metabolism	
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	磷脂酰乙醇胺(PE)的生物合成,PA→PS→PE	Lipid metabolism	Lipid metabolism	
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	倍半萜类和三萜类化合物的生物合成	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	D-葡萄糖醛酸的降解,D-葡萄糖醛酸→丙酮酸+D-甘油醛-3P	Other carbohydrate metabolism	Carbohydrate metabolism	
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	赖氨酸的生物合成,DAP脱氢酶途径,天冬氨酸→赖氨酸	Lysine metabolism	Amino acid metabolism	
M00537	Xylene degradation, xylene => methylbenzoate	二甲苯的降解,二甲苯→甲基苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00538	Toluene degradation, toluene => benzoate	甲苯的降解,甲苯→苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	酪氨酸途径,磷酸烯醇式丙酮酸+赤藓糖-4P→预苯酸	Aromatic amino acid metabolism	Amino acid metabolism	
ko01053	Biosynthesis of siderophore group nonribosomal peptides	铁载体类非核糖体肽的生物合成	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00530	Dissimilatory nitrate reduction, nitrate => ammonia	异化硝酸盐还原,硝酸盐→氨	Nitrogen metabolism	Energy metabolism	
M00154	Cytochrome c oxidase	细胞色素c氧化酶	ATP synthesis	Energy metabolism	
M00531	Assimilatory nitrate reduction, nitrate => ammonia	同化硝酸盐还原,硝酸盐→氨	Nitrogen metabolism	Energy metabolism	
M00916	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	吡哆醛-P的生物合成,R5P+3-磷酸甘油醛+谷氨酰胺→吡哆醛-P	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00852	Vibrio cholerae pathogenicity signature, toxin coregulated pilus	霍乱弧菌致病性特征,毒素共调控菌毛	Pathogenicity	Pathogenicity	
ko00982	Drug metabolism - cytochrome P450	药物代谢--细胞色素P450	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff途径,葡萄糖-6P→甘油醛-3P+丙酮酸	Central carbohydrate metabolism	Carbohydrate metabolism	
M00956	Lysine degradation, bacteria, L-lysine => succinate	赖氨酸的降解,细菌,L-赖氨酸→琥珀酸	Lysine metabolism	Amino acid metabolism	
M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island	幽门螺杆菌致病性特征,cagA致病岛	Pathogenicity	Pathogenicity	
M00118	Glutathione biosynthesis, glutamate => glutathione	谷胱甘肽的生物合成,谷氨酸→谷胱甘肽	Other amino acid metabolism	Amino acid metabolism	
M00417	Cytochrome o ubiquinol oxidase	细胞色素o泛醌氧化酶	ATP synthesis	Energy metabolism	
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	C4-二羧酸循环,NADP-苹果酸酶型	Carbon fixation	Energy metabolism	
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	C4-二羧酸循环,磷酸烯醇式丙酮酸羧激酶型	Carbon fixation	Energy metabolism	
M00918	Aerobactin biosynthesis, lysine => aerobactin	空肠杆菌素的生物合成,赖氨酸→空肠杆菌素	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	C4-二羧酸循环,NAD-苹果酸酶型	Carbon fixation	Energy metabolism	
M00168	CAM (Crassulacean acid metabolism), dark	CAM(景天酸代谢),黑暗	Carbon fixation	Energy metabolism	
M00704	Tetracycline resistance, efflux pump Tet38	四环素耐药性,外排泵Tet38	Drug resistance	Drug resistance	
ko00980	Metabolism of xenobiotics by cytochrome P450	细胞色素P450对外源物质的代谢	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00811	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	烟碱的降解,吡咯烷途径,烟碱→琥珀酸半醛	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00823	Chlortetracycline biosynthesis, pretetramide => chlortetracycline	氯四环素的生物合成,前四环素酰胺→氯四环素	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides	
M00101	Cholesterol biosynthesis, FPP => cholesterol	胆固醇的生物合成,FPP→胆固醇	Sterol biosynthesis	Lipid metabolism	
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	马龙酸半醛途径,丙酰辅酶A→乙酰辅酶A	Other carbohydrate metabolism	Carbohydrate metabolism	
M00002	Glycolysis, core module involving three-carbon compounds	糖酵解,涉及三碳化合物的核心模块	Central carbohydrate metabolism	Carbohydrate metabolism	
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	儿茶酚胺的生物合成,酪氨酸→多巴→去甲肾上腺素→肾上腺素	Aromatic amino acid metabolism	Amino acid metabolism	
M00614	Anoxygenic photosynthesis in green sulfur bacteria	绿硫细菌中的非产氧光合作用	Metabolic capacity	Metabolic capacity	
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	还原型柠檬酸循环(Arnon-Buchanan循环)	Carbon fixation	Energy metabolism	
M00923	UDP-L-FucNAm biosynthesis, UDP-GlcNAc => UDP-L-FucNAm	UDP-L-FucNAm的生物合成,UDP-GlcNAc→UDP-L-FucNAm	Other carbohydrate metabolism	Carbohydrate metabolism	
M00082	Fatty acid biosynthesis, initiation	脂肪酸的生物合成,起始阶段	Fatty acid metabolism	Lipid metabolism	
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	糖异生,草酰乙酸→果糖-6P	Central carbohydrate metabolism	Carbohydrate metabolism	
ko03060	Protein export	蛋白质输出	Folding, sorting and degradation	Genetic Information Processing	
M00142	NADH:ubiquinone oxidoreductase, mitochondria	NADH:泛醌氧化还原酶,线粒体	ATP synthesis	Energy metabolism	
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	半胱氨酸的生物合成,同型半胱氨酸+丝氨酸→半胱氨酸	Cysteine and methionine metabolism	Amino acid metabolism	
ko03020	RNA polymerase	RNA聚合酶	Transcription	Genetic Information Processing	
M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	苯甲酸的降解,环己烷羧酸→槁酸辅酶A	Aromatics degradation	Xenobiotics biodegradation	
M00542	EHEC/EPEC pathogenicity signature, T3SS and effectors	EHEC/EPEC致病性特征,T3SS和效应子	Pathogenicity	Pathogenicity	
M00896	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	硫胺素的生物合成,古菌,AIR(+NAD+)→TMP/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	甲烷生成,甲基胺/二甲基胺/三甲基胺→甲烷	Methane metabolism	Energy metabolism	
M00903	Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin	磷霉素的生物合成,磷酸烯醇式丙酮酸→磷霉素	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	C5异戊二烯的生物合成,非甲羟戊酸途径	Terpenoid backbone biosynthesis	Biosynthesis of terpenoids and polyketides	
M00015	Proline biosynthesis, glutamate => proline	脯氨酸的生物合成,谷氨酸→脯氨酸	Arginine and proline metabolism	Amino acid metabolism	
M00035	Methionine degradation	甲硫氨酸的降解	Cysteine and methionine metabolism	Amino acid metabolism	
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	嘧啶的降解,尿嘧啶→β-丙氨酸,胸嘧啶→3-氨基异丁酸	Pyrimidine metabolism	Nucleotide metabolism	
ko03018	RNA degradation	RNA降解	Folding, sorting and degradation	Genetic Information Processing	
M00532	Photorespiration	光呼吸	Other carbohydrate metabolism	Carbohydrate metabolism	
M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors	黄单胞菌致病性特征,T3SS和效应子	Pathogenicity	Pathogenicity	
M00898	Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	硫胺素的生物合成,吡哆醛-5P→TMP/硫胺素/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00876	Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A	葡萄球菌铁载体A的生物合成,L-鸟氨酸→葡萄球菌铁载体A	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	丙酰辅酶A的代谢,丙酰辅酶A→琥珀酰辅酶A	Other carbohydrate metabolism	Carbohydrate metabolism	
M00021	Cysteine biosynthesis, serine => cysteine	半胱氨酸的生物合成,丝氨酸→半胱氨酸	Cysteine and methionine metabolism	Amino acid metabolism	
M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	钼辅因子的生物合成,GTP→钼辅因子	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00990	Dimethylsulfoniopropionate (DMSP) degradation, demethylation pathway, DMSP => methanethiol	二甲基硫代丙酸(DMSP)的降解,脱甲基途径,DMSP→甲硫醇	Sulfur metabolism	Energy metabolism	
M00973	Anammox, nitrite + ammonia => nitrogen	厌氧氨氧化,亚硝酸盐+氨→氮气	Nitrogen metabolism	Energy metabolism	
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	不完全还原型柠檬酸循环,乙酰辅酶A→α-酮戊二酸	Carbon fixation	Energy metabolism	
M00958	Adenine ribonucleotide degradation, AMP => Urate	腺嘌呤核糖核苷酸的降解,AMP→尿酸	Purine metabolism	Nucleotide metabolism	
M00356	Methanogenesis, methanol => methane	甲烷生成,甲醇→甲烷	Methane metabolism	Energy metabolism	
M00697	Multidrug resistance, efflux pump MdtEF-TolC	多药耐药性,外排泵MdtEF-TolC	Drug resistance	Drug resistance	
M00378	F420 biosynthesis, archaea	F420的生物合成,古菌	Methane metabolism	Energy metabolism	
ko03010	Ribosome	核糖体	Translation	Genetic Information Processing	
M00836	Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430	辅酶F430的生物合成,sirohydrochlorin→辅酶F430	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00044	Tyrosine degradation, tyrosine => homogentisate	酪氨酸的降解,酪氨酸→同型尿黑酸	Aromatic amino acid metabolism	Amino acid metabolism	
ko03430	Mismatch repair	错配修复	Replication and repair	Genetic Information Processing	
M00959	Guanine ribonucleotide degradation, GMP => Urate	鸟嘌呤核糖核苷酸的降解,GMP→尿酸	Purine metabolism	Nucleotide metabolism	
M00844	Arginine biosynthesis, ornithine => arginine	精氨酸的生物合成,鸟氨酸→精氨酸	Arginine and proline metabolism	Amino acid metabolism	
M00100	Sphingosine degradation	鞘氨醇的降解	Lipid metabolism	Lipid metabolism	
M00914	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	辅酶A的生物合成,古菌,α-酮异戊酸→4-磷酸泛酰巯基乙胺→CoA	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
ko03030	DNA replication	DNA复制	Replication and repair	Genetic Information Processing	
M00740	Methylaspartate cycle	甲基天冬氨酸循环	Other carbohydrate metabolism	Carbohydrate metabolism	
M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	UDP-N-乙酰-D-葡萄糖胺的生物合成,原核生物,葡萄糖→UDP-GlcNAc	Other carbohydrate metabolism	Carbohydrate metabolism	
ko00514	Other types of O-glycan biosynthesis	其他类型O-糖苷的生物合成	Glycan biosynthesis and metabolism	Glycan metabolism	
M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	完全硝化作用,comammox,氨→亚硝酸盐→硝酸盐	Nitrogen metabolism	Energy metabolism	
M00374	Dicarboxylate-hydroxybutyrate cycle	二羧酸-羟基丁酸循环	Carbon fixation	Energy metabolism	
M00796	dTDP-D-mycaminose biosynthesis	dTDP-D-麦芽庚糖的生物合成	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides	
M00617	Methanogen	甲烷生成菌	Metabolic capacity	Metabolic capacity	
M00357	Methanogenesis, acetate => methane	甲烷生成,乙酸→甲烷	Methane metabolism	Energy metabolism	
M00159	V/A-type ATPase, prokaryotes	V/A型ATP酶,原核生物	ATP synthesis	Energy metabolism	
M00883	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	二硫辛酸的生物合成,动物和细菌,辛酰-ACP→二氢二硫辛酸-H→二氢二硫辛酸-E2	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00151	Cytochrome bc1 complex respiratory unit	细胞色素bc1复合体呼吸单元	ATP synthesis	Energy metabolism	
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	缬氨酸的降解,缬氨酸→乙酰乙酸+乙酰辅酶A	Branched-chain amino acid metabolism	Amino acid metabolism	
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	丙酮酸的氧化,丙酮酸→乙酰辅酶A	Central carbohydrate metabolism	Carbohydrate metabolism	
M00567	Methanogenesis, CO2 => methane	甲烷生成,CO2→甲烷	Methane metabolism	Energy metabolism	
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	嘌呤的从头合成,PRPP+谷氨酰胺→IMP	Purine metabolism	Nucleotide metabolism	
M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	糖原的生物合成,葡萄糖-1P→糖原/淀粉	Other carbohydrate metabolism	Carbohydrate metabolism	
M00026	Histidine biosynthesis, PRPP => histidine	组氨酸的生物合成,PRPP→组氨酸	Histidine metabolism	Amino acid metabolism	
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	海藻糖的生物合成,D-葡萄糖-1P→海藻糖	Other carbohydrate metabolism	Carbohydrate metabolism	
M00978	Ornithine-ammonia cycle	鸟氨酸-氨循环	Arginine and proline metabolism	Amino acid metabolism	
M00855	Glycogen degradation, glycogen => glucose-6P	糖原的降解,糖原→葡萄糖-6P	Other carbohydrate metabolism	Carbohydrate metabolism	
ko00970	Aminoacyl-tRNA biosynthesis	氨酰-tRNA的生物合成	Translation	Genetic Information Processing	
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene	β-胡萝卜素的生物合成,GGAP→β-胡萝卜素	Plant terpenoid biosynthesis	Biosynthesis of terpenoids and polyketides	
M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	核糖核苷酸的生物合成,葡萄糖→UDP-葡萄糖	Other carbohydrate metabolism	Carbohydrate metabolism	
M00623	Phthalate degradation, phthalate => protocatechuate	邻苯二甲酸的降解,邻苯二甲酸→原儿茶酸	Aromatics degradation	Xenobiotics biodegradation	
M00867	KDO2-lipid A modification pathway	KDO2-脂质A修饰途径	Lipopolysaccharide metabolism	Glycan metabolism	
ko01052	Type I polyketide structures	I型聚酮结构	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00081	Pectin degradation	果胶的降解	Other carbohydrate metabolism	Carbohydrate metabolism	
M00063	CMP-3-deoxy-D-manno-octulosonate biosynthesis, ribulose-5P => CMP-KDO	CMP-3-脱氧-D-甘露糖辛酮酸的生物合成,核糖-5P→CMP-KDO	Lipopolysaccharide metabolism	Glycan metabolism	
M00065	GPI-anchor biosynthesis, core oligosaccharide	GPI锚的生物合成,核心寡糖	Glycan biosynthesis	Glycan metabolism	
M00853	ETEC pathogenicity signature, colonization factors	ETEC致病性特征,黏附因子	Pathogenicity	Pathogenicity	
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	肌醇磷酸的代谢,PI→PIP2→Ins(1,4,5)P3→Ins(1,3,4,5)P4	Other carbohydrate metabolism	Carbohydrate metabolism	
M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate	嘧啶的降解,尿嘧啶→3-羟基丙酸	Pyrimidine metabolism	Nucleotide metabolism	
M00798	dTDP-L-mycarose biosynthesis	dTDP-L-麦芽庚糖的生物合成	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides	
M00078	Heparan sulfate degradation	肝素硫酸盐的降解	Glycosaminoglycan metabolism	Glycan metabolism	
M00077	Chondroitin sulfate degradation	软骨素硫酸盐的降解	Glycosaminoglycan metabolism	Glycan metabolism	
M00627	beta-Lactam resistance, Bla system	β-内酰胺耐药性,Bla系统	Drug resistance	Drug resistance	
M00899	Thiamine salvage pathway, HMP/HET => TMP	硫胺素补救途径,HMP/HET→TMP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	KDO2-脂质A的生物合成,Raetz途径,LpxL-LpxM型	Lipopolysaccharide metabolism	Glycan metabolism	
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	抗坏血酸的降解,抗坏血酸→D-木酮糖-5P	Other carbohydrate metabolism	Carbohydrate metabolism	
M00075	N-glycan biosynthesis, complex type	N-糖链的生物合成,复杂型	Glycan biosynthesis	Glycan metabolism	
M00076	Dermatan sulfate degradation	皮肤素硫酸盐的降解	Glycosaminoglycan metabolism	Glycan metabolism	
M00014	Glucuronate pathway (uronate pathway)	葡糖醛酸途径(尿酸途径)	Other carbohydrate metabolism	Carbohydrate metabolism	
M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	D-半乳糖醛酸的降解,DeLey-Doudoroff途径,D-半乳糖醛酸→3-磷酸甘油酸	Other carbohydrate metabolism	Carbohydrate metabolism	
M00705	Multidrug resistance, efflux pump MepA	多药耐药性,外排泵MepA	Drug resistance	Drug resistance	
M00730	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	阳离子抗菌肽(CAMP)耐药性,VraFG转运蛋白	Drug resistance	Drug resistance	
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	KDO2-脂质A的生物合成,Raetz途径,非LpxL-LpxM型	Lipopolysaccharide metabolism	Glycan metabolism	
M00847	Heme biosynthesis, archaea, siroheme => heme	血红素的生物合成,古菌,siro血红素→血红素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
ko01054	Nonribosomal peptide structures	非核糖体肽的结构	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	儿茶酚的间位裂解,儿茶酚→乙酰辅酶A/4-甲基儿茶酚→丙酰辅酶A	Aromatics degradation	Xenobiotics biodegradation	
ko02040	Flagellar assembly	鞭毛的组装	Cell motility	Bacterial sensing and chemotaxis	
M00163	Photosystem I	光系统I	Photosynthesis	Energy metabolism	
M00814	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	阿卡波糖的生物合成,七碳糖-7P→阿卡波糖	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
ko00542	O-Antigen repeat unit biosynthesis	O-抗原重复单元的生物合成	Glycan biosynthesis and metabolism	Glycan metabolism	
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	半磷酸化Entner-Doudoroff途径,葡萄糖酸→3-磷酸甘油酸	Central carbohydrate metabolism	Carbohydrate metabolism	
M00702	Multidrug resistance, efflux pump NorB	多药耐药性,外排泵NorB	Drug resistance	Drug resistance	
M00072	N-glycosylation by oligosaccharyltransferase	寡糖基转移酶介导的N-糖基化	Glycan biosynthesis	Glycan metabolism	
M00416	Cytochrome aa3-600 menaquinol oxidase	细胞色素aa3-600甲萘醌氧化酶	ATP synthesis	Energy metabolism	
M00161	Photosystem II	光系统II	Photosynthesis	Energy metabolism	
M00803	dTDP-D-angolosamine biosynthesis	dTDP-D-安哥洛糖的生物合成	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides	
M00838	Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin	十一碳产物红素的生物合成,L-脯氨酸→十一碳产物红素	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
ko00633	Nitrotoluene degradation	硝基甲苯的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00029	Urea cycle	尿素循环	Arginine and proline metabolism	Amino acid metabolism	
M00877	Kanosamine biosynthesis, glucose 6-phosphate => kanosamine	卡那糖的生物合成,葡萄糖-6-磷酸→卡那糖	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	
M00344	Formaldehyde assimilation, xylulose monophosphate pathway	甲醛的同化,木糖单磷酸途径	Methane metabolism	Energy metabolism	
M00800	dTDP-L-megosamine biosynthesis	dTDP-L-梅戈糖的生物合成	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides	
M00162	Cytochrome b6f complex	细胞色素b6f复合体	ATP synthesis	Energy metabolism	
M00797	dTDP-D-desosamine biosynthesis	dTDP-D-脱氧岩藻糖的生物合成	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides	
M00150	Fumarate reductase, prokaryotes	富马酸还原酶,原核生物	ATP synthesis	Energy metabolism	
M00642	Multidrug resistance, efflux pump MexJK-OprM	多药耐药性,外排泵MexJK-OprM	Drug resistance	Drug resistance	
M00718	Multidrug resistance, efflux pump MexAB-OprM	多药耐药性,外排泵MexAB-OprM	Drug resistance	Drug resistance	
M00815	Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A	伐地霉素A的生物合成,七碳糖-7P→伐地霉素A	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	
M00596	Dissimilatory sulfate reduction, sulfate => H2S	异化硫酸盐还原,硫酸盐→H2S	Sulfur metabolism	Energy metabolism	
M00153	Cytochrome bd ubiquinol oxidase	细胞色素bd泛醌氧化酶	ATP synthesis	Energy metabolism	
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	缬氨酸的生物合成,α-酮异戊酸→α-酮异己酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00856	Salmonella enterica pathogenicity signature, typhoid toxin	伤寒沙门氏菌致病性特征,伤寒毒素	Pathogenicity	Pathogenicity	
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	新霉素,卡那霉素和庆大霉素的生物合成	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites	
ko00365	Furfural degradation	呋喃甲醛的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	NAD(P)H:醌氧化还原酶,叶绿体和蓝细菌	ATP synthesis	Energy metabolism	
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	异亮氨酸的生物合成,丙酮酸→α-酮丁酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	缬氨酸/异亮氨酸的生物合成,丙酮酸→缬氨酸/2-氧戊酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	异亮氨酸的生物合成,苏氨酸→α-酮丁酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	
