module	module_name	中文名	category_C	category_B	
M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	戊糖双磷酸途径(核苷酸降解),古菌,核苷/NMP→3-PGA/甘油酮磷酸	Other carbohydrate metabolism	Carbohydrate metabolism	
M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	赖氨酸的生物合成,由LysW介导,2-氨基己二酸→赖氨酸	Lysine metabolism	Amino acid metabolism	
M00769	Multidrug resistance, efflux pump MexPQ-OpmE	多药耐药性,外排泵MexPQ-OpmE	Drug resistance	Drug resistance	
M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	2-氧羧酸链延伸,2-氧戊二酸→2-氧己二酸→2-氧庚二酸→2-氧辛二酸	Methane metabolism	Energy metabolism	
M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	甲烷生成,甲基胺/二甲基胺/三甲基胺→甲烷	Methane metabolism	Energy metabolism	
M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	乙酰辅酶A途径,CO2→乙酰辅酶A	Methane metabolism	Energy metabolism	
M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	鸟氨酸的生物合成,由LysW介导,谷氨酸→鸟氨酸	Arginine and proline metabolism	Amino acid metabolism	
M00433	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	赖氨酸的生物合成,α-酮戊二酸→α-酮己二酸	Lysine metabolism	Amino acid metabolism	
M00358	Coenzyme M biosynthesis	辅酶M的生物合成	Methane metabolism	Energy metabolism	
M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	苯甲酰辅酶A的降解,苯甲酰辅酶A→3-羟基枯酸辅酶A	Aromatics degradation	Xenobiotics biodegradation	
ko00542	O-Antigen repeat unit biosynthesis	O-抗原重复单元的生物合成	Glycan biosynthesis and metabolism	Glycan metabolism	
M00168	CAM (Crassulacean acid metabolism), dark	CAM(景天酸代谢),黑暗	Carbon fixation	Energy metabolism	
M00726	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	阳离子抗菌肽(CAMP)耐药性,赖氨酰-磷脂酰甘油(L-PG)合成酶MprF	Drug resistance	Drug resistance	
M00950	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	生物素的生物合成,BioU途径,pimeloyl-ACP/CoA→生物素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00065	GPI-anchor biosynthesis, core oligosaccharide	GPI锚的生物合成,核心寡糖	Glycan biosynthesis	Glycan metabolism	
M00837	Prodigiosin biosynthesis, L-proline => prodigiosin	产物红素的生物合成,L-脯氨酸→产物红素	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	C4-二羧酸循环,磷酸烯醇式丙酮酸羧激酶型	Carbon fixation	Energy metabolism	
M00643	Multidrug resistance, efflux pump MexXY-OprM	多药耐药性,外排泵MexXY-OprM	Drug resistance	Drug resistance	
M00023	Tryptophan biosynthesis, chorismate => tryptophan	色氨酸的生物合成,预苯酸→色氨酸	Aromatic amino acid metabolism	Amino acid metabolism	
M00877	Kanosamine biosynthesis, glucose 6-phosphate => kanosamine	卡那糖的生物合成,葡萄糖-6-磷酸→卡那糖	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	
M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	维生素B12的生物合成,厌氧,尿卟啉原III→sirohydrochlorin→cobyrinatea,c-二胺	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
ko02060	Phosphotransferase system (PTS)	磷酸转移酶系统(PTS)	Membrane transport	Membrane transport	
M00805	Staurosporine biosynthesis, tryptophan => staurosporine	staurosporine的生物合成,色氨酸→staurosporine	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00344	Formaldehyde assimilation, xylulose monophosphate pathway	甲醛的同化,木糖单磷酸途径	Methane metabolism	Energy metabolism	
M00144	NADH:quinone oxidoreductase, prokaryotes	NADH:醌氧化还原酶,原核生物	ATP synthesis	Energy metabolism	
ko01054	Nonribosomal peptide structures	非核糖体肽的结构	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff途径,葡萄糖-6P→甘油醛-3P+丙酮酸	Central carbohydrate metabolism	Carbohydrate metabolism	
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	磷脂酰乙醇胺(PE)的生物合成,PA→PS→PE	Lipid metabolism	Lipid metabolism	
ko00791	Atrazine degradation	西玛津的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	C4-二羧酸循环,NADP-苹果酸酶型	Carbon fixation	Energy metabolism	
ko03450	Non-homologous end-joining	非同源末端连接	Replication and repair	Genetic Information Processing	
ko00440	Phosphonate and phosphinate metabolism	磷酸盐和膦酸盐的代谢	Other amino acid metabolism	Amino acid metabolism	
M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	儿茶酚的邻位裂解,儿茶酚→3-氧代己二酸	Aromatics degradation	Xenobiotics biodegradation	
M00852	Vibrio cholerae pathogenicity signature, toxin coregulated pilus	霍乱弧菌致病性特征,毒素共调控菌毛	Pathogenicity	Pathogenicity	
M00076	Dermatan sulfate degradation	皮肤素硫酸盐的降解	Glycosaminoglycan metabolism	Glycan metabolism	
M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	四氢叶酸的生物合成,由ribA和trpF介导,GTP→THF	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00802	dTDP-D-forosamine biosynthesis	dTDP-D-佛罗糖的生物合成	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides	
M00967	Flavone degradation, luteolin/apigenin => DHCA/phloretate	黄酮的降解,木犀草素/芹菜素→DHCA/根皮苷	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites	
M00078	Heparan sulfate degradation	肝素硫酸盐的降解	Glycosaminoglycan metabolism	Glycan metabolism	
M00985	Sulfide oxidation, sulfide => sulfur	硫化氢的氧化,硫化氢→硫	Sulfur metabolism	Energy metabolism	
M00705	Multidrug resistance, efflux pump MepA	多药耐药性,外排泵MepA	Drug resistance	Drug resistance	
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	D-葡萄糖醛酸的降解,D-葡萄糖醛酸→丙酮酸+D-甘油醛-3P	Other carbohydrate metabolism	Carbohydrate metabolism	
M00790	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin	吡咯菌素的生物合成,色氨酸→吡咯菌素	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00992	Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acrylate => acetyl-CoA	二甲基硫代丙酸(DMSP)的降解,裂解途径,DMSP→丙烯酸→乙酰辅酶A	Sulfur metabolism	Energy metabolism	
M00867	KDO2-lipid A modification pathway	KDO2-脂质A修饰途径	Lipopolysaccharide metabolism	Glycan metabolism	
ko03015	mRNA surveillance pathway	mRNA监控途径	Translation	Genetic Information Processing	
M00930	Menaquinone biosynthesis, futalosine pathway	甲萘醌的生物合成,futalosine途径	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00853	ETEC pathogenicity signature, colonization factors	ETEC致病性特征,黏附因子	Pathogenicity	Pathogenicity	
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	抗坏血酸的降解,抗坏血酸→D-木酮糖-5P	Other carbohydrate metabolism	Carbohydrate metabolism	
M00983	GPI-anchor remodeling	GPI锚的重塑	Glycan biosynthesis	Glycan metabolism	
M00825	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	10元环烯二炔核心的生物合成,丙二酰辅酶A→3-羟基十六碳-4,6,8,10,12,14-六烯酰-ACP→10元环烯二炔核心	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides	
M00081	Pectin degradation	果胶的降解	Other carbohydrate metabolism	Carbohydrate metabolism	
M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	生物素的生物合成,BioW途径,棕榈酸→棕榈酰-CoA→生物素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
ko01051	Biosynthesis of ansamycins	鞘氨醇类抗生素的生物合成	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	D-半乳糖醛酸的降解(细菌),D-半乳糖醛酸→丙酮酸+D-甘油醛-3P	Other carbohydrate metabolism	Carbohydrate metabolism	
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	泛酸的生物合成,α-酮异戊酸/精胺→泛酸	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00415	Fatty acid elongation in endoplasmic reticulum	内质网中的脂肪酸延伸	Fatty acid metabolism	Lipid metabolism	
M00823	Chlortetracycline biosynthesis, pretetramide => chlortetracycline	氯四环素的生物合成,前四环素酰胺→氯四环素	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides	
M00951	Cremeomycin biosynthesis, aspartate/3,4-AHBA => cremeomycin	克雷莫霉素的生物合成,天冬氨酸/3,4-AHBA→克雷莫霉素	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	赖氨酸的生物合成,DAP脱氢酶途径,天冬氨酸→赖氨酸	Lysine metabolism	Amino acid metabolism	
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	戊糖磷酸途径,非氧化阶段,果糖-6P→核糖-5P	Central carbohydrate metabolism	Carbohydrate metabolism	
M00903	Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin	磷霉素的生物合成,磷酸烯醇式丙酮酸→磷霉素	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	
M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	嘧啶的从头合成,谷氨酰胺(+PRPP)→UMP	Pyrimidine metabolism	Nucleotide metabolism	
M00364	C10-C20 isoprenoid biosynthesis, bacteria	C10-C20异戊二烯的生物合成,细菌	Terpenoid backbone biosynthesis	Biosynthesis of terpenoids and polyketides	
ko00980	Metabolism of xenobiotics by cytochrome P450	细胞色素P450对外源物质的代谢	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	柠檬酸循环,第一个碳的氧化,草酰乙酸→α-酮戊二酸	Central carbohydrate metabolism	Carbohydrate metabolism	
M00888	Galactofuranan biosynthesis, decaprenyl phosphate + UDP-GlcNAc (+ dTDP-Rha/UDP-Galf) => GL-5	半乳呋喃聚糖的生物合成,十碳异戊二烯磷酸+UDP-GlcNAc(+dTDP-Rha/UDP-Galf)→GL-5	Other polysaccharide metabolism	Glycan metabolism	
M00883	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	二硫辛酸的生物合成,动物和细菌,辛酰-ACP→二氢二硫辛酸-H→二氢二硫辛酸-E2	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00841	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	四氢叶酸的生物合成,由PTPS介导,GTP→THF	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00026	Histidine biosynthesis, PRPP => histidine	组氨酸的生物合成,PRPP→组氨酸	Histidine metabolism	Amino acid metabolism	
M00126	Tetrahydrofolate biosynthesis, GTP => THF	四氢叶酸的生物合成,GTP→THF	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00373	Ethylmalonyl pathway	乙基丙二酰途径	Other carbohydrate metabolism	Carbohydrate metabolism	
M00378	F420 biosynthesis, archaea	F420的生物合成,古菌	Methane metabolism	Energy metabolism	
M00154	Cytochrome c oxidase	细胞色素c氧化酶	ATP synthesis	Energy metabolism	
M00100	Sphingosine degradation	鞘氨醇的降解	Lipid metabolism	Lipid metabolism	
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	组氨酸的降解,组氨酸→N-甲酰基亚氨基谷氨酸→谷氨酸	Histidine metabolism	Amino acid metabolism	
M00616	Sulfate-sulfur assimilation	硫酸盐-硫同化	Metabolic capacity	Metabolic capacity	
M00151	Cytochrome bc1 complex respiratory unit	细胞色素bc1复合体呼吸单元	ATP synthesis	Energy metabolism	
M00956	Lysine degradation, bacteria, L-lysine => succinate	赖氨酸的降解,细菌,L-赖氨酸→琥珀酸	Lysine metabolism	Amino acid metabolism	
M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	钼辅因子的生物合成,GTP→钼辅因子	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	丙酮酸的氧化,丙酮酸→乙酰辅酶A	Central carbohydrate metabolism	Carbohydrate metabolism	
M00120	Coenzyme A biosynthesis, pantothenate => CoA	辅酶A的生物合成,泛酸→CoA	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	缬氨酸的降解,缬氨酸→乙酰乙酸+乙酰辅酶A	Branched-chain amino acid metabolism	Amino acid metabolism	
M00960	Lysine degradation, bacteria, L-lysine => D-lysine => succinate	赖氨酸的降解,细菌,L-赖氨酸→D-赖氨酸→琥珀酸	Lysine metabolism	Amino acid metabolism	
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	反式肉桂酸的降解,反式肉桂酸→乙酰辅酶A	Aromatics degradation	Xenobiotics biodegradation	
ko00514	Other types of O-glycan biosynthesis	其他类型O-糖苷的生物合成	Glycan biosynthesis and metabolism	Glycan metabolism	
M00176	Assimilatory sulfate reduction, sulfate => H2S	同化性硫酸盐还原,硫酸盐→H2S	Sulfur metabolism	Energy metabolism	
M00975	Betaine degradation, bacteria, betaine => pyruvate	甜菜碱降解,细菌,甜菜碱→丙酮酸	Serine and threonine metabolism	Amino acid metabolism	
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	赖氨酸的生物合成,DAP转氨酶途径,天冬氨酸→赖氨酸	Lysine metabolism	Amino acid metabolism	
M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	生物素的生物合成,BioI途径,长链酰基-ACP→棕榈酰-ACP→生物素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00028	Ornithine biosynthesis, glutamate => ornithine	鸟氨酸的生物合成,谷氨酸→鸟氨酸	Arginine and proline metabolism	Amino acid metabolism	
M00531	Assimilatory nitrate reduction, nitrate => ammonia	同化硝酸盐还原,硝酸盐→氨	Nitrogen metabolism	Energy metabolism	
ko00903	Limonene degradation	柠檬烯的降解	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00780	Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline	四环素/氧四环素的生物合成,前四环素酰胺→四环素/氧四环素	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides	
M00876	Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A	葡萄球菌铁载体A的生物合成,L-鸟氨酸→葡萄球菌铁载体A	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	酮体的生物合成,乙酰辅酶A→乙酰乙酸/3-羟基丁酸/丙酮	Lipid metabolism	Lipid metabolism	
M00916	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	吡哆醛-P的生物合成,R5P+3-磷酸甘油醛+谷氨酰胺→吡哆醛-P	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00365	C10-C20 isoprenoid biosynthesis, archaea	C10-C20异戊二烯的生物合成,古菌	Terpenoid backbone biosynthesis	Biosynthesis of terpenoids and polyketides	
ko00363	Bisphenol degradation	双酚的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	丙酰辅酶A的代谢,丙酰辅酶A→琥珀酰辅酶A	Other carbohydrate metabolism	Carbohydrate metabolism	
M00044	Tyrosine degradation, tyrosine => homogentisate	酪氨酸的降解,酪氨酸→同型尿黑酸	Aromatic amino acid metabolism	Amino acid metabolism	
ko00907	Pinene, camphor and geraniol degradation	松油烯,樟脑和香叶醇的降解	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	苯甲酸的降解,环己烷羧酸→槁酸辅酶A	Aromatics degradation	Xenobiotics biodegradation	
M00017	Methionine biosynthesis, aspartate => homoserine => methionine	甲硫氨酸的生物合成,天冬氨酸→齐墩果氨酸→甲硫氨酸	Cysteine and methionine metabolism	Amino acid metabolism	
ko01055	Biosynthesis of vancomycin group antibiotics	万古霉素类抗生素的生物合成	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00781	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	诺加瓦酮/阿克瓦酮的生物合成,脱氧诺加瓦酸/脱氧阿克瓦酸→诺加瓦酮/阿克瓦酮	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides	
M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	色氨酸的代谢,色氨酸→犬尿氨酸→2-氨基己二酸	Aromatic amino acid metabolism	Amino acid metabolism	
M00085	Fatty acid elongation in mitochondria	线粒体中的脂肪酸延伸	Fatty acid metabolism	Lipid metabolism	
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	赖氨酸的生物合成,乙酰-DAP途径,天冬氨酸→赖氨酸	Lysine metabolism	Amino acid metabolism	
M00783	Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C	四环素C/8-脱甲基四环素C的生物合成,四环素F2→四环素C/8-脱甲基四环素C	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides	
M00024	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	苯丙氨酸的生物合成,预苯酸→苯丙酮酸→苯丙氨酸	Aromatic amino acid metabolism	Amino acid metabolism	
ko00982	Drug metabolism - cytochrome P450	药物代谢--细胞色素P450	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00850	Vibrio cholerae pathogenicity signature, cholera toxins	霍乱弧菌致病性特征,霍乱毒素	Pathogenicity	Pathogenicity	
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	半胱氨酸的生物合成,同型半胱氨酸+丝氨酸→半胱氨酸	Cysteine and methionine metabolism	Amino acid metabolism	
M00973	Anammox, nitrite + ammonia => nitrogen	厌氧氨氧化,亚硝酸盐+氨→氮气	Nitrogen metabolism	Energy metabolism	
M00027	GABA (gamma-Aminobutyrate) shunt	GABA(γ-氨基丁酸)旁路	Other amino acid metabolism	Amino acid metabolism	
ko00908	Zeatin biosynthesis	玉米素的生物合成	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00990	Dimethylsulfoniopropionate (DMSP) degradation, demethylation pathway, DMSP => methanethiol	二甲基硫代丙酸(DMSP)的降解,脱甲基途径,DMSP→甲硫醇	Sulfur metabolism	Energy metabolism	
M00546	Purine degradation, xanthine => urea	嘌呤的降解,黄嘌呤→尿素	Purine metabolism	Nucleotide metabolism	
ko01053	Biosynthesis of siderophore group nonribosomal peptides	铁载体类非核糖体肽的生物合成	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00376	3-Hydroxypropionate bi-cycle	3-羟基丙酸双循环	Carbon fixation	Energy metabolism	
M00613	Anoxygenic photosynthesis in green nonsulfur bacteria	绿非硫细菌中的非产氧光合作用	Metabolic capacity	Metabolic capacity	
M00035	Methionine degradation	甲硫氨酸的降解	Cysteine and methionine metabolism	Amino acid metabolism	
M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	苯乙酸的降解,苯乙酸→乙酰辅酶A/琥珀酰辅酶A	Aromatics degradation	Xenobiotics biodegradation	
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	赖氨酸的生物合成,琥珀酰-DAP途径,天冬氨酸→赖氨酸	Lysine metabolism	Amino acid metabolism	
ko00983	Drug metabolism - other enzymes	药物代谢--其他酶	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00779	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	二氢卡拉芬的生物合成,八酮→二氢卡拉芬	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides	
M00012	Glyoxylate cycle	甘油酸循环	Other carbohydrate metabolism	Carbohydrate metabolism	
