module_ID	module_name	中文名	category_C	category_B	
M00914	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	辅酶A的生物合成,古菌,α-酮异戊酸→4-磷酸泛酰巯基乙胺→CoA	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	泛酸的生物合成,α-酮异戊酸/精胺→泛酸	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00912	NAD biosynthesis, tryptophan => quinolinate => NAD	烟酰胺的生物合成,色氨酸→喹啉酸→烟酰胺	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00899	Thiamine salvage pathway, HMP/HET => TMP	硫胺素补救途径,HMP/HET→TMP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00898	Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	硫胺素的生物合成,吡哆醛-5P→TMP/硫胺素/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00896	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	硫胺素的生物合成,古菌,AIR(+NAD+)→TMP/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00895	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	硫胺素的生物合成,原核生物,AIR(+DXP/甘氨酸)→TMP/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00884	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	二硫辛酸的生物合成,辛酰辅酶A→二氢二硫辛酸-E2	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	钼辅因子的生物合成,GTP→钼辅因子	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00847	Heme biosynthesis, archaea, siroheme => heme	血红素的生物合成,古菌,siro血红素→血红素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00846	Siroheme biosynthesis, glutamyl-tRNA => siroheme	siro血红素的生物合成,谷氨酰-tRNA→siro血红素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	L-threo-四氢生物蝶呤的生物合成,GTP→L-threo-BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	四氢生物蝶呤的生物合成,GTP→BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00841	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	四氢叶酸的生物合成,由PTPS介导,GTP→THF	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	四氢叶酸的生物合成,由ribA和trpF介导,GTP→THF	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00836	Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430	辅酶F430的生物合成,sirohydrochlorin→辅酶F430	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00811	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	烟碱的降解,吡咯烷途径,烟碱→琥珀酸半醛	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00810	Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	烟碱的降解,吡啶途径,烟碱→2,6-二羟基吡啶/琥珀酸半醛	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00622	Nicotinate degradation, nicotinate => fumarate	尼古酸的降解,尼古酸→琥珀酸	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	生物素的生物合成,BioW途径,棕榈酸→棕榈酰-CoA→生物素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	生物素的生物合成,BioI途径,长链酰基-ACP→棕榈酰-ACP→生物素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	棕榈酰-ACP的生物合成,BioC-BioH途径,丙二酰-ACP→棕榈酰-ACP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00140	C1-unit interconversion, prokaryotes	C1单位的相互转化,原核生物	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	硫胺素的生物合成,原核生物,AIR(+DXP/酪氨酸)→TMP/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00126	Tetrahydrofolate biosynthesis, GTP => THF	四氢叶酸的生物合成,GTP→THF	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00124	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	吡哆醛-P的生物合成,赤藓糖-4P→吡哆醛-P	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	生物素的生物合成,庚二酰-ACP/CoA→生物素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	维生素B12的生物合成,cobyrinatea,c-二胺→维生素B12	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00120	Coenzyme A biosynthesis, pantothenate => CoA	辅酶A的生物合成,泛酸→CoA	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	泛酸的生物合成,缬氨酸/L-天冬氨酸→泛酸	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	泛醌的生物合成,原核生物,预苯酸(+多异戊二烯-PP)→泛醌	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00116	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	甲萘醌的生物合成,预苯酸(+多异戊二烯-PP)→甲萘醌	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00115	NAD biosynthesis, aspartate => quinolinate => NAD	烟酰胺的生物合成,天冬氨酸→喹啉酸→烟酰胺	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	生育酚/生育三烯酚的生物合成,均苯三酚+泛醇/牻牛儿基-PP→生育酚/生育三烯酚	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
ko00830	Retinol metabolism	视黄醇的代谢	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00618	Acetogen	乙酸生成菌	Metabolic capacity	Metabolic capacity	
M00617	Methanogen	甲烷生成菌	Metabolic capacity	Metabolic capacity	
M00616	Sulfate-sulfur assimilation	硫酸盐-硫同化	Metabolic capacity	Metabolic capacity	
M00615	Nitrate assimilation	硝酸盐同化	Metabolic capacity	Metabolic capacity	
M00614	Anoxygenic photosynthesis in green sulfur bacteria	绿硫细菌中的非产氧光合作用	Metabolic capacity	Metabolic capacity	
M00613	Anoxygenic photosynthesis in green nonsulfur bacteria	绿非硫细菌中的非产氧光合作用	Metabolic capacity	Metabolic capacity	
M00612	Anoxygenic photosynthesis in purple bacteria	紫色细菌中的非产氧光合作用	Metabolic capacity	Metabolic capacity	
ko03070	Bacterial secretion system	细菌分泌系统	Membrane transport	Membrane transport	
ko02060	Phosphotransferase system (PTS)	磷酸转移酶系统(PTS)	Membrane transport	Membrane transport	
ko02010	ABC transporters	ABC转运蛋白	Membrane transport	Membrane transport	
M00887	Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM	肽聚糖的生物合成,梅尔米菌酸+α-羧酸酰辅酶A+海藻糖→TMM→TDM/mAGP/GMM	Fatty acid metabolism	Lipid metabolism	
M00886	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)	梅尔米菌酸的生物合成,起始和延伸FASII(KasA和KasB)	Fatty acid metabolism	Lipid metabolism	
M00885	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)	梅尔米菌酸的生物合成,起始和延伸FASII(KasA)	Fatty acid metabolism	Lipid metabolism	
M00861	beta-Oxidation, peroxisome, VLCFA	β-氧化,过氧化物酶体,VLCFA	Fatty acid metabolism	Lipid metabolism	
M00415	Fatty acid elongation in endoplasmic reticulum	内质网中的脂肪酸延伸	Fatty acid metabolism	Lipid metabolism	
M00113	Jasmonic acid biosynthesis	茉莉酸的生物合成	Lipid metabolism	Lipid metabolism	
M00101	Cholesterol biosynthesis, FPP => cholesterol	胆固醇的生物合成,FPP→胆固醇	Sterol biosynthesis	Lipid metabolism	
M00100	Sphingosine degradation	鞘氨醇的降解	Lipid metabolism	Lipid metabolism	
M00099	Sphingosine biosynthesis	鞘氨醇的生物合成	Lipid metabolism	Lipid metabolism	
M00098	Acylglycerol degradation	酰基甘油的降解	Lipid metabolism	Lipid metabolism	
M00094	Ceramide biosynthesis	神经酰胺的生物合成	Lipid metabolism	Lipid metabolism	
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	磷脂酰乙醇胺(PE)的生物合成,PA→PS→PE	Lipid metabolism	Lipid metabolism	
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	磷脂酰乙醇胺(PE)的生物合成,乙醇胺→PE	Lipid metabolism	Lipid metabolism	
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	磷脂酰胆碱(PC)的生物合成,PE→PC	Lipid metabolism	Lipid metabolism	
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC	磷脂酰胆碱(PC)的生物合成,胆碱→PC	Lipid metabolism	Lipid metabolism	
M00089	Triacylglycerol biosynthesis	三酰甘油的生物合成	Lipid metabolism	Lipid metabolism	
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	酮体的生物合成,乙酰辅酶A→乙酰乙酸/3-羟基丁酸/丙酮	Lipid metabolism	Lipid metabolism	
M00087	beta-Oxidation	β-氧化	Fatty acid metabolism	Lipid metabolism	
M00086	beta-Oxidation, acyl-CoA synthesis	β-氧化,酰基辅酶A的合成	Fatty acid metabolism	Lipid metabolism	
M00085	Fatty acid elongation in mitochondria	线粒体中的脂肪酸延伸	Fatty acid metabolism	Lipid metabolism	
M00083	Fatty acid biosynthesis, elongation	脂肪酸的生物合成,延伸阶段	Fatty acid metabolism	Lipid metabolism	
M00082	Fatty acid biosynthesis, initiation	脂肪酸的生物合成,起始阶段	Fatty acid metabolism	Lipid metabolism	
M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	硫代糖脂的生物合成,神经酰胺/1-烷基-2-酰基甘油→硫代糖脂/精原细胞糖脂	Lipid metabolism	Lipid metabolism	
M00066	Lactosylceramide biosynthesis	乳糖基神经酰胺的生物合成	Lipid metabolism	Lipid metabolism	
ko00591	Linoleic acid metabolism	亚油酸的代谢	Lipid metabolism	Lipid metabolism	
ko00590	Arachidonic acid metabolism	花生四烯酸的代谢	Lipid metabolism	Lipid metabolism	
ko00121	Secondary bile acid biosynthesis	次级胆汁酸的生物合成	Lipid metabolism	Lipid metabolism	
ko00073	Cutin, suberine and wax biosynthesis	角质层,木栓质和蜡质的生物合成	Lipid metabolism	Lipid metabolism	
M00983	GPI-anchor remodeling	GPI锚的重塑	Glycan biosynthesis	Glycan metabolism	
M00888	Galactofuranan biosynthesis, decaprenyl phosphate + UDP-GlcNAc (+ dTDP-Rha/UDP-Galf) => GL-5	半乳呋喃聚糖的生物合成,十碳异戊二烯磷酸+UDP-GlcNAc(+dTDP-Rha/UDP-Galf)→GL-5	Other polysaccharide metabolism	Glycan metabolism	
M00872	O-glycan biosynthesis, mannose type (core M3)	O-糖链的生物合成,甘露糖型(核心M3)	Glycan biosynthesis	Glycan metabolism	
M00867	KDO2-lipid A modification pathway	KDO2-脂质A修饰途径	Lipopolysaccharide metabolism	Glycan metabolism	
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	KDO2-脂质A的生物合成,Raetz途径,非LpxL-LpxM型	Lipopolysaccharide metabolism	Glycan metabolism	
M00079	Keratan sulfate degradation	角蛋白硫酸盐的降解	Glycosaminoglycan metabolism	Glycan metabolism	
M00078	Heparan sulfate degradation	肝素硫酸盐的降解	Glycosaminoglycan metabolism	Glycan metabolism	
M00077	Chondroitin sulfate degradation	软骨素硫酸盐的降解	Glycosaminoglycan metabolism	Glycan metabolism	
M00076	Dermatan sulfate degradation	皮肤素硫酸盐的降解	Glycosaminoglycan metabolism	Glycan metabolism	
M00075	N-glycan biosynthesis, complex type	N-糖链的生物合成,复杂型	Glycan biosynthesis	Glycan metabolism	
M00074	N-glycan biosynthesis, high-mannose type	N-糖链的生物合成,高甘露糖型	Glycan biosynthesis	Glycan metabolism	
M00073	N-glycan precursor trimming	N-糖链前体的修剪	Glycan biosynthesis	Glycan metabolism	
M00072	N-glycosylation by oligosaccharyltransferase	寡糖基转移酶介导的N-糖基化	Glycan biosynthesis	Glycan metabolism	
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	糖鞘脂的生物合成,新乳糖系列,LacCer→nLc4Cer	Glycan biosynthesis	Glycan metabolism	
M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	糖鞘脂的生物合成,乳糖系列,LacCer→Lc4Cer	Glycan biosynthesis	Glycan metabolism	
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	糖鞘脂的生物合成,神经节系列,LacCer→GT3	Glycan biosynthesis	Glycan metabolism	
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	糖鞘脂的生物合成,球形系列,LacCer→Gb4Cer	Glycan biosynthesis	Glycan metabolism	
M00065	GPI-anchor biosynthesis, core oligosaccharide	GPI锚的生物合成,核心寡糖	Glycan biosynthesis	Glycan metabolism	
M00064	ADP-L-glycero-D-manno-heptose biosynthesis, sedoheptulose-7P => ADP-LDmanHep	ADP-L-甘油-D-甘露庚糖的生物合成,七碳糖-7P→ADP-LDmanHep	Lipopolysaccharide metabolism	Glycan metabolism	
M00063	CMP-3-deoxy-D-manno-octulosonate biosynthesis, ribulose-5P => CMP-KDO	CMP-3-脱氧-D-甘露糖辛酮酸的生物合成,核糖-5P→CMP-KDO	Lipopolysaccharide metabolism	Glycan metabolism	
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	KDO2-脂质A的生物合成,Raetz途径,LpxL-LpxM型	Lipopolysaccharide metabolism	Glycan metabolism	
M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	糖胺聚糖的生物合成,肝素硫酸盐骨架	Glycosaminoglycan metabolism	Glycan metabolism	
